MotifId	Nodes	Edges	Count
904	4	0	15708
4374	4	0	20
990	4	0	8
5064	4	0	0
4420	4	0	0
972	4	0	380
922	4	0	106
3038	4	0	10
858	4	0	0
4950	4	0	3
468	4	0	584
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	2161
6552	4	0	345
2270	4	0	24
7134	4	0	0
15326	4	0	0
28	4	0	53770
4678	4	0	410
4370	4	0	6
90	4	0	6906
4958	4	0	0
2252	4	0	7780
13260	4	0	10
13278	4	0	0
6616	4	0	114
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	0
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	5
4812	4	0	0
15258	4	0	18
862	4	0	1
286	4	0	876
76	4	0	76808
78	4	0	17725
92	4	0	10849
94	4	0	146
282	4	0	136
346	4	0	0
348	4	0	210
350	4	0	0
394	4	0	9459
406	4	0	548
410	4	0	44
412	4	0	0
414	4	0	0
460	4	0	150
462	4	0	0
478	4	0	0
2184	4	0	38535
332	4	0	130
334	4	0	0
404	4	0	228
470	4	0	0
344	4	0	3617
408	4	0	17364
472	4	0	125
474	4	0	0
476	4	0	114
926	4	0	0
396	4	0	982
906	4	0	2774
910	4	0	34
2186	4	0	10833
2204	4	0	113
2206	4	0	0
2254	4	0	1635
6356	4	0	0
2458	4	0	16
2526	4	0	0
2510	4	0	0
4698	4	0	0
2524	4	0	578
328	4	0	12977
330	4	0	2304
4438	4	0	0
4444	4	0	0
4446	4	0	0
4430	4	0	0
4550	4	0	0
4422	4	0	0
4424	4	0	72
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	20
6554	4	0	0
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	0
5070	4	0	0
6606	4	0	0
206	4	0	10931
6854	4	0	0
398	4	0	484
4428	4	0	0
4764	4	0	0
4766	4	0	0
4682	4	0	0
4434	4	0	0
4436	4	0	90
4564	4	0	14
4566	4	0	0
4442	4	0	0
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	44727
4426	4	0	250
2462	4	0	0
390	4	0	2980
4742	4	0	54
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	0
6358	4	0	0
222	4	0	219
13150	4	0	0
2202	4	0	38
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	9464
6878	4	0	0
4686	4	0	12
74	4	0	46643
4946	4	0	0
5058	4	0	0
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	0
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	96
4994	4	0	0
4830	4	0	0
6364	4	0	0
4740	4	0	0
5062	4	0	0
5016	4	0	4
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	0
6604	4	0	0
5006	4	0	0
31710	4	0	0
204	4	0	30774
14814	4	0	0
454	4	0	0
6602	4	0	0
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	0
15262	4	0	0
458	4	0	320
908	4	0	1926
456	4	0	859
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	1
6870	4	0	0
280	4	0	45964
974	4	0	0
4546	4	0	625
924	4	0	0
4758	4	0	0
14	4	0	73273
4572	4	0	0
