MotifId	Nodes	Edges	Count
904	4	0	61033
4374	4	0	72
990	4	0	322
5064	4	0	0
4420	4	0	20
972	4	0	380
922	4	0	2565
3038	4	0	353
858	4	0	108
4950	4	0	6
468	4	0	4415
14812	4	0	0
4574	4	0	0
7126	4	0	53
14790	4	0	0
2190	4	0	13005
6552	4	0	441
2270	4	0	1912
7134	4	0	40
15326	4	0	16
28	4	0	273078
4678	4	0	1600
4370	4	0	979
90	4	0	7813
4958	4	0	0
2252	4	0	12651
13260	4	0	10
13278	4	0	0
6616	4	0	1598
13146	4	0	0
2506	4	0	1016
13142	4	0	1
6558	4	0	0
4558	4	0	0
6862	4	0	7
14798	4	0	0
6550	4	0	0
4556	4	0	67
4812	4	0	0
15258	4	0	271
862	4	0	167
286	4	0	876
76	4	0	228777
78	4	0	62225
92	4	0	49226
94	4	0	3723
282	4	0	2885
346	4	0	246
348	4	0	2614
350	4	0	119
394	4	0	39758
406	4	0	548
410	4	0	165
412	4	0	308
414	4	0	0
460	4	0	1970
462	4	0	44
478	4	0	307
2184	4	0	88233
332	4	0	2635
334	4	0	266
404	4	0	729
470	4	0	51
344	4	0	60618
408	4	0	41443
472	4	0	3801
474	4	0	283
476	4	0	1929
926	4	0	96
396	4	0	8516
906	4	0	16798
910	4	0	572
2186	4	0	45456
2204	4	0	1774
2206	4	0	174
2254	4	0	8538
6356	4	0	713
2458	4	0	18
2526	4	0	360
2510	4	0	112
4698	4	0	0
2524	4	0	2696
328	4	0	107394
330	4	0	46402
4438	4	0	1
4444	4	0	5
4446	4	0	0
4430	4	0	0
4550	4	0	0
4422	4	0	4
4424	4	0	583
4700	4	0	2
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	24
4382	4	0	20
6554	4	0	0
7128	4	0	143
15310	4	0	4
6622	4	0	16
4548	4	0	98
5070	4	0	0
6606	4	0	31
206	4	0	25706
6854	4	0	972
398	4	0	963
4428	4	0	312
4764	4	0	919
4766	4	0	0
4682	4	0	50
4434	4	0	0
4436	4	0	220
4564	4	0	33
4566	4	0	1
4442	4	0	0
5078	4	0	5
5082	4	0	0
5084	4	0	0
392	4	0	149689
4426	4	0	588
2462	4	0	0
390	4	0	7609
4742	4	0	4785
6874	4	0	0
4814	4	0	12
6614	4	0	0
6618	4	0	15
6620	4	0	401
6358	4	0	394
222	4	0	4639
13150	4	0	0
2202	4	0	5842
6598	4	0	22
5066	4	0	0
6342	4	0	4609
5012	4	0	0
30	4	0	11876
6878	4	0	0
4686	4	0	56
74	4	0	247152
4946	4	0	2
5058	4	0	49
5010	4	0	90
5074	4	0	3
5004	4	0	0
4440	4	0	214
6348	4	0	3
6350	4	0	0
6366	4	0	60
4748	4	0	27
4750	4	0	449
5076	4	0	0
4418	4	0	27409
4994	4	0	5696
4830	4	0	0
6364	4	0	150
4740	4	0	862
5062	4	0	0
5016	4	0	60
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	1169
6604	4	0	0
5006	4	0	0
31710	4	0	12
204	4	0	76286
14814	4	0	0
454	4	0	2175
6602	4	0	477
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	18
4562	4	0	63
15262	4	0	48
458	4	0	16311
908	4	0	1956
456	4	0	16532
5002	4	0	11
6876	4	0	0
14810	4	0	43
4952	4	0	58
14686	4	0	0
13262	4	0	0
856	4	0	6383
6870	4	0	16
280	4	0	212191
974	4	0	86
4546	4	0	9954
924	4	0	46
4758	4	0	6
14	4	0	203050
4572	4	0	10
