MotifId	Nodes	Edges	Count
904	4	0	40655
4374	4	0	68128
990	4	0	1144
5064	4	0	823
4420	4	0	12880
972	4	0	81821
922	4	0	2512
3038	4	0	570
858	4	0	28789
4950	4	0	2310
468	4	0	17680
14812	4	0	102
4574	4	0	819
7126	4	0	56
14790	4	0	0
2190	4	0	5079
6552	4	0	12201
2270	4	0	937
7134	4	0	806
15326	4	0	1222
28	4	0	190119
4678	4	0	5495
4370	4	0	54660
90	4	0	32050
4958	4	0	4793
2252	4	0	28291
13260	4	0	22622
13278	4	0	2809
6616	4	0	3211
13146	4	0	215
2506	4	0	20
13142	4	0	6375
6558	4	0	7086
4558	4	0	6096
6862	4	0	492
14798	4	0	1229
6550	4	0	5739
4556	4	0	32754
4812	4	0	5363
15258	4	0	1269
862	4	0	10212
286	4	0	132691
76	4	0	384871
78	4	0	109043
92	4	0	63624
94	4	0	30821
282	4	0	60787
346	4	0	1998
348	4	0	36602
350	4	0	28661
394	4	0	31281
406	4	0	141135
410	4	0	9662
412	4	0	6224
414	4	0	15013
460	4	0	93143
462	4	0	24913
478	4	0	1424
2184	4	0	118355
332	4	0	105351
334	4	0	30734
404	4	0	124929
470	4	0	13216
344	4	0	24487
408	4	0	42547
472	4	0	6628
474	4	0	1050
476	4	0	12372
926	4	0	1246
396	4	0	93767
906	4	0	8112
910	4	0	2661
2186	4	0	35258
2204	4	0	3094
2206	4	0	1388
2254	4	0	9124
6356	4	0	106
2458	4	0	6043
2526	4	0	2085
2510	4	0	2256
4698	4	0	39313
2524	4	0	3189
328	4	0	40489
330	4	0	4549
4438	4	0	8079
4444	4	0	6504
4446	4	0	18949
4430	4	0	6945
4550	4	0	290
4422	4	0	4502
4424	4	0	23267
4700	4	0	607
4702	4	0	5653
4954	4	0	4115
5014	4	0	2504
5018	4	0	566
5022	4	0	415
5086	4	0	199
4998	4	0	395
4382	4	0	57267
6554	4	0	8904
7128	4	0	527
15310	4	0	630
6622	4	0	2657
4548	4	0	8957
5070	4	0	4360
6606	4	0	2184
206	4	0	36934
6854	4	0	48
398	4	0	24269
4428	4	0	31480
4764	4	0	510
4766	4	0	184
4682	4	0	18201
4434	4	0	9758
4436	4	0	12596
4564	4	0	3689
4566	4	0	765
4442	4	0	11829
5078	4	0	56
5082	4	0	71
5084	4	0	4811
392	4	0	96112
4426	4	0	584
2462	4	0	4996
390	4	0	52097
4742	4	0	336
6874	4	0	3333
4814	4	0	3968
6614	4	0	789
6618	4	0	1191
6620	4	0	2332
6358	4	0	82
222	4	0	2529
13150	4	0	1445
2202	4	0	2945
6598	4	0	10
5066	4	0	0
6342	4	0	60
5012	4	0	1647
30	4	0	321064
6878	4	0	930
4686	4	0	4478
74	4	0	184978
4946	4	0	5060
5058	4	0	195
5010	4	0	3129
5074	4	0	92
5004	4	0	1408
4440	4	0	12416
6348	4	0	8674
6350	4	0	2125
6366	4	0	297
4748	4	0	1285
4750	4	0	2492
5076	4	0	1963
4418	4	0	690
4994	4	0	370
4830	4	0	61
6364	4	0	1626
4740	4	0	64
5062	4	0	440
5016	4	0	1258
5080	4	0	1189
5068	4	0	25274
7130	4	0	900
4692	4	0	11756
6604	4	0	11612
5006	4	0	959
31710	4	0	295
204	4	0	112084
14814	4	0	493
454	4	0	27929
6602	4	0	104
6858	4	0	850
4694	4	0	6379
13148	4	0	1919
5020	4	0	480
14678	4	0	52
4562	4	0	1103
15262	4	0	1514
458	4	0	1207
908	4	0	6969
456	4	0	4144
5002	4	0	32
6876	4	0	158
14810	4	0	978
4952	4	0	2641
14686	4	0	0
13262	4	0	6850
856	4	0	9604
6870	4	0	102
280	4	0	81291
974	4	0	12427
4546	4	0	675
924	4	0	1106
4758	4	0	0
14	4	0	389309
4572	4	0	3523
