MotifId	Nodes	Edges	Count
904	4	0	7854
4374	4	0	56
990	4	0	6
5064	4	0	0
4420	4	0	46
972	4	0	677
922	4	0	617
3038	4	0	81
858	4	0	0
4950	4	0	54
468	4	0	1178
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	1444
6552	4	0	1250
2270	4	0	76
7134	4	0	0
15326	4	0	0
28	4	0	22308
4678	4	0	1013
4370	4	0	199
90	4	0	5826
4958	4	0	0
2252	4	0	7168
13260	4	0	36
13278	4	0	0
6616	4	0	464
13146	4	0	0
2506	4	0	0
13142	4	0	42
6558	4	0	0
4558	4	0	1
6862	4	0	0
14798	4	0	0
6550	4	0	1
4556	4	0	8
4812	4	0	0
15258	4	0	174
862	4	0	9
286	4	0	2679
76	4	0	58238
78	4	0	9258
92	4	0	9620
94	4	0	58
282	4	0	387
346	4	0	64
348	4	0	155
350	4	0	0
394	4	0	6417
406	4	0	940
410	4	0	306
412	4	0	4
414	4	0	0
460	4	0	120
462	4	0	20
478	4	0	0
2184	4	0	27920
332	4	0	74
334	4	0	70
404	4	0	816
470	4	0	0
344	4	0	4249
408	4	0	13159
472	4	0	317
474	4	0	0
476	4	0	28
926	4	0	0
396	4	0	1390
906	4	0	3160
910	4	0	24
2186	4	0	11089
2204	4	0	221
2206	4	0	0
2254	4	0	1580
6356	4	0	0
2458	4	0	218
2526	4	0	0
2510	4	0	0
4698	4	0	0
2524	4	0	955
328	4	0	9413
330	4	0	1498
4438	4	0	0
4444	4	0	0
4446	4	0	0
4430	4	0	16
4550	4	0	0
4422	4	0	2
4424	4	0	246
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	168
6554	4	0	0
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	0
5070	4	0	0
6606	4	0	0
206	4	0	3632
6854	4	0	0
398	4	0	364
4428	4	0	0
4764	4	0	0
4766	4	0	0
4682	4	0	8
4434	4	0	0
4436	4	0	1045
4564	4	0	0
4566	4	0	0
4442	4	0	16
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	34432
4426	4	0	256
2462	4	0	0
390	4	0	5364
4742	4	0	76
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	0
6358	4	0	0
222	4	0	228
13150	4	0	0
2202	4	0	257
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	12438
6878	4	0	0
4686	4	0	20
74	4	0	34516
4946	4	0	0
5058	4	0	32
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	0
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	120
4994	4	0	0
4830	4	0	0
6364	4	0	0
4740	4	0	0
5062	4	0	0
5016	4	0	96
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	12
6604	4	0	0
5006	4	0	0
31710	4	0	5
204	4	0	10855
14814	4	0	0
454	4	0	46
6602	4	0	0
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	0
15262	4	0	0
458	4	0	114
908	4	0	1566
456	4	0	748
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	20
6870	4	0	0
280	4	0	26751
974	4	0	0
4546	4	0	256
924	4	0	0
4758	4	0	0
14	4	0	27634
4572	4	0	0
