MotifId	Nodes	Edges	Count
904	4	0	33385
4374	4	0	123
990	4	0	314
5064	4	0	0
4420	4	0	241
972	4	0	677
922	4	0	7004
3038	4	0	644
858	4	0	158
4950	4	0	87
468	4	0	6177
14812	4	0	0
4574	4	0	0
7126	4	0	55
14790	4	0	0
2190	4	0	10814
6552	4	0	1653
2270	4	0	3509
7134	4	0	40
15326	4	0	16
28	4	0	122139
4678	4	0	4847
4370	4	0	875
90	4	0	6952
4958	4	0	0
2252	4	0	11814
13260	4	0	36
13278	4	0	0
6616	4	0	3613
13146	4	0	0
2506	4	0	1652
13142	4	0	57
6558	4	0	0
4558	4	0	1
6862	4	0	7
14798	4	0	0
6550	4	0	1
4556	4	0	194
4812	4	0	0
15258	4	0	596
862	4	0	239
286	4	0	2680
76	4	0	179368
78	4	0	57105
92	4	0	42355
94	4	0	4439
282	4	0	1962
346	4	0	239
348	4	0	3689
350	4	0	169
394	4	0	40192
406	4	0	956
410	4	0	2156
412	4	0	292
414	4	0	0
460	4	0	2299
462	4	0	35
478	4	0	325
2184	4	0	58569
332	4	0	3192
334	4	0	305
404	4	0	1723
470	4	0	83
344	4	0	50558
408	4	0	37335
472	4	0	6749
474	4	0	740
476	4	0	1919
926	4	0	101
396	4	0	11006
906	4	0	21011
910	4	0	811
2186	4	0	41567
2204	4	0	3879
2206	4	0	266
2254	4	0	13487
6356	4	0	1531
2458	4	0	252
2526	4	0	341
2510	4	0	377
4698	4	0	0
2524	4	0	3627
328	4	0	119878
330	4	0	64800
4438	4	0	3
4444	4	0	9
4446	4	0	0
4430	4	0	16
4550	4	0	176
4422	4	0	75
4424	4	0	1735
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	617
4382	4	0	168
6554	4	0	0
7128	4	0	398
15310	4	0	4
6622	4	0	16
4548	4	0	96
5070	4	0	0
6606	4	0	13
206	4	0	20441
6854	4	0	3484
398	4	0	899
4428	4	0	772
4764	4	0	1732
4766	4	0	0
4682	4	0	72
4434	4	0	130
4436	4	0	1659
4564	4	0	28
4566	4	0	3
4442	4	0	16
5078	4	0	11
5082	4	0	0
5084	4	0	0
392	4	0	127566
4426	4	0	708
2462	4	0	0
390	4	0	8557
4742	4	0	11903
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	7
6620	4	0	643
6358	4	0	294
222	4	0	6795
13150	4	0	0
2202	4	0	4778
6598	4	0	7
5066	4	0	0
6342	4	0	12257
5012	4	0	30
30	4	0	14370
6878	4	0	0
4686	4	0	20
74	4	0	189582
4946	4	0	11
5058	4	0	56
5010	4	0	258
5074	4	0	5
5004	4	0	0
4440	4	0	355
6348	4	0	4
6350	4	0	22
6366	4	0	32
4748	4	0	17
4750	4	0	279
5076	4	0	5
4418	4	0	39303
4994	4	0	7368
4830	4	0	0
6364	4	0	206
4740	4	0	3009
5062	4	0	0
5016	4	0	206
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	612
6604	4	0	0
5006	4	0	0
31710	4	0	17
204	4	0	38691
14814	4	0	0
454	4	0	857
6602	4	0	664
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	10
4562	4	0	51
15262	4	0	48
458	4	0	12166
908	4	0	1614
456	4	0	9527
5002	4	0	37
6876	4	0	6
14810	4	0	34
4952	4	0	106
14686	4	0	0
13262	4	0	0
856	4	0	5642
6870	4	0	8
280	4	0	114143
974	4	0	94
4546	4	0	17059
924	4	0	9
4758	4	0	0
14	4	0	100351
4572	4	0	36
