MotifId	Nodes	Edges	Count
904	4	0	27164
4374	4	0	72870
990	4	0	1097
5064	4	0	2327
4420	4	0	15722
972	4	0	52854
922	4	0	4248
3038	4	0	1017
858	4	0	17141
4950	4	0	2316
468	4	0	22538
14812	4	0	354
4574	4	0	461
7126	4	0	47
14790	4	0	0
2190	4	0	6472
6552	4	0	9635
2270	4	0	3291
7134	4	0	820
15326	4	0	1020
28	4	0	118738
4678	4	0	6563
4370	4	0	66879
90	4	0	32642
4958	4	0	4043
2252	4	0	33222
13260	4	0	13178
13278	4	0	2834
6616	4	0	7039
13146	4	0	312
2506	4	0	61
13142	4	0	7563
6558	4	0	5122
4558	4	0	8013
6862	4	0	2040
14798	4	0	976
6550	4	0	10516
4556	4	0	27585
4812	4	0	6272
15258	4	0	1255
862	4	0	8032
286	4	0	68531
76	4	0	390927
78	4	0	127132
92	4	0	58520
94	4	0	25177
282	4	0	47978
346	4	0	3805
348	4	0	21711
350	4	0	23181
394	4	0	33621
406	4	0	107607
410	4	0	14935
412	4	0	10223
414	4	0	13421
460	4	0	74494
462	4	0	16311
478	4	0	2513
2184	4	0	96481
332	4	0	122455
334	4	0	51028
404	4	0	132435
470	4	0	14158
344	4	0	25816
408	4	0	43813
472	4	0	10599
474	4	0	2253
476	4	0	10271
926	4	0	1820
396	4	0	77284
906	4	0	13770
910	4	0	2889
2186	4	0	53490
2204	4	0	5743
2206	4	0	1655
2254	4	0	19392
6356	4	0	357
2458	4	0	11066
2526	4	0	3541
2510	4	0	4059
4698	4	0	24960
2524	4	0	6025
328	4	0	42289
330	4	0	5651
4438	4	0	12278
4444	4	0	8402
4446	4	0	15478
4430	4	0	7375
4550	4	0	405
4422	4	0	7898
4424	4	0	33926
4700	4	0	1284
4702	4	0	5763
4954	4	0	4481
5014	4	0	4180
5018	4	0	513
5022	4	0	417
5086	4	0	175
4998	4	0	1097
4382	4	0	36610
6554	4	0	7752
7128	4	0	1320
15310	4	0	686
6622	4	0	2978
4548	4	0	8765
5070	4	0	3473
6606	4	0	4855
206	4	0	28943
6854	4	0	243
398	4	0	21724
4428	4	0	32128
4764	4	0	438
4766	4	0	385
4682	4	0	19660
4434	4	0	23459
4436	4	0	16815
4564	4	0	3586
4566	4	0	769
4442	4	0	24267
5078	4	0	120
5082	4	0	28
5084	4	0	3325
392	4	0	102460
4426	4	0	1294
2462	4	0	5406
390	4	0	46306
4742	4	0	756
6874	4	0	5155
4814	4	0	2999
6614	4	0	1799
6618	4	0	2812
6620	4	0	2854
6358	4	0	572
222	4	0	4371
13150	4	0	1903
2202	4	0	4891
6598	4	0	22
5066	4	0	26
6342	4	0	395
5012	4	0	3917
30	4	0	176573
6878	4	0	1582
4686	4	0	4250
74	4	0	191178
4946	4	0	4058
5058	4	0	779
5010	4	0	2805
5074	4	0	366
5004	4	0	1585
4440	4	0	28362
6348	4	0	17648
6350	4	0	6962
6366	4	0	608
4748	4	0	2702
4750	4	0	4791
5076	4	0	2271
4418	4	0	2222
4994	4	0	1173
4830	4	0	234
6364	4	0	1828
4740	4	0	99
5062	4	0	332
5016	4	0	2062
5080	4	0	1144
5068	4	0	16622
7130	4	0	986
4692	4	0	12696
6604	4	0	14606
5006	4	0	809
31710	4	0	285
204	4	0	85485
14814	4	0	482
454	4	0	27691
6602	4	0	258
6858	4	0	2445
4694	4	0	5029
13148	4	0	3240
5020	4	0	1319
14678	4	0	64
4562	4	0	1664
15262	4	0	1597
458	4	0	1213
908	4	0	6932
456	4	0	6320
5002	4	0	109
6876	4	0	95
14810	4	0	2057
4952	4	0	5123
14686	4	0	0
13262	4	0	6848
856	4	0	7832
6870	4	0	83
280	4	0	60113
974	4	0	8103
4546	4	0	495
924	4	0	2205
4758	4	0	2
14	4	0	236756
4572	4	0	2616
