MotifId	Nodes	Edges	Count
904	4	0	20250
4374	4	0	42
990	4	0	76
5064	4	0	0
4420	4	0	1083
972	4	0	714
922	4	0	2190
3038	4	0	1265
858	4	0	0
4950	4	0	721
468	4	0	4821
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	4310
6552	4	0	3192
2270	4	0	374
7134	4	0	0
15326	4	0	0
28	4	0	74675
4678	4	0	4911
4370	4	0	1548
90	4	0	10080
4958	4	0	0
2252	4	0	18946
13260	4	0	28
13278	4	0	0
6616	4	0	1105
13146	4	0	0
2506	4	0	0
13142	4	0	707
6558	4	0	0
4558	4	0	1
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	7
4812	4	0	0
15258	4	0	1043
862	4	0	253
286	4	0	2345
76	4	0	160832
78	4	0	36108
92	4	0	26009
94	4	0	1146
282	4	0	917
346	4	0	34
348	4	0	880
350	4	0	0
394	4	0	27241
406	4	0	1450
410	4	0	3565
412	4	0	18
414	4	0	0
460	4	0	192
462	4	0	36
478	4	0	0
2184	4	0	68520
332	4	0	782
334	4	0	12
404	4	0	3246
470	4	0	0
344	4	0	9346
408	4	0	33599
472	4	0	873
474	4	0	0
476	4	0	364
926	4	0	0
396	4	0	3024
906	4	0	8389
910	4	0	238
2186	4	0	30263
2204	4	0	2084
2206	4	0	34
2254	4	0	4507
6356	4	0	0
2458	4	0	2594
2526	4	0	0
2510	4	0	0
4698	4	0	0
2524	4	0	6292
328	4	0	21419
330	4	0	2664
4438	4	0	0
4444	4	0	0
4446	4	0	0
4430	4	0	0
4550	4	0	0
4422	4	0	0
4424	4	0	895
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	112
6554	4	0	0
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	22
5070	4	0	0
6606	4	0	0
206	4	0	18948
6854	4	0	0
398	4	0	862
4428	4	0	0
4764	4	0	0
4766	4	0	0
4682	4	0	56
4434	4	0	0
4436	4	0	3916
4564	4	0	166
4566	4	0	0
4442	4	0	14
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	90872
4426	4	0	308
2462	4	0	0
390	4	0	7102
4742	4	0	82
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	0
6358	4	0	0
222	4	0	3611
13150	4	0	0
2202	4	0	2111
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	15074
6878	4	0	0
4686	4	0	76
74	4	0	83661
4946	4	0	0
5058	4	0	44
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	113
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	232
4994	4	0	0
4830	4	0	0
6364	4	0	0
4740	4	0	0
5062	4	0	0
5016	4	0	1295
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	14
6604	4	0	0
5006	4	0	0
31710	4	0	126
204	4	0	39957
14814	4	0	0
454	4	0	44
6602	4	0	0
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	0
15262	4	0	0
458	4	0	204
908	4	0	2522
456	4	0	1156
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	186
6870	4	0	0
280	4	0	75628
974	4	0	0
4546	4	0	484
924	4	0	0
4758	4	0	0
14	4	0	82444
4572	4	0	0
