MotifId	Nodes	Edges	Count
904	4	0	90129
4374	4	0	116
990	4	0	1735
5064	4	0	0
4420	4	0	1696
972	4	0	714
922	4	0	14361
3038	4	0	2714
858	4	0	128
4950	4	0	1002
468	4	0	18429
14812	4	0	0
4574	4	0	0
7126	4	0	219
14790	4	0	1
2190	4	0	15377
6552	4	0	4405
2270	4	0	5845
7134	4	0	40
15326	4	0	16
28	4	0	445770
4678	4	0	13444
4370	4	0	4260
90	4	0	11145
4958	4	0	0
2252	4	0	30133
13260	4	0	28
13278	4	0	0
6616	4	0	6021
13146	4	0	0
2506	4	0	2202
13142	4	0	743
6558	4	0	0
4558	4	0	1
6862	4	0	36
14798	4	0	0
6550	4	0	0
4556	4	0	173
4812	4	0	0
15258	4	0	1603
862	4	0	663
286	4	0	2345
76	4	0	415219
78	4	0	137279
92	4	0	109337
94	4	0	12164
282	4	0	11776
346	4	0	473
348	4	0	7528
350	4	0	110
394	4	0	112113
406	4	0	1450
410	4	0	12088
412	4	0	844
414	4	0	0
460	4	0	2540
462	4	0	662
478	4	0	263
2184	4	0	137839
332	4	0	6115
334	4	0	891
404	4	0	5089
470	4	0	68
344	4	0	94913
408	4	0	91108
472	4	0	13409
474	4	0	2646
476	4	0	4159
926	4	0	67
396	4	0	15002
906	4	0	45174
910	4	0	2250
2186	4	0	88340
2204	4	0	9456
2206	4	0	445
2254	4	0	23672
6356	4	0	1806
2458	4	0	2864
2526	4	0	311
2510	4	0	682
4698	4	0	0
2524	4	0	11647
328	4	0	303082
330	4	0	131662
4438	4	0	10
4444	4	0	8
4446	4	0	0
4430	4	0	0
4550	4	0	192
4422	4	0	662
4424	4	0	4739
4700	4	0	27
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	4
5022	4	0	0
5086	4	0	0
4998	4	0	1681
4382	4	0	112
6554	4	0	4
7128	4	0	666
15310	4	0	4
6622	4	0	16
4548	4	0	270
5070	4	0	0
6606	4	0	31
206	4	0	67172
6854	4	0	5213
398	4	0	2452
4428	4	0	760
4764	4	0	3459
4766	4	0	0
4682	4	0	123
4434	4	0	495
4436	4	0	5971
4564	4	0	526
4566	4	0	2
4442	4	0	14
5078	4	0	132
5082	4	0	0
5084	4	0	0
392	4	0	338088
4426	4	0	2670
2462	4	0	0
390	4	0	16258
4742	4	0	15993
6874	4	0	0
4814	4	0	21
6614	4	0	0
6618	4	0	15
6620	4	0	831
6358	4	0	657
222	4	0	25281
13150	4	0	0
2202	4	0	10222
6598	4	0	22
5066	4	0	1
6342	4	0	14876
5012	4	0	225
30	4	0	25312
6878	4	0	0
4686	4	0	498
74	4	0	451343
4946	4	0	40
5058	4	0	125
5010	4	0	1058
5074	4	0	4
5004	4	0	0
4440	4	0	849
6348	4	0	40
6350	4	0	58
6366	4	0	60
4748	4	0	493
4750	4	0	507
5076	4	0	5
4418	4	0	85008
4994	4	0	16276
4830	4	0	0
6364	4	0	606
4740	4	0	5196
5062	4	0	0
5016	4	0	1837
5080	4	0	14
5068	4	0	0
7130	4	0	0
4692	4	0	2049
6604	4	0	2
5006	4	0	0
31710	4	0	138
204	4	0	96879
14814	4	0	0
454	4	0	2794
6602	4	0	1135
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	18
4562	4	0	166
15262	4	0	48
458	4	0	28757
908	4	0	2640
456	4	0	35266
5002	4	0	136
6876	4	0	76
14810	4	0	95
4952	4	0	110
14686	4	0	0
13262	4	0	0
856	4	0	11060
6870	4	0	16
280	4	0	339568
974	4	0	88
4546	4	0	27016
924	4	0	35
4758	4	0	32
14	4	0	325058
4572	4	0	28
