MotifId	Nodes	Edges	Count
904	4	0	73065
4374	4	0	95865
990	4	0	2595
5064	4	0	1689
4420	4	0	30445
972	4	0	86328
922	4	0	9762
3038	4	0	3089
858	4	0	23266
4950	4	0	3515
468	4	0	75675
14812	4	0	360
4574	4	0	665
7126	4	0	156
14790	4	0	0
2190	4	0	26096
6552	4	0	29771
2270	4	0	5523
7134	4	0	893
15326	4	0	1130
28	4	0	423920
4678	4	0	15973
4370	4	0	155925
90	4	0	47860
4958	4	0	3503
2252	4	0	102553
13260	4	0	11864
13278	4	0	2171
6616	4	0	12968
13146	4	0	378
2506	4	0	66
13142	4	0	10927
6558	4	0	4190
4558	4	0	15738
6862	4	0	3269
14798	4	0	1209
6550	4	0	11884
4556	4	0	52363
4812	4	0	14315
15258	4	0	3132
862	4	0	12649
286	4	0	143909
76	4	0	1438436
78	4	0	465750
92	4	0	229947
94	4	0	62348
282	4	0	88732
346	4	0	4429
348	4	0	62011
350	4	0	33580
394	4	0	93820
406	4	0	156501
410	4	0	26835
412	4	0	15717
414	4	0	14404
460	4	0	234717
462	4	0	56938
478	4	0	3833
2184	4	0	298308
332	4	0	301360
334	4	0	108623
404	4	0	329158
470	4	0	24789
344	4	0	65248
408	4	0	128209
472	4	0	30421
474	4	0	3723
476	4	0	35523
926	4	0	1811
396	4	0	196978
906	4	0	32307
910	4	0	7530
2186	4	0	184859
2204	4	0	18187
2206	4	0	2454
2254	4	0	42662
6356	4	0	692
2458	4	0	22886
2526	4	0	3556
2510	4	0	5115
4698	4	0	30222
2524	4	0	18483
328	4	0	98223
330	4	0	14577
4438	4	0	15357
4444	4	0	12465
4446	4	0	14124
4430	4	0	12714
4550	4	0	1185
4422	4	0	10940
4424	4	0	68168
4700	4	0	2286
4702	4	0	5056
4954	4	0	3251
5014	4	0	3973
5018	4	0	1182
5022	4	0	520
5086	4	0	228
4998	4	0	1309
4382	4	0	36540
6554	4	0	15490
7128	4	0	1680
15310	4	0	666
6622	4	0	2611
4548	4	0	12798
5070	4	0	4203
6606	4	0	5479
206	4	0	154489
6854	4	0	447
398	4	0	53754
4428	4	0	47556
4764	4	0	994
4766	4	0	373
4682	4	0	38378
4434	4	0	51501
4436	4	0	40953
4564	4	0	11850
4566	4	0	2353
4442	4	0	29810
5078	4	0	185
5082	4	0	40
5084	4	0	3150
392	4	0	314860
4426	4	0	1665
2462	4	0	5746
390	4	0	86973
4742	4	0	1243
6874	4	0	4473
4814	4	0	8207
6614	4	0	2059
6618	4	0	3118
6620	4	0	5494
6358	4	0	710
222	4	0	24700
13150	4	0	1565
2202	4	0	18278
6598	4	0	40
5066	4	0	54
6342	4	0	671
5012	4	0	7404
30	4	0	552257
6878	4	0	1567
4686	4	0	8232
74	4	0	551353
4946	4	0	6668
5058	4	0	693
5010	4	0	8234
5074	4	0	489
5004	4	0	2464
4440	4	0	54901
6348	4	0	37043
6350	4	0	9097
6366	4	0	568
4748	4	0	5522
4750	4	0	7731
5076	4	0	2329
4418	4	0	5329
4994	4	0	2974
4830	4	0	201
6364	4	0	5195
4740	4	0	150
5062	4	0	360
5016	4	0	5250
5080	4	0	1690
5068	4	0	21209
7130	4	0	1103
4692	4	0	27446
6604	4	0	21235
5006	4	0	1226
31710	4	0	386
204	4	0	394137
14814	4	0	541
454	4	0	74028
6602	4	0	402
6858	4	0	3428
4694	4	0	6816
13148	4	0	2660
5020	4	0	1425
14678	4	0	92
4562	4	0	6605
15262	4	0	1471
458	4	0	3810
908	4	0	10024
456	4	0	17062
5002	4	0	280
6876	4	0	428
14810	4	0	2386
4952	4	0	7101
14686	4	0	0
13262	4	0	4813
856	4	0	13961
6870	4	0	154
280	4	0	169288
974	4	0	12115
4546	4	0	817
924	4	0	2702
4758	4	0	19
14	4	0	1185255
4572	4	0	6322
