MotifId	Nodes	Edges	Count
904	4	0	6476
4374	4	0	2929
990	4	0	0
5064	4	0	0
4420	4	0	809
972	4	0	185
922	4	0	31
3038	4	0	0
858	4	0	7
4950	4	0	0
468	4	0	196
14812	4	0	8
4574	4	0	166
7126	4	0	0
14790	4	0	0
2190	4	0	13894
6552	4	0	189
2270	4	0	66
7134	4	0	0
15326	4	0	0
28	4	0	8357
4678	4	0	81
4370	4	0	9308
90	4	0	28
4958	4	0	0
2252	4	0	14788
13260	4	0	0
13278	4	0	0
6616	4	0	84
13146	4	0	1
2506	4	0	20
13142	4	0	0
6558	4	0	41
4558	4	0	0
6862	4	0	24
14798	4	0	0
6550	4	0	1151
4556	4	0	117
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	4
76	4	0	22818
78	4	0	12466
92	4	0	5555
94	4	0	251
282	4	0	179
346	4	0	27
348	4	0	54
350	4	0	12
394	4	0	6192
406	4	0	33
410	4	0	123
412	4	0	183
414	4	0	18
460	4	0	1157
462	4	0	632
478	4	0	3
2184	4	0	56244
332	4	0	125
334	4	0	9
404	4	0	164
470	4	0	4
344	4	0	2306
408	4	0	5073
472	4	0	1162
474	4	0	12
476	4	0	104
926	4	0	20
396	4	0	221
906	4	0	3240
910	4	0	152
2186	4	0	46742
2204	4	0	4529
2206	4	0	103
2254	4	0	7509
6356	4	0	6
2458	4	0	508
2526	4	0	11
2510	4	0	194
4698	4	0	3
2524	4	0	83
328	4	0	3331
330	4	0	7
4438	4	0	1005
4444	4	0	363
4446	4	0	236
4430	4	0	33
4550	4	0	0
4422	4	0	685
4424	4	0	254
4700	4	0	2
4702	4	0	7
4954	4	0	5
5014	4	0	359
5018	4	0	79
5022	4	0	9
5086	4	0	0
4998	4	0	0
4382	4	0	338
6554	4	0	99
7128	4	0	1
15310	4	0	13
6622	4	0	56
4548	4	0	227
5070	4	0	0
6606	4	0	193
206	4	0	6333
6854	4	0	0
398	4	0	209
4428	4	0	127
4764	4	0	0
4766	4	0	0
4682	4	0	0
4434	4	0	7567
4436	4	0	1588
4564	4	0	538
4566	4	0	797
4442	4	0	1239
5078	4	0	0
5082	4	0	17
5084	4	0	0
392	4	0	17660
4426	4	0	1
2462	4	0	32
390	4	0	136
4742	4	0	0
6874	4	0	57
4814	4	0	0
6614	4	0	532
6618	4	0	72
6620	4	0	67
6358	4	0	0
222	4	0	75
13150	4	0	0
2202	4	0	188
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	762
30	4	0	345
6878	4	0	17
4686	4	0	2
74	4	0	10335
4946	4	0	38
5058	4	0	0
5010	4	0	679
5074	4	0	22
5004	4	0	1
4440	4	0	2095
6348	4	0	2748
6350	4	0	1448
6366	4	0	6
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	46
4994	4	0	64
4830	4	0	0
6364	4	0	296
4740	4	0	0
5062	4	0	0
5016	4	0	145
5080	4	0	9
5068	4	0	3
7130	4	0	2
4692	4	0	161
6604	4	0	272
5006	4	0	8
31710	4	0	0
204	4	0	11614
14814	4	0	0
454	4	0	48
6602	4	0	0
6858	4	0	4
4694	4	0	49
13148	4	0	2
5020	4	0	83
14678	4	0	0
4562	4	0	2971
15262	4	0	0
458	4	0	11
908	4	0	23
456	4	0	623
5002	4	0	124
6876	4	0	0
14810	4	0	0
4952	4	0	6
14686	4	0	0
13262	4	0	32
856	4	0	209
6870	4	0	0
280	4	0	5316
974	4	0	98
4546	4	0	6
924	4	0	77
4758	4	0	0
14	4	0	13501
4572	4	0	146
