MotifId	Nodes	Edges	Count
904	4	0	13789
4374	4	0	0
990	4	0	0
5064	4	0	0
4420	4	0	46
972	4	0	0
922	4	0	38
3038	4	0	0
858	4	0	3
4950	4	0	0
468	4	0	178
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	3699
6552	4	0	23
2270	4	0	12
7134	4	0	0
15326	4	0	0
28	4	0	37557
4678	4	0	41
4370	4	0	78
90	4	0	117
4958	4	0	0
2252	4	0	2134
13260	4	0	0
13278	4	0	0
6616	4	0	29
13146	4	0	0
2506	4	0	383
13142	4	0	0
6558	4	0	0
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	0
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	0
76	4	0	47464
78	4	0	12914
92	4	0	10363
94	4	0	104
282	4	0	223
346	4	0	39
348	4	0	144
350	4	0	13
394	4	0	5633
406	4	0	0
410	4	0	40
412	4	0	24
414	4	0	0
460	4	0	106
462	4	0	18
478	4	0	1
2184	4	0	26310
332	4	0	142
334	4	0	12
404	4	0	121
470	4	0	0
344	4	0	6254
408	4	0	6134
472	4	0	1311
474	4	0	0
476	4	0	104
926	4	0	1
396	4	0	265
906	4	0	2214
910	4	0	38
2186	4	0	7807
2204	4	0	905
2206	4	0	53
2254	4	0	1177
6356	4	0	225
2458	4	0	40
2526	4	0	4
2510	4	0	0
4698	4	0	0
2524	4	0	8
328	4	0	24364
330	4	0	6107
4438	4	0	3
4444	4	0	0
4446	4	0	0
4430	4	0	0
4550	4	0	24
4422	4	0	21
4424	4	0	96
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	0
6554	4	0	0
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	34
5070	4	0	0
6606	4	0	0
206	4	0	5438
6854	4	0	24
398	4	0	83
4428	4	0	0
4764	4	0	88
4766	4	0	0
4682	4	0	0
4434	4	0	44
4436	4	0	106
4564	4	0	49
4566	4	0	0
4442	4	0	0
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	47205
4426	4	0	12
2462	4	0	0
390	4	0	305
4742	4	0	774
6874	4	0	0
4814	4	0	2
6614	4	0	0
6618	4	0	0
6620	4	0	7
6358	4	0	0
222	4	0	8
13150	4	0	0
2202	4	0	26
6598	4	0	4
5066	4	0	0
6342	4	0	667
5012	4	0	8
30	4	0	182
6878	4	0	0
4686	4	0	0
74	4	0	29787
4946	4	0	0
5058	4	0	17
5010	4	0	6
5074	4	0	0
5004	4	0	0
4440	4	0	3
6348	4	0	8
6350	4	0	1
6366	4	0	0
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	3663
4994	4	0	220
4830	4	0	0
6364	4	0	19
4740	4	0	292
5062	4	0	0
5016	4	0	32
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	16
6604	4	0	5
5006	4	0	0
31710	4	0	0
204	4	0	12997
14814	4	0	0
454	4	0	93
6602	4	0	10
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	10
15262	4	0	0
458	4	0	1826
908	4	0	59
456	4	0	1696
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	76
6870	4	0	0
280	4	0	28960
974	4	0	4
4546	4	0	1064
924	4	0	3
4758	4	0	6
14	4	0	30710
4572	4	0	0
