MotifId	Nodes	Edges	Count
904	4	0	11916
4374	4	0	2452
990	4	0	25
5064	4	0	11
4420	4	0	1787
972	4	0	5373
922	4	0	168
3038	4	0	8
858	4	0	1229
4950	4	0	20
468	4	0	4050
14812	4	0	0
4574	4	0	270
7126	4	0	0
14790	4	0	0
2190	4	0	5212
6552	4	0	295
2270	4	0	95
7134	4	0	2
15326	4	0	2
28	4	0	31001
4678	4	0	92
4370	4	0	4057
90	4	0	5756
4958	4	0	27
2252	4	0	6383
13260	4	0	382
13278	4	0	4
6616	4	0	89
13146	4	0	33
2506	4	0	2
13142	4	0	15
6558	4	0	274
4558	4	0	584
6862	4	0	6
14798	4	0	12
6550	4	0	696
4556	4	0	1179
4812	4	0	916
15258	4	0	0
862	4	0	157
286	4	0	11705
76	4	0	61605
78	4	0	48284
92	4	0	10161
94	4	0	9271
282	4	0	8321
346	4	0	206
348	4	0	3954
350	4	0	3105
394	4	0	7540
406	4	0	4746
410	4	0	1606
412	4	0	618
414	4	0	1452
460	4	0	8069
462	4	0	3586
478	4	0	300
2184	4	0	22814
332	4	0	13867
334	4	0	9994
404	4	0	7163
470	4	0	2167
344	4	0	7311
408	4	0	5168
472	4	0	3521
474	4	0	869
476	4	0	1441
926	4	0	428
396	4	0	8902
906	4	0	1685
910	4	0	542
2186	4	0	5980
2204	4	0	428
2206	4	0	769
2254	4	0	2941
6356	4	0	0
2458	4	0	2133
2526	4	0	364
2510	4	0	1083
4698	4	0	676
2524	4	0	75
328	4	0	9041
330	4	0	71
4438	4	0	575
4444	4	0	49
4446	4	0	385
4430	4	0	1243
4550	4	0	0
4422	4	0	561
4424	4	0	2549
4700	4	0	91
4702	4	0	301
4954	4	0	44
5014	4	0	170
5018	4	0	0
5022	4	0	28
5086	4	0	12
4998	4	0	11
4382	4	0	958
6554	4	0	98
7128	4	0	4
15310	4	0	26
6622	4	0	49
4548	4	0	119
5070	4	0	147
6606	4	0	498
206	4	0	9710
6854	4	0	0
398	4	0	6727
4428	4	0	2671
4764	4	0	2
4766	4	0	64
4682	4	0	948
4434	4	0	1522
4436	4	0	636
4564	4	0	1200
4566	4	0	310
4442	4	0	555
5078	4	0	9
5082	4	0	18
5084	4	0	345
392	4	0	34793
4426	4	0	10
2462	4	0	969
390	4	0	12605
4742	4	0	5
6874	4	0	137
4814	4	0	492
6614	4	0	105
6618	4	0	101
6620	4	0	17
6358	4	0	1
222	4	0	685
13150	4	0	42
2202	4	0	66
6598	4	0	0
5066	4	0	2
6342	4	0	0
5012	4	0	363
30	4	0	60548
6878	4	0	64
4686	4	0	449
74	4	0	58219
4946	4	0	134
5058	4	0	8
5010	4	0	151
5074	4	0	196
5004	4	0	78
4440	4	0	710
6348	4	0	1641
6350	4	0	745
6366	4	0	228
4748	4	0	119
4750	4	0	748
5076	4	0	335
4418	4	0	29
4994	4	0	9
4830	4	0	18
6364	4	0	67
4740	4	0	0
5062	4	0	0
5016	4	0	53
5080	4	0	130
5068	4	0	567
7130	4	0	65
4692	4	0	780
6604	4	0	728
5006	4	0	123
31710	4	0	0
204	4	0	24718
14814	4	0	19
454	4	0	3480
6602	4	0	1
6858	4	0	157
4694	4	0	354
13148	4	0	70
5020	4	0	18
14678	4	0	0
4562	4	0	879
15262	4	0	0
458	4	0	10
908	4	0	384
456	4	0	963
5002	4	0	0
6876	4	0	27
14810	4	0	30
4952	4	0	9
14686	4	0	0
13262	4	0	275
856	4	0	1584
6870	4	0	0
280	4	0	11983
974	4	0	768
4546	4	0	3
924	4	0	188
4758	4	0	0
14	4	0	117914
4572	4	0	673
