MotifId	Nodes	Edges	Count
904	4	0	23338
4374	4	0	42
990	4	0	0
5064	4	0	0
4420	4	0	30
972	4	0	11
922	4	0	2
3038	4	0	0
858	4	0	0
4950	4	0	0
468	4	0	1531
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	9248
6552	4	0	169
2270	4	0	2
7134	4	0	0
15326	4	0	0
28	4	0	247215
4678	4	0	464
4370	4	0	234
90	4	0	531
4958	4	0	0
2252	4	0	9867
13260	4	0	0
13278	4	0	0
6616	4	0	51
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	0
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	0
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	270
76	4	0	127143
78	4	0	110867
92	4	0	21966
94	4	0	47
282	4	0	2993
346	4	0	0
348	4	0	429
350	4	0	7
394	4	0	31987
406	4	0	20
410	4	0	21
412	4	0	11
414	4	0	3
460	4	0	418
462	4	0	42
478	4	0	1
2184	4	0	31216
332	4	0	355
334	4	0	142
404	4	0	118
470	4	0	47
344	4	0	18687
408	4	0	5864
472	4	0	5965
474	4	0	0
476	4	0	511
926	4	0	0
396	4	0	1425
906	4	0	2554
910	4	0	82
2186	4	0	8617
2204	4	0	402
2206	4	0	46
2254	4	0	4024
6356	4	0	0
2458	4	0	32
2526	4	0	2
2510	4	0	0
4698	4	0	0
2524	4	0	82
328	4	0	39478
330	4	0	408
4438	4	0	3
4444	4	0	0
4446	4	0	0
4430	4	0	0
4550	4	0	0
4422	4	0	26
4424	4	0	63
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	4
6554	4	0	1
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	54
5070	4	0	0
6606	4	0	0
206	4	0	20024
6854	4	0	0
398	4	0	978
4428	4	0	0
4764	4	0	0
4766	4	0	0
4682	4	0	4
4434	4	0	6
4436	4	0	38
4564	4	0	259
4566	4	0	2
4442	4	0	0
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	80417
4426	4	0	6
2462	4	0	3
390	4	0	1572
4742	4	0	42
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	14
6358	4	0	0
222	4	0	2
13150	4	0	0
2202	4	0	31
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	9238
6878	4	0	0
4686	4	0	12
74	4	0	122954
4946	4	0	2
5058	4	0	6
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	0
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	1
4750	4	0	14
5076	4	0	0
4418	4	0	57
4994	4	0	0
4830	4	0	0
6364	4	0	0
4740	4	0	0
5062	4	0	0
5016	4	0	4
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	1
6604	4	0	13
5006	4	0	0
31710	4	0	0
204	4	0	57008
14814	4	0	0
454	4	0	12
6602	4	0	0
6858	4	0	0
4694	4	0	5
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	1
15262	4	0	0
458	4	0	10
908	4	0	562
456	4	0	1085
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	75
6870	4	0	0
280	4	0	61987
974	4	0	53
4546	4	0	9
924	4	0	0
4758	4	0	0
14	4	0	386691
4572	4	0	24
