MotifId	Nodes	Edges	Count
904	4	0	51272
4374	4	0	2324
990	4	0	0
5064	4	0	11
4420	4	0	3290
972	4	0	883
922	4	0	260
3038	4	0	0
858	4	0	971
4950	4	0	0
468	4	0	902
14812	4	0	0
4574	4	0	108
7126	4	0	0
14790	4	0	0
2190	4	0	38562
6552	4	0	204
2270	4	0	93
7134	4	0	0
15326	4	0	0
28	4	0	114586
4678	4	0	310
4370	4	0	16413
90	4	0	164
4958	4	0	0
2252	4	0	32756
13260	4	0	0
13278	4	0	0
6616	4	0	75
13146	4	0	0
2506	4	0	94
13142	4	0	0
6558	4	0	74
4558	4	0	0
6862	4	0	10
14798	4	0	0
6550	4	0	381
4556	4	0	121
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	51
76	4	0	263565
78	4	0	79086
92	4	0	46707
94	4	0	597
282	4	0	1878
346	4	0	251
348	4	0	1146
350	4	0	36
394	4	0	38432
406	4	0	2381
410	4	0	942
412	4	0	436
414	4	0	56
460	4	0	1993
462	4	0	586
478	4	0	23
2184	4	0	189229
332	4	0	5352
334	4	0	2035
404	4	0	4602
470	4	0	398
344	4	0	17583
408	4	0	42055
472	4	0	3136
474	4	0	76
476	4	0	544
926	4	0	25
396	4	0	3166
906	4	0	13400
910	4	0	54
2186	4	0	157265
2204	4	0	15010
2206	4	0	577
2254	4	0	12384
6356	4	0	10
2458	4	0	1064
2526	4	0	100
2510	4	0	238
4698	4	0	0
2524	4	0	245
328	4	0	55887
330	4	0	245
4438	4	0	1801
4444	4	0	310
4446	4	0	359
4430	4	0	0
4550	4	0	0
4422	4	0	743
4424	4	0	6108
4700	4	0	20
4702	4	0	0
4954	4	0	0
5014	4	0	373
5018	4	0	59
5022	4	0	75
5086	4	0	0
4998	4	0	176
4382	4	0	226
6554	4	0	127
7128	4	0	0
15310	4	0	0
6622	4	0	58
4548	4	0	269
5070	4	0	0
6606	4	0	0
206	4	0	29559
6854	4	0	1
398	4	0	1052
4428	4	0	303
4764	4	0	4
4766	4	0	0
4682	4	0	172
4434	4	0	5526
4436	4	0	1736
4564	4	0	159
4566	4	0	190
4442	4	0	807
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	186947
4426	4	0	348
2462	4	0	159
390	4	0	2161
4742	4	0	553
6874	4	0	0
4814	4	0	6
6614	4	0	176
6618	4	0	5
6620	4	0	69
6358	4	0	3
222	4	0	115
13150	4	0	0
2202	4	0	1903
6598	4	0	0
5066	4	0	0
6342	4	0	229
5012	4	0	1981
30	4	0	4589
6878	4	0	0
4686	4	0	0
74	4	0	132468
4946	4	0	128
5058	4	0	106
5010	4	0	326
5074	4	0	0
5004	4	0	0
4440	4	0	4493
6348	4	0	659
6350	4	0	264
6366	4	0	0
4748	4	0	685
4750	4	0	176
5076	4	0	0
4418	4	0	3238
4994	4	0	448
4830	4	0	0
6364	4	0	70
4740	4	0	71
5062	4	0	0
5016	4	0	162
5080	4	0	1
5068	4	0	0
7130	4	0	0
4692	4	0	1258
6604	4	0	65
5006	4	0	0
31710	4	0	0
204	4	0	72794
14814	4	0	0
454	4	0	1095
6602	4	0	1
6858	4	0	24
4694	4	0	49
13148	4	0	0
5020	4	0	3
14678	4	0	0
4562	4	0	974
15262	4	0	0
458	4	0	83
908	4	0	108
456	4	0	3454
5002	4	0	62
6876	4	0	1
14810	4	0	0
4952	4	0	13
14686	4	0	0
13262	4	0	0
856	4	0	94
6870	4	0	0
280	4	0	66242
974	4	0	458
4546	4	0	893
924	4	0	37
4758	4	0	0
14	4	0	133749
4572	4	0	89
