MotifId	Nodes	Edges	Count
904	4	0	16961
4374	4	0	411
990	4	0	253
5064	4	0	0
4420	4	0	436
972	4	0	1
922	4	0	1315
3038	4	0	75
858	4	0	0
4950	4	0	0
468	4	0	860
14812	4	0	0
4574	4	0	38
7126	4	0	0
14790	4	0	0
2190	4	0	3813
6552	4	0	710
2270	4	0	72
7134	4	0	0
15326	4	0	12
28	4	0	45901
4678	4	0	452
4370	4	0	1544
90	4	0	1200
4958	4	0	0
2252	4	0	5274
13260	4	0	0
13278	4	0	18
6616	4	0	55
13146	4	0	0
2506	4	0	0
13142	4	0	87
6558	4	0	5
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	87
4812	4	0	0
15258	4	0	73
862	4	0	435
286	4	0	789
76	4	0	98845
78	4	0	23067
92	4	0	15687
94	4	0	2076
282	4	0	4110
346	4	0	0
348	4	0	2596
350	4	0	160
394	4	0	8658
406	4	0	2
410	4	0	1305
412	4	0	813
414	4	0	142
460	4	0	244
462	4	0	0
478	4	0	370
2184	4	0	92020
332	4	0	577
334	4	0	0
404	4	0	990
470	4	0	134
344	4	0	3323
408	4	0	12641
472	4	0	1339
474	4	0	0
476	4	0	1376
926	4	0	18
396	4	0	4312
906	4	0	2083
910	4	0	157
2186	4	0	23573
2204	4	0	1631
2206	4	0	109
2254	4	0	941
6356	4	0	0
2458	4	0	373
2526	4	0	78
2510	4	0	0
4698	4	0	0
2524	4	0	631
328	4	0	12227
330	4	0	0
4438	4	0	134
4444	4	0	63
4446	4	0	10
4430	4	0	0
4550	4	0	0
4422	4	0	0
4424	4	0	770
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	128
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	33
6554	4	0	68
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	269
5070	4	0	0
6606	4	0	0
206	4	0	6772
6854	4	0	0
398	4	0	651
4428	4	0	42
4764	4	0	0
4766	4	0	0
4682	4	0	21
4434	4	0	0
4436	4	0	2031
4564	4	0	106
4566	4	0	0
4442	4	0	0
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	68511
4426	4	0	0
2462	4	0	83
390	4	0	1948
4742	4	0	0
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	80
6358	4	0	0
222	4	0	2183
13150	4	0	0
2202	4	0	846
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	7552
6878	4	0	0
4686	4	0	35
74	4	0	52532
4946	4	0	58
5058	4	0	0
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	73
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	0
4994	4	0	0
4830	4	0	0
6364	4	0	0
4740	4	0	0
5062	4	0	0
5016	4	0	175
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	0
6604	4	0	10
5006	4	0	0
31710	4	0	5
204	4	0	27736
14814	4	0	0
454	4	0	0
6602	4	0	0
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	0
15262	4	0	0
458	4	0	0
908	4	0	403
456	4	0	2791
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	540
6870	4	0	0
280	4	0	25877
974	4	0	0
4546	4	0	0
924	4	0	0
4758	4	0	0
14	4	0	89259
4572	4	0	228
