MotifId	Nodes	Edges	Count
904	4	0	20423
4374	4	0	545
990	4	0	253
5064	4	0	0
4420	4	0	821
972	4	0	1
922	4	0	2006
3038	4	0	75
858	4	0	54
4950	4	0	15
468	4	0	926
14812	4	0	0
4574	4	0	38
7126	4	0	0
14790	4	0	0
2190	4	0	5051
6552	4	0	917
2270	4	0	79
7134	4	0	0
15326	4	0	12
28	4	0	89938
4678	4	0	943
4370	4	0	2388
90	4	0	1234
4958	4	0	0
2252	4	0	6394
13260	4	0	0
13278	4	0	18
6616	4	0	236
13146	4	0	0
2506	4	0	4
13142	4	0	151
6558	4	0	5
4558	4	0	12
6862	4	0	3
14798	4	0	0
6550	4	0	0
4556	4	0	99
4812	4	0	0
15258	4	0	94
862	4	0	435
286	4	0	1012
76	4	0	129463
78	4	0	29397
92	4	0	25213
94	4	0	2823
282	4	0	7376
346	4	0	96
348	4	0	4095
350	4	0	284
394	4	0	15385
406	4	0	6
410	4	0	1484
412	4	0	1094
414	4	0	160
460	4	0	392
462	4	0	43
478	4	0	372
2184	4	0	100096
332	4	0	1621
334	4	0	243
404	4	0	1426
470	4	0	134
344	4	0	11883
408	4	0	16822
472	4	0	1784
474	4	0	66
476	4	0	1470
926	4	0	33
396	4	0	4600
906	4	0	3735
910	4	0	157
2186	4	0	29617
2204	4	0	2628
2206	4	0	154
2254	4	0	1429
6356	4	0	10
2458	4	0	491
2526	4	0	86
2510	4	0	6
4698	4	0	0
2524	4	0	687
328	4	0	44607
330	4	0	2429
4438	4	0	134
4444	4	0	63
4446	4	0	10
4430	4	0	44
4550	4	0	44
4422	4	0	321
4424	4	0	1431
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	196
5022	4	0	4
5086	4	0	0
4998	4	0	6
4382	4	0	39
6554	4	0	92
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	322
5070	4	0	0
6606	4	0	0
206	4	0	8531
6854	4	0	36
398	4	0	869
4428	4	0	192
4764	4	0	26
4766	4	0	21
4682	4	0	21
4434	4	0	167
4436	4	0	2094
4564	4	0	120
4566	4	0	1
4442	4	0	16
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	98720
4426	4	0	113
2462	4	0	90
390	4	0	2548
4742	4	0	592
6874	4	0	0
4814	4	0	2
6614	4	0	0
6618	4	0	20
6620	4	0	80
6358	4	0	0
222	4	0	2237
13150	4	0	8
2202	4	0	1020
6598	4	0	12
5066	4	0	0
6342	4	0	89
5012	4	0	74
30	4	0	9232
6878	4	0	0
4686	4	0	35
74	4	0	78981
4946	4	0	73
5058	4	0	0
5010	4	0	92
5074	4	0	16
5004	4	0	0
4440	4	0	367
6348	4	0	91
6350	4	0	3
6366	4	0	0
4748	4	0	134
4750	4	0	32
5076	4	0	0
4418	4	0	2758
4994	4	0	257
4830	4	0	0
6364	4	0	8
4740	4	0	604
5062	4	0	36
5016	4	0	364
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	64
6604	4	0	10
5006	4	0	0
31710	4	0	5
204	4	0	30448
14814	4	0	0
454	4	0	130
6602	4	0	4
6858	4	0	3
4694	4	0	57
13148	4	0	0
5020	4	0	12
14678	4	0	0
4562	4	0	40
15262	4	0	3
458	4	0	232
908	4	0	406
456	4	0	4572
5002	4	0	36
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	600
6870	4	0	0
280	4	0	44293
974	4	0	3
4546	4	0	497
924	4	0	16
4758	4	0	37
14	4	0	99954
4572	4	0	228
