MotifId	Nodes	Edges	Count
904	4	0	17987
4374	4	0	4905
990	4	0	1239
5064	4	0	14
4420	4	0	474
972	4	0	2258
922	4	0	1501
3038	4	0	180
858	4	0	4163
4950	4	0	235
468	4	0	3091
14812	4	0	183
4574	4	0	300
7126	4	0	81
14790	4	0	0
2190	4	0	5385
6552	4	0	1460
2270	4	0	323
7134	4	0	3
15326	4	0	81
28	4	0	66123
4678	4	0	740
4370	4	0	15769
90	4	0	3892
4958	4	0	51
2252	4	0	9004
13260	4	0	516
13278	4	0	111
6616	4	0	242
13146	4	0	276
2506	4	0	20
13142	4	0	90
6558	4	0	568
4558	4	0	651
6862	4	0	249
14798	4	0	60
6550	4	0	487
4556	4	0	1874
4812	4	0	404
15258	4	0	214
862	4	0	1294
286	4	0	8019
76	4	0	190324
78	4	0	46789
92	4	0	28550
94	4	0	9801
282	4	0	7161
346	4	0	345
348	4	0	6717
350	4	0	3184
394	4	0	11164
406	4	0	8334
410	4	0	3540
412	4	0	2231
414	4	0	1228
460	4	0	8064
462	4	0	2189
478	4	0	1240
2184	4	0	113204
332	4	0	23418
334	4	0	8124
404	4	0	19552
470	4	0	2139
344	4	0	6334
408	4	0	19364
472	4	0	2376
474	4	0	368
476	4	0	3371
926	4	0	193
396	4	0	19880
906	4	0	2671
910	4	0	418
2186	4	0	35653
2204	4	0	2821
2206	4	0	521
2254	4	0	2126
6356	4	0	30
2458	4	0	2174
2526	4	0	249
2510	4	0	354
4698	4	0	988
2524	4	0	1097
328	4	0	19076
330	4	0	889
4438	4	0	1595
4444	4	0	590
4446	4	0	561
4430	4	0	1191
4550	4	0	5
4422	4	0	76
4424	4	0	3476
4700	4	0	183
4702	4	0	287
4954	4	0	286
5014	4	0	385
5018	4	0	144
5022	4	0	17
5086	4	0	12
4998	4	0	125
4382	4	0	1194
6554	4	0	1324
7128	4	0	0
15310	4	0	0
6622	4	0	28
4548	4	0	292
5070	4	0	428
6606	4	0	116
206	4	0	10988
6854	4	0	13
398	4	0	4177
4428	4	0	4048
4764	4	0	82
4766	4	0	64
4682	4	0	1710
4434	4	0	6057
4436	4	0	3976
4564	4	0	243
4566	4	0	213
4442	4	0	1390
5078	4	0	92
5082	4	0	64
5084	4	0	231
392	4	0	82677
4426	4	0	88
2462	4	0	684
390	4	0	15295
4742	4	0	78
6874	4	0	66
4814	4	0	170
6614	4	0	167
6618	4	0	142
6620	4	0	202
6358	4	0	15
222	4	0	3882
13150	4	0	15
2202	4	0	2418
6598	4	0	0
5066	4	0	4
6342	4	0	18
5012	4	0	643
30	4	0	49088
6878	4	0	1
4686	4	0	138
74	4	0	81933
4946	4	0	1329
5058	4	0	14
5010	4	0	278
5074	4	0	328
5004	4	0	72
4440	4	0	3593
6348	4	0	1252
6350	4	0	172
6366	4	0	79
4748	4	0	727
4750	4	0	114
5076	4	0	81
4418	4	0	461
4994	4	0	205
4830	4	0	18
6364	4	0	125
4740	4	0	47
5062	4	0	18
5016	4	0	327
5080	4	0	22
5068	4	0	414
7130	4	0	15
4692	4	0	891
6604	4	0	502
5006	4	0	60
31710	4	0	29
204	4	0	39793
14814	4	0	69
454	4	0	4366
6602	4	0	6
6858	4	0	152
4694	4	0	180
13148	4	0	91
5020	4	0	73
14678	4	0	0
4562	4	0	1322
15262	4	0	201
458	4	0	410
908	4	0	686
456	4	0	5093
5002	4	0	9
6876	4	0	14
14810	4	0	0
4952	4	0	404
14686	4	0	0
13262	4	0	334
856	4	0	1867
6870	4	0	4
280	4	0	33600
974	4	0	1305
4546	4	0	32
924	4	0	201
4758	4	0	0
14	4	0	156373
4572	4	0	512
