MotifId	Nodes	Edges	Count
904	4	0	52727
4374	4	0	36
990	4	0	0
5064	4	0	0
4420	4	0	319
972	4	0	9
922	4	0	1070
3038	4	0	0
858	4	0	6
4950	4	0	0
468	4	0	48
14812	4	0	0
4574	4	0	1
7126	4	0	0
14790	4	0	0
2190	4	0	12939
6552	4	0	384
2270	4	0	216
7134	4	0	0
15326	4	0	0
28	4	0	176674
4678	4	0	187
4370	4	0	685
90	4	0	618
4958	4	0	0
2252	4	0	13842
13260	4	0	0
13278	4	0	0
6616	4	0	34
13146	4	0	0
2506	4	0	1128
13142	4	0	0
6558	4	0	0
4558	4	0	19
6862	4	0	0
14798	4	0	0
6550	4	0	17
4556	4	0	9
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	82
76	4	0	182019
78	4	0	58432
92	4	0	49908
94	4	0	1995
282	4	0	2566
346	4	0	1038
348	4	0	845
350	4	0	5
394	4	0	38679
406	4	0	7
410	4	0	931
412	4	0	328
414	4	0	48
460	4	0	236
462	4	0	326
478	4	0	82
2184	4	0	107252
332	4	0	879
334	4	0	1422
404	4	0	122
470	4	0	13
344	4	0	30036
408	4	0	31469
472	4	0	4576
474	4	0	210
476	4	0	245
926	4	0	37
396	4	0	786
906	4	0	11589
910	4	0	210
2186	4	0	32521
2204	4	0	4325
2206	4	0	211
2254	4	0	3374
6356	4	0	776
2458	4	0	331
2526	4	0	13
2510	4	0	37
4698	4	0	0
2524	4	0	359
328	4	0	111523
330	4	0	35127
4438	4	0	7
4444	4	0	27
4446	4	0	1
4430	4	0	1
4550	4	0	175
4422	4	0	734
4424	4	0	186
4700	4	0	0
4702	4	0	2
4954	4	0	0
5014	4	0	7
5018	4	0	26
5022	4	0	0
5086	4	0	0
4998	4	0	51
4382	4	0	0
6554	4	0	15
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	8
5070	4	0	0
6606	4	0	0
206	4	0	14832
6854	4	0	200
398	4	0	448
4428	4	0	8
4764	4	0	149
4766	4	0	0
4682	4	0	0
4434	4	0	670
4436	4	0	576
4564	4	0	50
4566	4	0	0
4442	4	0	1
5078	4	0	0
5082	4	0	2
5084	4	0	0
392	4	0	162039
4426	4	0	254
2462	4	0	27
390	4	0	258
4742	4	0	4014
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	11
6358	4	0	30
222	4	0	1319
13150	4	0	0
2202	4	0	333
6598	4	0	249
5066	4	0	0
6342	4	0	2211
5012	4	0	61
30	4	0	2883
6878	4	0	0
4686	4	0	0
74	4	0	179482
4946	4	0	24
5058	4	0	210
5010	4	0	30
5074	4	0	8
5004	4	0	0
4440	4	0	45
6348	4	0	85
6350	4	0	124
6366	4	0	22
4748	4	0	6
4750	4	0	60
5076	4	0	0
4418	4	0	24044
4994	4	0	2349
4830	4	0	0
6364	4	0	0
4740	4	0	501
5062	4	0	4
5016	4	0	5
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	327
6604	4	0	0
5006	4	0	4
31710	4	0	0
204	4	0	55075
14814	4	0	0
454	4	0	255
6602	4	0	59
6858	4	0	0
4694	4	0	4
13148	4	0	0
5020	4	0	0
14678	4	0	28
4562	4	0	391
15262	4	0	0
458	4	0	7899
908	4	0	162
456	4	0	9507
5002	4	0	52
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	92
6870	4	0	5
280	4	0	132333
974	4	0	10
4546	4	0	9241
924	4	0	335
4758	4	0	276
14	4	0	124464
4572	4	0	12
