MotifId	Nodes	Edges	Count
904	4	0	18377
4374	4	0	64676
990	4	0	0
5064	4	0	219
4420	4	0	1834
972	4	0	41402
922	4	0	2202
3038	4	0	0
858	4	0	4670
4950	4	0	0
468	4	0	3594
14812	4	0	48
4574	4	0	1298
7126	4	0	0
14790	4	0	0
2190	4	0	11475
6552	4	0	1775
2270	4	0	900
7134	4	0	0
15326	4	0	0
28	4	0	104554
4678	4	0	251
4370	4	0	99100
90	4	0	25717
4958	4	0	0
2252	4	0	29156
13260	4	0	14263
13278	4	0	0
6616	4	0	203
13146	4	0	20
2506	4	0	155
13142	4	0	0
6558	4	0	1411
4558	4	0	9407
6862	4	0	458
14798	4	0	212
6550	4	0	11793
4556	4	0	22729
4812	4	0	2037
15258	4	0	0
862	4	0	0
286	4	0	61850
76	4	0	379144
78	4	0	103416
92	4	0	64104
94	4	0	29508
282	4	0	39010
346	4	0	5821
348	4	0	12711
350	4	0	14394
394	4	0	16446
406	4	0	70710
410	4	0	21015
412	4	0	8431
414	4	0	15237
460	4	0	40896
462	4	0	22119
478	4	0	1461
2184	4	0	194288
332	4	0	116153
334	4	0	29547
404	4	0	69228
470	4	0	3237
344	4	0	17267
408	4	0	47939
472	4	0	7656
474	4	0	3366
476	4	0	2994
926	4	0	1387
396	4	0	44867
906	4	0	6933
910	4	0	2944
2186	4	0	59227
2204	4	0	6156
2206	4	0	2475
2254	4	0	7256
6356	4	0	78
2458	4	0	8197
2526	4	0	913
2510	4	0	3700
4698	4	0	13506
2524	4	0	818
328	4	0	28306
330	4	0	3174
4438	4	0	4594
4444	4	0	1453
4446	4	0	8189
4430	4	0	6694
4550	4	0	171
4422	4	0	479
4424	4	0	11917
4700	4	0	1613
4702	4	0	3127
4954	4	0	1350
5014	4	0	594
5018	4	0	113
5022	4	0	21
5086	4	0	0
4998	4	0	290
4382	4	0	26663
6554	4	0	836
7128	4	0	59
15310	4	0	56
6622	4	0	455
4548	4	0	1107
5070	4	0	911
6606	4	0	2311
206	4	0	27432
6854	4	0	13
398	4	0	10703
4428	4	0	31091
4764	4	0	49
4766	4	0	333
4682	4	0	6740
4434	4	0	37107
4436	4	0	8419
4564	4	0	817
4566	4	0	457
4442	4	0	13773
5078	4	0	0
5082	4	0	92
5084	4	0	174
392	4	0	111949
4426	4	0	783
2462	4	0	7970
390	4	0	29546
4742	4	0	423
6874	4	0	1457
4814	4	0	1337
6614	4	0	689
6618	4	0	135
6620	4	0	497
6358	4	0	378
222	4	0	4855
13150	4	0	0
2202	4	0	2806
6598	4	0	4
5066	4	0	35
6342	4	0	126
5012	4	0	3111
30	4	0	115497
6878	4	0	111
4686	4	0	456
74	4	0	111764
4946	4	0	4289
5058	4	0	724
5010	4	0	2119
5074	4	0	1703
5004	4	0	1657
4440	4	0	8439
6348	4	0	10380
6350	4	0	4217
6366	4	0	1272
4748	4	0	1178
4750	4	0	1877
5076	4	0	878
4418	4	0	1497
4994	4	0	716
4830	4	0	63
6364	4	0	459
4740	4	0	84
5062	4	0	128
5016	4	0	254
5080	4	0	251
5068	4	0	5312
7130	4	0	31
4692	4	0	12398
6604	4	0	8308
5006	4	0	2298
31710	4	0	0
204	4	0	90562
14814	4	0	0
454	4	0	30698
6602	4	0	43
6858	4	0	1025
4694	4	0	1937
13148	4	0	1613
5020	4	0	11
14678	4	0	0
4562	4	0	3789
15262	4	0	0
458	4	0	834
908	4	0	3816
456	4	0	10455
5002	4	0	161
6876	4	0	130
14810	4	0	0
4952	4	0	881
14686	4	0	0
13262	4	0	3818
856	4	0	5580
6870	4	0	155
280	4	0	86959
974	4	0	1890
4546	4	0	175
924	4	0	2120
4758	4	0	1
14	4	0	245673
4572	4	0	3794
