MotifId	Nodes	Edges	Count
904	4	0	3990
4374	4	0	2248
990	4	0	14
5064	4	0	139
4420	4	0	1875
972	4	0	1458
922	4	0	305
3038	4	0	23
858	4	0	279
4950	4	0	337
468	4	0	3447
14812	4	0	1
4574	4	0	16
7126	4	0	3
14790	4	0	0
2190	4	0	1790
6552	4	0	1449
2270	4	0	26
7134	4	0	0
15326	4	0	2
28	4	0	25571
4678	4	0	1429
4370	4	0	12291
90	4	0	4027
4958	4	0	43
2252	4	0	8473
13260	4	0	35
13278	4	0	10
6616	4	0	316
13146	4	0	3
2506	4	0	5
13142	4	0	133
6558	4	0	12
4558	4	0	171
6862	4	0	23
14798	4	0	0
6550	4	0	117
4556	4	0	1064
4812	4	0	490
15258	4	0	189
862	4	0	44
286	4	0	6835
76	4	0	137737
78	4	0	25541
92	4	0	12067
94	4	0	2788
282	4	0	5707
346	4	0	688
348	4	0	5764
350	4	0	113
394	4	0	4124
406	4	0	2545
410	4	0	1567
412	4	0	956
414	4	0	502
460	4	0	11219
462	4	0	1338
478	4	0	29
2184	4	0	49836
332	4	0	15874
334	4	0	2514
404	4	0	12984
470	4	0	747
344	4	0	4615
408	4	0	11633
472	4	0	1189
474	4	0	148
476	4	0	1466
926	4	0	26
396	4	0	9266
906	4	0	761
910	4	0	106
2186	4	0	12123
2204	4	0	703
2206	4	0	365
2254	4	0	983
6356	4	0	17
2458	4	0	1500
2526	4	0	44
2510	4	0	108
4698	4	0	181
2524	4	0	298
328	4	0	11869
330	4	0	1338
4438	4	0	380
4444	4	0	594
4446	4	0	76
4430	4	0	635
4550	4	0	39
4422	4	0	388
4424	4	0	3465
4700	4	0	31
4702	4	0	140
4954	4	0	19
5014	4	0	8
5018	4	0	111
5022	4	0	10
5086	4	0	6
4998	4	0	21
4382	4	0	872
6554	4	0	211
7128	4	0	18
15310	4	0	0
6622	4	0	2
4548	4	0	888
5070	4	0	115
6606	4	0	0
206	4	0	4703
6854	4	0	4
398	4	0	2983
4428	4	0	2286
4764	4	0	153
4766	4	0	5
4682	4	0	933
4434	4	0	1446
4436	4	0	4405
4564	4	0	610
4566	4	0	67
4442	4	0	177
5078	4	0	13
5082	4	0	7
5084	4	0	83
392	4	0	35052
4426	4	0	181
2462	4	0	205
390	4	0	5503
4742	4	0	149
6874	4	0	21
4814	4	0	134
6614	4	0	29
6618	4	0	15
6620	4	0	63
6358	4	0	5
222	4	0	99
13150	4	0	4
2202	4	0	374
6598	4	0	0
5066	4	0	7
6342	4	0	18
5012	4	0	46
30	4	0	26317
6878	4	0	0
4686	4	0	260
74	4	0	43441
4946	4	0	112
5058	4	0	29
5010	4	0	367
5074	4	0	6
5004	4	0	156
4440	4	0	1054
6348	4	0	858
6350	4	0	57
6366	4	0	2
4748	4	0	424
4750	4	0	58
5076	4	0	28
4418	4	0	980
4994	4	0	195
4830	4	0	0
6364	4	0	126
4740	4	0	81
5062	4	0	11
5016	4	0	241
5080	4	0	85
5068	4	0	268
7130	4	0	0
4692	4	0	434
6604	4	0	14
5006	4	0	34
31710	4	0	15
204	4	0	31369
14814	4	0	0
454	4	0	1012
6602	4	0	1
6858	4	0	14
4694	4	0	63
13148	4	0	0
5020	4	0	6
14678	4	0	1
4562	4	0	121
15262	4	0	16
458	4	0	351
908	4	0	969
456	4	0	4122
5002	4	0	58
6876	4	0	5
14810	4	0	0
4952	4	0	27
14686	4	0	0
13262	4	0	23
856	4	0	435
6870	4	0	0
280	4	0	19640
974	4	0	347
4546	4	0	80
924	4	0	68
4758	4	0	39
14	4	0	64909
4572	4	0	999
