MotifId	Nodes	Edges	Count
904	4	0	55100
4374	4	0	2294
990	4	0	0
5064	4	0	11
4420	4	0	3240
972	4	0	926
922	4	0	280
3038	4	0	0
858	4	0	1005
4950	4	0	0
468	4	0	1006
14812	4	0	0
4574	4	0	108
7126	4	0	0
14790	4	0	0
2190	4	0	40459
6552	4	0	221
2270	4	0	90
7134	4	0	0
15326	4	0	0
28	4	0	116341
4678	4	0	343
4370	4	0	15828
90	4	0	157
4958	4	0	0
2252	4	0	34956
13260	4	0	0
13278	4	0	0
6616	4	0	121
13146	4	0	0
2506	4	0	94
13142	4	0	0
6558	4	0	74
4558	4	0	0
6862	4	0	15
14798	4	0	0
6550	4	0	354
4556	4	0	121
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	51
76	4	0	270411
78	4	0	81493
92	4	0	47855
94	4	0	609
282	4	0	1877
346	4	0	271
348	4	0	1221
350	4	0	36
394	4	0	39887
406	4	0	2437
410	4	0	911
412	4	0	425
414	4	0	56
460	4	0	2059
462	4	0	592
478	4	0	23
2184	4	0	193413
332	4	0	5398
334	4	0	1810
404	4	0	4552
470	4	0	401
344	4	0	18250
408	4	0	43328
472	4	0	3140
474	4	0	66
476	4	0	558
926	4	0	25
396	4	0	3303
906	4	0	14317
910	4	0	56
2186	4	0	161728
2204	4	0	15363
2206	4	0	597
2254	4	0	13139
6356	4	0	10
2458	4	0	1037
2526	4	0	100
2510	4	0	236
4698	4	0	0
2524	4	0	262
328	4	0	56859
330	4	0	246
4438	4	0	1773
4444	4	0	310
4446	4	0	359
4430	4	0	0
4550	4	0	0
4422	4	0	761
4424	4	0	6082
4700	4	0	20
4702	4	0	0
4954	4	0	0
5014	4	0	360
5018	4	0	59
5022	4	0	75
5086	4	0	0
4998	4	0	176
4382	4	0	226
6554	4	0	127
7128	4	0	0
15310	4	0	0
6622	4	0	58
4548	4	0	263
5070	4	0	0
6606	4	0	0
206	4	0	30238
6854	4	0	1
398	4	0	1110
4428	4	0	303
4764	4	0	4
4766	4	0	0
4682	4	0	171
4434	4	0	5573
4436	4	0	1747
4564	4	0	169
4566	4	0	182
4442	4	0	769
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	196318
4426	4	0	348
2462	4	0	159
390	4	0	2271
4742	4	0	570
6874	4	0	0
4814	4	0	6
6614	4	0	167
6618	4	0	5
6620	4	0	69
6358	4	0	3
222	4	0	109
13150	4	0	0
2202	4	0	1913
6598	4	0	0
5066	4	0	0
6342	4	0	232
5012	4	0	2041
30	4	0	4898
6878	4	0	0
4686	4	0	1
74	4	0	132930
4946	4	0	128
5058	4	0	106
5010	4	0	313
5074	4	0	0
5004	4	0	0
4440	4	0	4514
6348	4	0	622
6350	4	0	321
6366	4	0	0
4748	4	0	697
4750	4	0	176
5076	4	0	0
4418	4	0	3208
4994	4	0	465
4830	4	0	0
6364	4	0	63
4740	4	0	73
5062	4	0	0
5016	4	0	139
5080	4	0	1
5068	4	0	0
7130	4	0	0
4692	4	0	1278
6604	4	0	65
5006	4	0	0
31710	4	0	0
204	4	0	76317
14814	4	0	0
454	4	0	1095
6602	4	0	1
6858	4	0	21
4694	4	0	49
13148	4	0	0
5020	4	0	3
14678	4	0	0
4562	4	0	973
15262	4	0	0
458	4	0	83
908	4	0	111
456	4	0	3522
5002	4	0	62
6876	4	0	1
14810	4	0	0
4952	4	0	11
14686	4	0	0
13262	4	0	0
856	4	0	94
6870	4	0	0
280	4	0	67833
974	4	0	479
4546	4	0	890
924	4	0	37
4758	4	0	0
14	4	0	133780
4572	4	0	89
