MotifId	Nodes	Edges	Count
904	4	0	2367
4374	4	0	226
990	4	0	0
5064	4	0	0
4420	4	0	148
972	4	0	282
922	4	0	85
3038	4	0	0
858	4	0	221
4950	4	0	0
468	4	0	373
14812	4	0	0
4574	4	0	23
7126	4	0	0
14790	4	0	0
2190	4	0	4148
6552	4	0	482
2270	4	0	66
7134	4	0	0
15326	4	0	0
28	4	0	7167
4678	4	0	390
4370	4	0	2237
90	4	0	424
4958	4	0	0
2252	4	0	4529
13260	4	0	4
13278	4	0	0
6616	4	0	204
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	8
4558	4	0	1
6862	4	0	0
14798	4	0	1
6550	4	0	3
4556	4	0	54
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	126
76	4	0	13810
78	4	0	6195
92	4	0	2019
94	4	0	180
282	4	0	562
346	4	0	14
348	4	0	1046
350	4	0	21
394	4	0	4362
406	4	0	240
410	4	0	283
412	4	0	59
414	4	0	26
460	4	0	440
462	4	0	18
478	4	0	44
2184	4	0	29791
332	4	0	1738
334	4	0	2
404	4	0	527
470	4	0	15
344	4	0	1812
408	4	0	3240
472	4	0	727
474	4	0	18
476	4	0	431
926	4	0	4
396	4	0	841
906	4	0	1245
910	4	0	215
2186	4	0	21516
2204	4	0	1817
2206	4	0	123
2254	4	0	2422
6356	4	0	0
2458	4	0	265
2526	4	0	44
2510	4	0	14
4698	4	0	0
2524	4	0	323
328	4	0	3121
330	4	0	12
4438	4	0	167
4444	4	0	128
4446	4	0	10
4430	4	0	7
4550	4	0	36
4422	4	0	18
4424	4	0	620
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	20
5022	4	0	6
5086	4	0	0
4998	4	0	18
4382	4	0	22
6554	4	0	68
7128	4	0	4
15310	4	0	0
6622	4	0	5
4548	4	0	31
5070	4	0	6
6606	4	0	0
206	4	0	2572
6854	4	0	13
398	4	0	894
4428	4	0	12
4764	4	0	70
4766	4	0	0
4682	4	0	18
4434	4	0	75
4436	4	0	987
4564	4	0	180
4566	4	0	6
4442	4	0	6
5078	4	0	0
5082	4	0	2
5084	4	0	0
392	4	0	12031
4426	4	0	57
2462	4	0	54
390	4	0	199
4742	4	0	99
6874	4	0	0
4814	4	0	2
6614	4	0	0
6618	4	0	0
6620	4	0	121
6358	4	0	0
222	4	0	59
13150	4	0	0
2202	4	0	493
6598	4	0	0
5066	4	0	0
6342	4	0	189
5012	4	0	0
30	4	0	1550
6878	4	0	1
4686	4	0	60
74	4	0	6401
4946	4	0	15
5058	4	0	0
5010	4	0	8
5074	4	0	0
5004	4	0	0
4440	4	0	553
6348	4	0	12
6350	4	0	0
6366	4	0	2
4748	4	0	105
4750	4	0	0
5076	4	0	0
4418	4	0	817
4994	4	0	63
4830	4	0	1
6364	4	0	43
4740	4	0	0
5062	4	0	0
5016	4	0	44
5080	4	0	2
5068	4	0	6
7130	4	0	1
4692	4	0	14
6604	4	0	5
5006	4	0	0
31710	4	0	0
204	4	0	4404
14814	4	0	0
454	4	0	117
6602	4	0	0
6858	4	0	0
4694	4	0	8
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	6
15262	4	0	0
458	4	0	36
908	4	0	130
456	4	0	657
5002	4	0	7
6876	4	0	0
14810	4	0	0
4952	4	0	20
14686	4	0	0
13262	4	0	2
856	4	0	190
6870	4	0	0
280	4	0	5606
974	4	0	22
4546	4	0	441
924	4	0	1
4758	4	0	0
14	4	0	7567
4572	4	0	144
