MotifId	Nodes	Edges	Count
904	4	0	2138
4374	4	0	179
990	4	0	0
5064	4	0	0
4420	4	0	126
972	4	0	245
922	4	0	150
3038	4	0	0
858	4	0	196
4950	4	0	0
468	4	0	222
14812	4	0	0
4574	4	0	13
7126	4	0	0
14790	4	0	0
2190	4	0	4006
6552	4	0	361
2270	4	0	86
7134	4	0	0
15326	4	0	0
28	4	0	7561
4678	4	0	263
4370	4	0	2170
90	4	0	358
4958	4	0	0
2252	4	0	4468
13260	4	0	4
13278	4	0	0
6616	4	0	124
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	6
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	3
4556	4	0	44
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	101
76	4	0	14680
78	4	0	5829
92	4	0	1968
94	4	0	199
282	4	0	524
346	4	0	3
348	4	0	871
350	4	0	15
394	4	0	4159
406	4	0	230
410	4	0	312
412	4	0	78
414	4	0	18
460	4	0	421
462	4	0	12
478	4	0	40
2184	4	0	30488
332	4	0	1659
334	4	0	0
404	4	0	443
470	4	0	4
344	4	0	1579
408	4	0	3440
472	4	0	583
474	4	0	17
476	4	0	372
926	4	0	17
396	4	0	799
906	4	0	1260
910	4	0	211
2186	4	0	21465
2204	4	0	1658
2206	4	0	84
2254	4	0	2350
6356	4	0	0
2458	4	0	245
2526	4	0	34
2510	4	0	4
4698	4	0	0
2524	4	0	328
328	4	0	2890
330	4	0	12
4438	4	0	132
4444	4	0	104
4446	4	0	10
4430	4	0	1
4550	4	0	36
4422	4	0	8
4424	4	0	592
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	14
5022	4	0	0
5086	4	0	0
4998	4	0	18
4382	4	0	12
6554	4	0	41
7128	4	0	1
15310	4	0	0
6622	4	0	2
4548	4	0	32
5070	4	0	6
6606	4	0	0
206	4	0	3008
6854	4	0	10
398	4	0	870
4428	4	0	5
4764	4	0	70
4766	4	0	0
4682	4	0	18
4434	4	0	67
4436	4	0	732
4564	4	0	136
4566	4	0	6
4442	4	0	6
5078	4	0	0
5082	4	0	2
5084	4	0	0
392	4	0	12128
4426	4	0	57
2462	4	0	36
390	4	0	152
4742	4	0	101
6874	4	0	0
4814	4	0	2
6614	4	0	0
6618	4	0	0
6620	4	0	71
6358	4	0	0
222	4	0	103
13150	4	0	0
2202	4	0	402
6598	4	0	0
5066	4	0	0
6342	4	0	181
5012	4	0	0
30	4	0	1613
6878	4	0	0
4686	4	0	39
74	4	0	5675
4946	4	0	10
5058	4	0	0
5010	4	0	3
5074	4	0	0
5004	4	0	0
4440	4	0	545
6348	4	0	10
6350	4	0	0
6366	4	0	0
4748	4	0	105
4750	4	0	0
5076	4	0	0
4418	4	0	808
4994	4	0	70
4830	4	0	0
6364	4	0	6
4740	4	0	0
5062	4	0	0
5016	4	0	46
5080	4	0	2
5068	4	0	6
7130	4	0	1
4692	4	0	5
6604	4	0	3
5006	4	0	0
31710	4	0	0
204	4	0	4609
14814	4	0	0
454	4	0	112
6602	4	0	0
6858	4	0	0
4694	4	0	5
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	6
15262	4	0	0
458	4	0	36
908	4	0	142
456	4	0	602
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	14
14686	4	0	0
13262	4	0	2
856	4	0	190
6870	4	0	0
280	4	0	5146
974	4	0	22
4546	4	0	452
924	4	0	1
4758	4	0	0
14	4	0	8499
4572	4	0	35
