MotifId	Nodes	Edges	Count
904	4	0	65123
4374	4	0	283
990	4	0	25
5064	4	0	0
4420	4	0	2994
972	4	0	44
922	4	0	2974
3038	4	0	589
858	4	0	22
4950	4	0	244
468	4	0	4599
14812	4	0	0
4574	4	0	21
7126	4	0	15
14790	4	0	0
2190	4	0	19492
6552	4	0	13064
2270	4	0	1367
7134	4	0	0
15326	4	0	4
28	4	0	32258
4678	4	0	5150
4370	4	0	23798
90	4	0	10
4958	4	0	2
2252	4	0	104754
13260	4	0	2
13278	4	0	6
6616	4	0	1950
13146	4	0	0
2506	4	0	0
13142	4	0	42
6558	4	0	8
4558	4	0	42
6862	4	0	16
14798	4	0	0
6550	4	0	0
4556	4	0	749
4812	4	0	0
15258	4	0	1175
862	4	0	15
286	4	0	13
76	4	0	224817
78	4	0	34686
92	4	0	11353
94	4	0	118
282	4	0	812
346	4	0	42
348	4	0	991
350	4	0	4
394	4	0	38128
406	4	0	6
410	4	0	1156
412	4	0	1012
414	4	0	2
460	4	0	149
462	4	0	26
478	4	0	8
2184	4	0	569900
332	4	0	763
334	4	0	10
404	4	0	3235
470	4	0	1
344	4	0	11793
408	4	0	71181
472	4	0	3501
474	4	0	4
476	4	0	747
926	4	0	4
396	4	0	984
906	4	0	20389
910	4	0	69
2186	4	0	246344
2204	4	0	6157
2206	4	0	86
2254	4	0	20542
6356	4	0	0
2458	4	0	617
2526	4	0	18
2510	4	0	41
4698	4	0	4
2524	4	0	9308
328	4	0	32395
330	4	0	0
4438	4	0	3
4444	4	0	196
4446	4	0	0
4430	4	0	6
4550	4	0	0
4422	4	0	60
4424	4	0	7169
4700	4	0	0
4702	4	0	14
4954	4	0	4
5014	4	0	0
5018	4	0	108
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	9
6554	4	0	10
7128	4	0	8
15310	4	0	0
6622	4	0	17
4548	4	0	764
5070	4	0	0
6606	4	0	0
206	4	0	17363
6854	4	0	0
398	4	0	36
4428	4	0	365
4764	4	0	0
4766	4	0	0
4682	4	0	27
4434	4	0	1582
4436	4	0	13825
4564	4	0	701
4566	4	0	0
4442	4	0	16
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	384028
4426	4	0	0
2462	4	0	25
390	4	0	44
4742	4	0	0
6874	4	0	6
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	260
6358	4	0	0
222	4	0	1516
13150	4	0	0
2202	4	0	9667
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	22
30	4	0	8
6878	4	0	0
4686	4	0	7
74	4	0	87165
4946	4	0	588
5058	4	0	0
5010	4	0	96
5074	4	0	6
5004	4	0	0
4440	4	0	5221
6348	4	0	0
6350	4	0	6
6366	4	0	24
4748	4	0	0
4750	4	0	0
5076	4	0	0
4418	4	0	0
4994	4	0	0
4830	4	0	0
6364	4	0	594
4740	4	0	0
5062	4	0	0
5016	4	0	1490
5080	4	0	3
5068	4	0	4
7130	4	0	8
4692	4	0	264
6604	4	0	699
5006	4	0	0
31710	4	0	35
204	4	0	86084
14814	4	0	0
454	4	0	16
6602	4	0	0
6858	4	0	0
4694	4	0	787
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	20
15262	4	0	1
458	4	0	0
908	4	0	42
456	4	0	771
5002	4	0	180
6876	4	0	0
14810	4	0	0
4952	4	0	301
14686	4	0	0
13262	4	0	0
856	4	0	398
6870	4	0	0
280	4	0	126892
974	4	0	11
4546	4	0	0
924	4	0	69
4758	4	0	0
14	4	0	91980
4572	4	0	262
