MotifId	Nodes	Edges	Count
904	4	0	21047
4374	4	0	6338
990	4	0	0
5064	4	0	0
4420	4	0	1648
972	4	0	515
922	4	0	407
3038	4	0	0
858	4	0	124
4950	4	0	0
468	4	0	922
14812	4	0	0
4574	4	0	422
7126	4	0	0
14790	4	0	0
2190	4	0	19126
6552	4	0	1189
2270	4	0	79
7134	4	0	0
15326	4	0	0
28	4	0	29760
4678	4	0	451
4370	4	0	13167
90	4	0	278
4958	4	0	0
2252	4	0	24615
13260	4	0	0
13278	4	0	0
6616	4	0	555
13146	4	0	1
2506	4	0	31
13142	4	0	0
6558	4	0	450
4558	4	0	106
6862	4	0	87
14798	4	0	29
6550	4	0	2747
4556	4	0	175
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	856
76	4	0	88203
78	4	0	30375
92	4	0	18812
94	4	0	377
282	4	0	4420
346	4	0	1308
348	4	0	649
350	4	0	389
394	4	0	16652
406	4	0	557
410	4	0	1537
412	4	0	960
414	4	0	339
460	4	0	1325
462	4	0	789
478	4	0	79
2184	4	0	98602
332	4	0	1414
334	4	0	934
404	4	0	1580
470	4	0	107
344	4	0	15977
408	4	0	20809
472	4	0	2776
474	4	0	64
476	4	0	420
926	4	0	42
396	4	0	1300
906	4	0	9339
910	4	0	183
2186	4	0	93266
2204	4	0	10121
2206	4	0	94
2254	4	0	11634
6356	4	0	53
2458	4	0	423
2526	4	0	70
2510	4	0	85
4698	4	0	0
2524	4	0	278
328	4	0	22988
330	4	0	1828
4438	4	0	3001
4444	4	0	364
4446	4	0	1753
4430	4	0	315
4550	4	0	209
4422	4	0	1590
4424	4	0	3085
4700	4	0	93
4702	4	0	15
4954	4	0	20
5014	4	0	1456
5018	4	0	117
5022	4	0	128
5086	4	0	0
4998	4	0	502
4382	4	0	1291
6554	4	0	92
7128	4	0	0
15310	4	0	2
6622	4	0	237
4548	4	0	225
5070	4	0	21
6606	4	0	80
206	4	0	16762
6854	4	0	44
398	4	0	380
4428	4	0	715
4764	4	0	39
4766	4	0	65
4682	4	0	56
4434	4	0	8246
4436	4	0	2280
4564	4	0	929
4566	4	0	810
4442	4	0	4160
5078	4	0	0
5082	4	0	8
5084	4	0	0
392	4	0	67939
4426	4	0	1073
2462	4	0	18
390	4	0	977
4742	4	0	1919
6874	4	0	5
4814	4	0	2
6614	4	0	1495
6618	4	0	5
6620	4	0	121
6358	4	0	74
222	4	0	176
13150	4	0	0
2202	4	0	336
6598	4	0	417
5066	4	0	32
6342	4	0	728
5012	4	0	1546
30	4	0	753
6878	4	0	2
4686	4	0	0
74	4	0	48340
4946	4	0	115
5058	4	0	634
5010	4	0	471
5074	4	0	31
5004	4	0	1
4440	4	0	4021
6348	4	0	2314
6350	4	0	1542
6366	4	0	11
4748	4	0	128
4750	4	0	204
5076	4	0	0
4418	4	0	5856
4994	4	0	830
4830	4	0	2
6364	4	0	195
4740	4	0	494
5062	4	0	0
5016	4	0	266
5080	4	0	4
5068	4	0	0
7130	4	0	1
4692	4	0	1736
6604	4	0	122
5006	4	0	96
31710	4	0	0
204	4	0	34620
14814	4	0	0
454	4	0	746
6602	4	0	0
6858	4	0	70
4694	4	0	343
13148	4	0	6
5020	4	0	11
14678	4	0	0
4562	4	0	3765
15262	4	0	0
458	4	0	450
908	4	0	258
456	4	0	2376
5002	4	0	383
6876	4	0	2
14810	4	0	0
4952	4	0	65
14686	4	0	0
13262	4	0	1
856	4	0	286
6870	4	0	1
280	4	0	34683
974	4	0	290
4546	4	0	2167
924	4	0	484
4758	4	0	191
14	4	0	34723
4572	4	0	162
