MotifId	Nodes	Edges	Count
904	4	0	20544
4374	4	0	6033
990	4	0	2
5064	4	0	0
4420	4	0	1768
972	4	0	368
922	4	0	688
3038	4	0	8
858	4	0	132
4950	4	0	6
468	4	0	1060
14812	4	0	0
4574	4	0	438
7126	4	0	0
14790	4	0	0
2190	4	0	19283
6552	4	0	1314
2270	4	0	167
7134	4	0	0
15326	4	0	0
28	4	0	29796
4678	4	0	551
4370	4	0	13558
90	4	0	238
4958	4	0	0
2252	4	0	25536
13260	4	0	0
13278	4	0	0
6616	4	0	627
13146	4	0	1
2506	4	0	220
13142	4	0	24
6558	4	0	428
4558	4	0	91
6862	4	0	100
14798	4	0	26
6550	4	0	2450
4556	4	0	153
4812	4	0	0
15258	4	0	20
862	4	0	3
286	4	0	765
76	4	0	85811
78	4	0	30387
92	4	0	18285
94	4	0	322
282	4	0	4232
346	4	0	1250
348	4	0	528
350	4	0	367
394	4	0	16877
406	4	0	537
410	4	0	1845
412	4	0	713
414	4	0	323
460	4	0	984
462	4	0	653
478	4	0	76
2184	4	0	98236
332	4	0	1264
334	4	0	820
404	4	0	1859
470	4	0	107
344	4	0	16431
408	4	0	21254
472	4	0	2993
474	4	0	72
476	4	0	306
926	4	0	46
396	4	0	1041
906	4	0	9689
910	4	0	136
2186	4	0	93817
2204	4	0	11053
2206	4	0	237
2254	4	0	11984
6356	4	0	50
2458	4	0	916
2526	4	0	96
2510	4	0	200
4698	4	0	0
2524	4	0	472
328	4	0	23890
330	4	0	1898
4438	4	0	3114
4444	4	0	398
4446	4	0	1602
4430	4	0	302
4550	4	0	223
4422	4	0	1543
4424	4	0	3167
4700	4	0	88
4702	4	0	15
4954	4	0	20
5014	4	0	1530
5018	4	0	105
5022	4	0	130
5086	4	0	0
4998	4	0	491
4382	4	0	1038
6554	4	0	119
7128	4	0	2
15310	4	0	2
6622	4	0	238
4548	4	0	337
5070	4	0	20
6606	4	0	80
206	4	0	16116
6854	4	0	51
398	4	0	306
4428	4	0	645
4764	4	0	47
4766	4	0	68
4682	4	0	56
4434	4	0	8129
4436	4	0	2700
4564	4	0	1169
4566	4	0	772
4442	4	0	3799
5078	4	0	0
5082	4	0	8
5084	4	0	0
392	4	0	67480
4426	4	0	1048
2462	4	0	69
390	4	0	1026
4742	4	0	1924
6874	4	0	5
4814	4	0	2
6614	4	0	1466
6618	4	0	6
6620	4	0	133
6358	4	0	74
222	4	0	228
13150	4	0	1
2202	4	0	602
6598	4	0	378
5066	4	0	30
6342	4	0	690
5012	4	0	1453
30	4	0	662
6878	4	0	2
4686	4	0	0
74	4	0	48030
4946	4	0	114
5058	4	0	630
5010	4	0	470
5074	4	0	30
5004	4	0	1
4440	4	0	4116
6348	4	0	2577
6350	4	0	1525
6366	4	0	11
4748	4	0	108
4750	4	0	202
5076	4	0	0
4418	4	0	5733
4994	4	0	826
4830	4	0	2
6364	4	0	217
4740	4	0	534
5062	4	0	1
5016	4	0	322
5080	4	0	3
5068	4	0	0
7130	4	0	1
4692	4	0	1705
6604	4	0	132
5006	4	0	94
31710	4	0	0
204	4	0	33512
14814	4	0	1
454	4	0	785
6602	4	0	1
6858	4	0	78
4694	4	0	351
13148	4	0	6
5020	4	0	14
14678	4	0	2
4562	4	0	3600
15262	4	0	0
458	4	0	115
908	4	0	138
456	4	0	2098
5002	4	0	363
6876	4	0	2
14810	4	0	0
4952	4	0	78
14686	4	0	0
13262	4	0	1
856	4	0	323
6870	4	0	1
280	4	0	34911
974	4	0	230
4546	4	0	2104
924	4	0	403
4758	4	0	204
14	4	0	34282
4572	4	0	151
