MotifId	Nodes	Edges	Count
904	4	0	73
4374	4	0	5620
990	4	0	3456
5064	4	0	355
4420	4	0	820
972	4	0	325
922	4	0	90
3038	4	0	3288
858	4	0	1873
4950	4	0	9410
468	4	0	2137
14812	4	0	90
4574	4	0	565
7126	4	0	240
14790	4	0	0
2190	4	0	47
6552	4	0	35
2270	4	0	198
7134	4	0	2584
15326	4	0	6381
28	4	0	4681
4678	4	0	3328
4370	4	0	1628
90	4	0	1764
4958	4	0	28852
2252	4	0	25
13260	4	0	245
13278	4	0	6132
6616	4	0	47
13146	4	0	366
2506	4	0	4
13142	4	0	1425
6558	4	0	423
4558	4	0	95
6862	4	0	33
14798	4	0	47
6550	4	0	25
4556	4	0	245
4812	4	0	272
15258	4	0	478
862	4	0	19258
286	4	0	7786
76	4	0	1545
78	4	0	762
92	4	0	597
94	4	0	2428
282	4	0	3368
346	4	0	207
348	4	0	595
350	4	0	2988
394	4	0	956
406	4	0	10647
410	4	0	1101
412	4	0	900
414	4	0	4514
460	4	0	281
462	4	0	130
478	4	0	931
2184	4	0	222
332	4	0	2115
334	4	0	367
404	4	0	6076
470	4	0	2582
344	4	0	764
408	4	0	220
472	4	0	76
474	4	0	79
476	4	0	192
926	4	0	482
396	4	0	6880
906	4	0	83
910	4	0	886
2186	4	0	263
2204	4	0	76
2206	4	0	443
2254	4	0	22
6356	4	0	0
2458	4	0	220
2526	4	0	799
2510	4	0	66
4698	4	0	20751
2524	4	0	69
328	4	0	821
330	4	0	187
4438	4	0	2229
4444	4	0	2099
4446	4	0	5831
4430	4	0	986
4550	4	0	59
4422	4	0	202
4424	4	0	3472
4700	4	0	1534
4702	4	0	7843
4954	4	0	7697
5014	4	0	45
5018	4	0	322
5022	4	0	559
5086	4	0	8188
4998	4	0	255
4382	4	0	5382
6554	4	0	358
7128	4	0	67
15310	4	0	217
6622	4	0	260
4548	4	0	445
5070	4	0	239
6606	4	0	42
206	4	0	41
6854	4	0	11
398	4	0	1103
4428	4	0	6476
4764	4	0	111
4766	4	0	96
4682	4	0	25195
4434	4	0	211
4436	4	0	661
4564	4	0	166
4566	4	0	149
4442	4	0	514
5078	4	0	984
5082	4	0	1127
5084	4	0	717
392	4	0	1102
4426	4	0	73
2462	4	0	594
390	4	0	5308
4742	4	0	26
6874	4	0	739
4814	4	0	213
6614	4	0	24
6618	4	0	75
6620	4	0	270
6358	4	0	17
222	4	0	262
13150	4	0	4605
2202	4	0	1161
6598	4	0	2
5066	4	0	41
6342	4	0	1
5012	4	0	45
30	4	0	3329
6878	4	0	154
4686	4	0	2072
74	4	0	1916
4946	4	0	1868
5058	4	0	8
5010	4	0	46
5074	4	0	216
5004	4	0	391
4440	4	0	463
6348	4	0	42
6350	4	0	11
6366	4	0	144
4748	4	0	123
4750	4	0	105
5076	4	0	168
4418	4	0	59
4994	4	0	35
4830	4	0	587
6364	4	0	33
4740	4	0	1
5062	4	0	21
5016	4	0	345
5080	4	0	593
5068	4	0	1032
7130	4	0	403
4692	4	0	463
6604	4	0	255
5006	4	0	1048
31710	4	0	14549
204	4	0	25
14814	4	0	900
454	4	0	876
6602	4	0	27
6858	4	0	170
4694	4	0	1413
13148	4	0	143
5020	4	0	317
14678	4	0	29
4562	4	0	23
15262	4	0	778
458	4	0	33
908	4	0	277
456	4	0	118
5002	4	0	154
6876	4	0	42
14810	4	0	209
4952	4	0	2857
14686	4	0	2
13262	4	0	531
856	4	0	7503
6870	4	0	29
280	4	0	918
974	4	0	238
4546	4	0	3
924	4	0	73
4758	4	0	7
14	4	0	419
4572	4	0	236
