MotifId	Nodes	Edges	Count
904	4	0	10
4374	4	0	888
990	4	0	338
5064	4	0	38
4420	4	0	303
972	4	0	58
922	4	0	17
3038	4	0	112
858	4	0	288
4950	4	0	451
468	4	0	523
14812	4	0	29
4574	4	0	286
7126	4	0	18
14790	4	0	0
2190	4	0	119
6552	4	0	42
2270	4	0	140
7134	4	0	238
15326	4	0	257
28	4	0	273
4678	4	0	73
4370	4	0	417
90	4	0	922
4958	4	0	1414
2252	4	0	41
13260	4	0	8
13278	4	0	269
6616	4	0	77
13146	4	0	34
2506	4	0	0
13142	4	0	72
6558	4	0	131
4558	4	0	15
6862	4	0	10
14798	4	0	4
6550	4	0	2
4556	4	0	37
4812	4	0	24
15258	4	0	28
862	4	0	983
286	4	0	2124
76	4	0	1540
78	4	0	825
92	4	0	242
94	4	0	1070
282	4	0	764
346	4	0	56
348	4	0	216
350	4	0	781
394	4	0	98
406	4	0	2460
410	4	0	296
412	4	0	304
414	4	0	1239
460	4	0	91
462	4	0	87
478	4	0	456
2184	4	0	132
332	4	0	1164
334	4	0	261
404	4	0	1958
470	4	0	927
344	4	0	124
408	4	0	183
472	4	0	124
474	4	0	33
476	4	0	138
926	4	0	129
396	4	0	1661
906	4	0	26
910	4	0	91
2186	4	0	269
2204	4	0	35
2206	4	0	133
2254	4	0	105
6356	4	0	1
2458	4	0	74
2526	4	0	163
2510	4	0	32
4698	4	0	2289
2524	4	0	40
328	4	0	334
330	4	0	12
4438	4	0	336
4444	4	0	370
4446	4	0	1264
4430	4	0	285
4550	4	0	2
4422	4	0	50
4424	4	0	535
4700	4	0	158
4702	4	0	1010
4954	4	0	460
5014	4	0	10
5018	4	0	40
5022	4	0	122
5086	4	0	560
4998	4	0	5
4382	4	0	1319
6554	4	0	113
7128	4	0	59
15310	4	0	31
6622	4	0	192
4548	4	0	50
5070	4	0	35
6606	4	0	23
206	4	0	99
6854	4	0	0
398	4	0	774
4428	4	0	1860
4764	4	0	2
4766	4	0	19
4682	4	0	2122
4434	4	0	81
4436	4	0	331
4564	4	0	181
4566	4	0	54
4442	4	0	67
5078	4	0	72
5082	4	0	141
5084	4	0	85
392	4	0	667
4426	4	0	13
2462	4	0	119
390	4	0	1116
4742	4	0	2
6874	4	0	144
4814	4	0	59
6614	4	0	4
6618	4	0	38
6620	4	0	106
6358	4	0	1
222	4	0	214
13150	4	0	312
2202	4	0	247
6598	4	0	1
5066	4	0	2
6342	4	0	0
5012	4	0	16
30	4	0	1760
6878	4	0	53
4686	4	0	414
74	4	0	984
4946	4	0	379
5058	4	0	1
5010	4	0	26
5074	4	0	91
5004	4	0	24
4440	4	0	150
6348	4	0	30
6350	4	0	25
6366	4	0	101
4748	4	0	20
4750	4	0	30
5076	4	0	88
4418	4	0	7
4994	4	0	6
4830	4	0	117
6364	4	0	33
4740	4	0	1
5062	4	0	1
5016	4	0	63
5080	4	0	156
5068	4	0	76
7130	4	0	162
4692	4	0	101
6604	4	0	69
5006	4	0	34
31710	4	0	90
204	4	0	35
14814	4	0	98
454	4	0	127
6602	4	0	2
6858	4	0	22
4694	4	0	254
13148	4	0	16
5020	4	0	14
14678	4	0	1
4562	4	0	25
15262	4	0	178
458	4	0	0
908	4	0	43
456	4	0	28
5002	4	0	14
6876	4	0	12
14810	4	0	18
4952	4	0	194
14686	4	0	1
13262	4	0	41
856	4	0	105
6870	4	0	1
280	4	0	185
974	4	0	141
4546	4	0	0
924	4	0	9
4758	4	0	0
14	4	0	706
4572	4	0	70
