MotifId	Nodes	Edges	Count
904	4	0	4442331
4374	4	0	470457226
990	4	0	1309452
5064	4	0	2107595
4420	4	0	552644842
972	4	0	5233708
922	4	0	583162
3038	4	0	164906
858	4	0	8771847
4950	4	0	50909950
468	4	0	49381476
14812	4	0	79928
4574	4	0	937826
7126	4	0	32915
14790	4	0	856
2190	4	0	3063667
6552	4	0	3710737
2270	4	0	231926
7134	4	0	273920
15326	4	0	579888
28	4	0	332775489
4678	4	0	10022346
4370	4	0	1667852388
90	4	0	123152136
4958	4	0	28516555
2252	4	0	4905432
13260	4	0	1316517
13278	4	0	2164352
6616	4	0	320656
13146	4	0	441996
2506	4	0	7631
13142	4	0	3117530
6558	4	0	1305600
4558	4	0	70834
6862	4	0	15057
14798	4	0	23240
6550	4	0	110809
4556	4	0	5290222
4812	4	0	963069
15258	4	0	309304
862	4	0	15882391
286	4	0	453213801
76	4	0	2196712734
78	4	0	106178257
92	4	0	25038467
94	4	0	44933555
282	4	0	470943615
346	4	0	2509567
348	4	0	14254546
350	4	0	10873225
394	4	0	17066353
406	4	0	313791645
410	4	0	26999393
412	4	0	21169878
414	4	0	23296739
460	4	0	11557022
462	4	0	366380
478	4	0	1329598
2184	4	0	8007836144
332	4	0	307392498
334	4	0	7127390
404	4	0	531959592
470	4	0	29313916
344	4	0	10786737
408	4	0	69549145
472	4	0	1724748
474	4	0	346737
476	4	0	2244886
926	4	0	681154
396	4	0	1030337570
906	4	0	898737
910	4	0	1021535
2186	4	0	250959543
2204	4	0	2088819
2206	4	0	2655752
2254	4	0	439432
6356	4	0	11862
2458	4	0	3236000
2526	4	0	308091
2510	4	0	87982
4698	4	0	178418481
2524	4	0	249707
328	4	0	153175407
330	4	0	1167026
4438	4	0	38797566
4444	4	0	31742484
4446	4	0	27423783
4430	4	0	4941971
4550	4	0	46904
4422	4	0	7818800
4424	4	0	275279305
4700	4	0	3378485
4702	4	0	16431743
4954	4	0	16419586
5014	4	0	193337
5018	4	0	1516177
5022	4	0	796156
5086	4	0	2338336
4998	4	0	61805
4382	4	0	208792478
6554	4	0	3505322
7128	4	0	152682
15310	4	0	80007
6622	4	0	246641
4548	4	0	6457588
5070	4	0	291945
6606	4	0	24272
206	4	0	1922684
6854	4	0	1881
398	4	0	30428548
4428	4	0	547935088
4764	4	0	50893
4766	4	0	138286
4682	4	0	234162018
4434	4	0	18311930
4436	4	0	135305765
4564	4	0	3348045
4566	4	0	466995
4442	4	0	5074208
5078	4	0	666381
5082	4	0	832528
5084	4	0	1320826
392	4	0	1335679613
4426	4	0	1127101
2462	4	0	1385981
390	4	0	159700042
4742	4	0	29848
6874	4	0	1195420
4814	4	0	217272
6614	4	0	25571
6618	4	0	82858
6620	4	0	538329
6358	4	0	8888
222	4	0	1167953
13150	4	0	3200923
2202	4	0	85285687
6598	4	0	3010
5066	4	0	94561
6342	4	0	2583
5012	4	0	158058
30	4	0	1434444078
6878	4	0	67123
4686	4	0	15180193
74	4	0	416149422
4946	4	0	60551918
5058	4	0	52534
5010	4	0	768455
5074	4	0	478632
5004	4	0	2419017
4440	4	0	25140454
6348	4	0	889236
6350	4	0	23577
6366	4	0	76321
4748	4	0	763124
4750	4	0	141773
5076	4	0	922464
4418	4	0	3520889
4994	4	0	175268
4830	4	0	232219
6364	4	0	143951
4740	4	0	68110
5062	4	0	87073
5016	4	0	1579822
5080	4	0	1743562
5068	4	0	5641660
7130	4	0	259260
4692	4	0	11176177
6604	4	0	1752662
5006	4	0	229697
31710	4	0	305650
204	4	0	14953495
14814	4	0	170098
454	4	0	3457051
6602	4	0	9726
6858	4	0	307357
4694	4	0	23712848
13148	4	0	362946
5020	4	0	247534
14678	4	0	10500
4562	4	0	139993
15262	4	0	345989
458	4	0	82860
908	4	0	4576448
456	4	0	5746956
5002	4	0	373333
6876	4	0	31750
14810	4	0	38060
4952	4	0	9800411
14686	4	0	8647
13262	4	0	630055
856	4	0	4632454
6870	4	0	8722
280	4	0	697773555
974	4	0	1107724
4546	4	0	14014
924	4	0	187181
4758	4	0	19623
14	4	0	2110665700
4572	4	0	1900368
