MotifId	Nodes	Edges	Count
904	4	0	120164
4374	4	0	2096403247
990	4	0	121326
5064	4	0	189423
4420	4	0	42838248
972	4	0	3135347
922	4	0	9948
3038	4	0	2414
858	4	0	1066978
4950	4	0	26066259
468	4	0	12005009
14812	4	0	1292
4574	4	0	585837
7126	4	0	848
14790	4	0	1
2190	4	0	8280
6552	4	0	130354
2270	4	0	372
7134	4	0	7490
15326	4	0	88868
28	4	0	43310700
4678	4	0	495154
4370	4	0	478081293
90	4	0	33481518
4958	4	0	257228709
2252	4	0	13223
13260	4	0	14861045
13278	4	0	13243431
6616	4	0	5113
13146	4	0	27730
2506	4	0	3
13142	4	0	1248787
6558	4	0	92589
4558	4	0	20882
6862	4	0	530
14798	4	0	151
6550	4	0	22939
4556	4	0	3549288
4812	4	0	411143
15258	4	0	286981
862	4	0	10615499
286	4	0	692406798
76	4	0	203590405
78	4	0	1797024
92	4	0	709257
94	4	0	1798806
282	4	0	149356373
346	4	0	119154
348	4	0	1542093
350	4	0	1120340
394	4	0	97989
406	4	0	787501497
410	4	0	840878
412	4	0	1514531
414	4	0	4480363
460	4	0	1298438
462	4	0	6542
478	4	0	101006
2184	4	0	566204247
332	4	0	105175049
334	4	0	576775
404	4	0	568243470
470	4	0	4557602
344	4	0	175093
408	4	0	603570
472	4	0	3649
474	4	0	5167
476	4	0	178389
926	4	0	10045
396	4	0	279321168
906	4	0	2274
910	4	0	3945
2186	4	0	1534961
2204	4	0	3058
2206	4	0	9179
2254	4	0	447
6356	4	0	2
2458	4	0	27237
2526	4	0	879
2510	4	0	94
4698	4	0	3495023214
2524	4	0	1571
328	4	0	5764255
330	4	0	21745
4438	4	0	2508105
4444	4	0	26459849
4446	4	0	21075363
4430	4	0	1079114
4550	4	0	373
4422	4	0	124888
4424	4	0	67192253
4700	4	0	1402792
4702	4	0	10083439
4954	4	0	18716585
5014	4	0	3470
5018	4	0	34260
5022	4	0	29915
5086	4	0	890527
4998	4	0	367
4382	4	0	11994043144
6554	4	0	119121
7128	4	0	3565
15310	4	0	1089
6622	4	0	2100
4548	4	0	315931
5070	4	0	25728
6606	4	0	138
206	4	0	96483
6854	4	0	4
398	4	0	771060
4428	4	0	761319713
4764	4	0	459
4766	4	0	1941
4682	4	0	516338478
4434	4	0	785481
4436	4	0	6689658
4564	4	0	66878
4566	4	0	11355
4442	4	0	3704037
5078	4	0	61265
5082	4	0	25671
5084	4	0	219125
392	4	0	31684083
4426	4	0	39940
2462	4	0	47206
390	4	0	48535807
4742	4	0	61
6874	4	0	98771
4814	4	0	18615
6614	4	0	129
6618	4	0	420
6620	4	0	11513
6358	4	0	10
222	4	0	96533
13150	4	0	968347
2202	4	0	2833385
6598	4	0	0
5066	4	0	2719
6342	4	0	1
5012	4	0	2219
30	4	0	316062957
6878	4	0	762
4686	4	0	4672965
74	4	0	57772802
4946	4	0	5482816
5058	4	0	206
5010	4	0	8135
5074	4	0	9560
5004	4	0	378409
4440	4	0	2371016
6348	4	0	14856
6350	4	0	91
6366	4	0	263
4748	4	0	31962
4750	4	0	1589
5076	4	0	15167
4418	4	0	21837
4994	4	0	286
4830	4	0	10298
6364	4	0	440
4740	4	0	352
5062	4	0	847
5016	4	0	18384
5080	4	0	52719
5068	4	0	6037418
7130	4	0	4038
4692	4	0	735558
6604	4	0	50525
5006	4	0	9553
31710	4	0	1779839
204	4	0	888666
14814	4	0	4976
454	4	0	703168
6602	4	0	36
6858	4	0	25490
4694	4	0	1559685
13148	4	0	54129
5020	4	0	26503
14678	4	0	16
4562	4	0	8172
15262	4	0	50142
458	4	0	428
908	4	0	112920
456	4	0	68153
5002	4	0	2715
6876	4	0	517
14810	4	0	3091
4952	4	0	3176832
14686	4	0	20
13262	4	0	216206
856	4	0	227051
6870	4	0	13
280	4	0	44948488
974	4	0	18151
4546	4	0	46
924	4	0	1267
4758	4	0	47
14	4	0	276731186
4572	4	0	1256659
