MotifId	Nodes	Edges	Count
904	4	0	178
4374	4	0	1768
990	4	0	79
5064	4	0	75
4420	4	0	2988
972	4	0	80
922	4	0	103
3038	4	0	20
858	4	0	442
4950	4	0	604
468	4	0	481
14812	4	0	22
4574	4	0	26
7126	4	0	3
14790	4	0	0
2190	4	0	66
6552	4	0	84
2270	4	0	24
7134	4	0	19
15326	4	0	43
28	4	0	3045
4678	4	0	368
4370	4	0	3772
90	4	0	2112
4958	4	0	254
2252	4	0	129
13260	4	0	9
13278	4	0	24
6616	4	0	28
13146	4	0	45
2506	4	0	1
13142	4	0	104
6558	4	0	30
4558	4	0	10
6862	4	0	6
14798	4	0	2
6550	4	0	11
4556	4	0	85
4812	4	0	38
15258	4	0	29
862	4	0	394
286	4	0	1182
76	4	0	12499
78	4	0	893
92	4	0	863
94	4	0	803
282	4	0	3893
346	4	0	160
348	4	0	731
350	4	0	435
394	4	0	647
406	4	0	3011
410	4	0	883
412	4	0	655
414	4	0	467
460	4	0	311
462	4	0	40
478	4	0	99
2184	4	0	3023
332	4	0	4530
334	4	0	228
404	4	0	6640
470	4	0	512
344	4	0	454
408	4	0	1104
472	4	0	46
474	4	0	47
476	4	0	105
926	4	0	77
396	4	0	7200
906	4	0	88
910	4	0	48
2186	4	0	1637
2204	4	0	124
2206	4	0	107
2254	4	0	35
6356	4	0	1
2458	4	0	189
2526	4	0	54
2510	4	0	29
4698	4	0	1187
2524	4	0	53
328	4	0	4469
330	4	0	68
4438	4	0	612
4444	4	0	589
4446	4	0	279
4430	4	0	93
4550	4	0	2
4422	4	0	234
4424	4	0	4192
4700	4	0	188
4702	4	0	264
4954	4	0	377
5014	4	0	20
5018	4	0	86
5022	4	0	35
5086	4	0	81
4998	4	0	3
4382	4	0	263
6554	4	0	166
7128	4	0	17
15310	4	0	15
6622	4	0	16
4548	4	0	181
5070	4	0	16
6606	4	0	10
206	4	0	77
6854	4	0	0
398	4	0	411
4428	4	0	3468
4764	4	0	5
4766	4	0	7
4682	4	0	3547
4434	4	0	421
4436	4	0	1291
4564	4	0	101
4566	4	0	31
4442	4	0	154
5078	4	0	45
5082	4	0	49
5084	4	0	55
392	4	0	9253
4426	4	0	37
2462	4	0	50
390	4	0	3661
4742	4	0	3
6874	4	0	49
4814	4	0	19
6614	4	0	6
6618	4	0	14
6620	4	0	56
6358	4	0	0
222	4	0	69
13150	4	0	78
2202	4	0	915
6598	4	0	0
5066	4	0	12
6342	4	0	0
5012	4	0	17
30	4	0	2044
6878	4	0	13
4686	4	0	189
74	4	0	7227
4946	4	0	804
5058	4	0	5
5010	4	0	51
5074	4	0	32
5004	4	0	77
4440	4	0	513
6348	4	0	43
6350	4	0	2
6366	4	0	15
4748	4	0	61
4750	4	0	17
5076	4	0	29
4418	4	0	67
4994	4	0	9
4830	4	0	16
6364	4	0	16
4740	4	0	7
5062	4	0	4
5016	4	0	96
5080	4	0	83
5068	4	0	86
7130	4	0	21
4692	4	0	344
6604	4	0	65
5006	4	0	13
31710	4	0	7
204	4	0	173
14814	4	0	20
454	4	0	246
6602	4	0	1
6858	4	0	34
4694	4	0	508
13148	4	0	36
5020	4	0	27
14678	4	0	5
4562	4	0	9
15262	4	0	32
458	4	0	9
908	4	0	177
456	4	0	234
5002	4	0	26
6876	4	0	9
14810	4	0	9
4952	4	0	292
14686	4	0	2
13262	4	0	24
856	4	0	255
6870	4	0	2
280	4	0	3292
974	4	0	64
4546	4	0	1
924	4	0	31
4758	4	0	2
14	4	0	1604
4572	4	0	48
