MotifId	Nodes	Edges	Count
904	4	0	140325
4374	4	0	3291718
990	4	0	47096
5064	4	0	23923
4420	4	0	2762730
972	4	0	63612
922	4	0	29144
3038	4	0	9640
858	4	0	234431
4950	4	0	364770
468	4	0	1098668
14812	4	0	1743
4574	4	0	11979
7126	4	0	1043
14790	4	0	26
2190	4	0	80446
6552	4	0	107572
2270	4	0	12450
7134	4	0	7245
15326	4	0	8843
28	4	0	10210918
4678	4	0	123404
4370	4	0	18295004
90	4	0	4577249
4958	4	0	193292
2252	4	0	184903
13260	4	0	3210
13278	4	0	12484
6616	4	0	7009
13146	4	0	5584
2506	4	0	286
13142	4	0	32436
6558	4	0	16448
4558	4	0	1352
6862	4	0	505
14798	4	0	502
6550	4	0	1672
4556	4	0	32251
4812	4	0	10197
15258	4	0	4885
862	4	0	436777
286	4	0	11688322
76	4	0	36824476
78	4	0	3514842
92	4	0	913156
94	4	0	2433272
282	4	0	8982686
346	4	0	100245
348	4	0	460256
350	4	0	482500
394	4	0	402805
406	4	0	4003154
410	4	0	710532
412	4	0	466833
414	4	0	751876
460	4	0	196830
462	4	0	14863
478	4	0	64264
2184	4	0	94399533
332	4	0	4570203
334	4	0	332259
404	4	0	9300074
470	4	0	703653
344	4	0	402384
408	4	0	1660856
472	4	0	51279
474	4	0	17239
476	4	0	60650
926	4	0	32111
396	4	0	12819013
906	4	0	33666
910	4	0	44052
2186	4	0	4728478
2204	4	0	61384
2206	4	0	92185
2254	4	0	19803
6356	4	0	357
2458	4	0	104553
2526	4	0	19262
2510	4	0	4509
4698	4	0	930648
2524	4	0	13307
328	4	0	3003387
330	4	0	36751
4438	4	0	476743
4444	4	0	334261
4446	4	0	239191
4430	4	0	103040
4550	4	0	804
4422	4	0	109830
4424	4	0	2305092
4700	4	0	53596
4702	4	0	221985
4954	4	0	144395
5014	4	0	3152
5018	4	0	26019
5022	4	0	9894
5086	4	0	27451
4998	4	0	1558
4382	4	0	1318027
6554	4	0	69945
7128	4	0	3989
15310	4	0	1652
6622	4	0	6280
4548	4	0	71776
5070	4	0	3882
6606	4	0	691
206	4	0	71468
6854	4	0	73
398	4	0	859701
4428	4	0	2571872
4764	4	0	827
4766	4	0	3305
4682	4	0	2712501
4434	4	0	245000
4436	4	0	1878986
4564	4	0	47768
4566	4	0	9822
4442	4	0	61616
5078	4	0	10395
5082	4	0	14836
5084	4	0	13358
392	4	0	14945207
4426	4	0	17841
2462	4	0	47229
390	4	0	3908561
4742	4	0	746
6874	4	0	15865
4814	4	0	4906
6614	4	0	785
6618	4	0	2251
6620	4	0	11945
6358	4	0	381
222	4	0	74639
13150	4	0	26547
2202	4	0	1739257
6598	4	0	103
5066	4	0	1647
6342	4	0	103
5012	4	0	2769
30	4	0	45636436
6878	4	0	2341
4686	4	0	266326
74	4	0	14458517
4946	4	0	576276
5058	4	0	1193
5010	4	0	16525
5074	4	0	11948
5004	4	0	17485
4440	4	0	366591
6348	4	0	17104
6350	4	0	825
6366	4	0	2986
4748	4	0	10391
4750	4	0	3665
5076	4	0	12453
4418	4	0	64557
4994	4	0	5070
4830	4	0	6063
6364	4	0	3671
4740	4	0	1324
5062	4	0	1076
5016	4	0	25460
5080	4	0	34245
5068	4	0	26376
7130	4	0	7178
4692	4	0	158145
6604	4	0	20749
5006	4	0	5409
31710	4	0	3342
204	4	0	363769
14814	4	0	3265
454	4	0	119063
6602	4	0	239
6858	4	0	5404
4694	4	0	220188
13148	4	0	3262
5020	4	0	3210
14678	4	0	200
4562	4	0	4196
15262	4	0	5870
458	4	0	2428
908	4	0	121762
456	4	0	129955
5002	4	0	7030
6876	4	0	895
14810	4	0	803
4952	4	0	166664
14686	4	0	182
13262	4	0	4561
856	4	0	202543
6870	4	0	363
280	4	0	15199472
974	4	0	27806
4546	4	0	320
924	4	0	6709
4758	4	0	465
14	4	0	67321208
4572	4	0	20421
