MotifId	Nodes	Edges	Count
904	4	0	45744
4374	4	0	2330632772
990	4	0	275715
5064	4	0	50817
4420	4	0	6653891
972	4	0	234875
922	4	0	34342
3038	4	0	13856
858	4	0	2349518
4950	4	0	4065014
468	4	0	3853207
14812	4	0	6951
4574	4	0	425535
7126	4	0	3815
14790	4	0	57
2190	4	0	56460
6552	4	0	72686
2270	4	0	6234
7134	4	0	35582
15326	4	0	79251
28	4	0	140728059
4678	4	0	191337
4370	4	0	221617056
90	4	0	15441622
4958	4	0	27864793
2252	4	0	56646
13260	4	0	70804
13278	4	0	608348
6616	4	0	8049
13146	4	0	47686
2506	4	0	161
13142	4	0	172274
6558	4	0	203406
4558	4	0	59733
6862	4	0	995
14798	4	0	1998
6550	4	0	6783
4556	4	0	231454
4812	4	0	44135
15258	4	0	15456
862	4	0	8578925
286	4	0	4889919741
76	4	0	53899053
78	4	0	6130553
92	4	0	2153515
94	4	0	6402958
282	4	0	806749435
346	4	0	599200
348	4	0	2702020
350	4	0	8635881
394	4	0	338591
406	4	0	46280470
410	4	0	1383830
412	4	0	1695257
414	4	0	7760502
460	4	0	519416
462	4	0	70318
478	4	0	335305
2184	4	0	30702046
332	4	0	23110500
334	4	0	2213924
404	4	0	29293939
470	4	0	6013335
344	4	0	572443
408	4	0	969384
472	4	0	54083
474	4	0	39918
476	4	0	186879
926	4	0	100812
396	4	0	20058285
906	4	0	18523
910	4	0	42419
2186	4	0	1407381
2204	4	0	21096
2206	4	0	71762
2254	4	0	8545
6356	4	0	246
2458	4	0	63414
2526	4	0	19077
2510	4	0	3802
4698	4	0	26474613
2524	4	0	8564
328	4	0	3331778
330	4	0	159895
4438	4	0	4334690
4444	4	0	7196285
4446	4	0	37027498
4430	4	0	4702701
4550	4	0	11615
4422	4	0	562773
4424	4	0	5673616
4700	4	0	461165
4702	4	0	5409803
4954	4	0	5351968
5014	4	0	20323
5018	4	0	91200
5022	4	0	194771
5086	4	0	834267
4998	4	0	2359
4382	4	0	10121506042
6554	4	0	168703
7128	4	0	5124
15310	4	0	8545
6622	4	0	28450
4548	4	0	105579
5070	4	0	43758
6606	4	0	3166
206	4	0	143371
6854	4	0	78
398	4	0	2013776
4428	4	0	37026651
4764	4	0	2603
4766	4	0	30862
4682	4	0	11676958
4434	4	0	566956
4436	4	0	2488296
4564	4	0	120574
4566	4	0	85047
4442	4	0	1897600
5078	4	0	126074
5082	4	0	136305
5084	4	0	153358
392	4	0	6911909
4426	4	0	293073
2462	4	0	61626
390	4	0	8818540
4742	4	0	730
6874	4	0	75406
4814	4	0	24139
6614	4	0	2020
6618	4	0	5758
6620	4	0	23063
6358	4	0	421
222	4	0	114400
13150	4	0	581147
2202	4	0	851348
6598	4	0	168
5066	4	0	5545
6342	4	0	78
5012	4	0	4593
30	4	0	1127726140
6878	4	0	6277
4686	4	0	1015738
74	4	0	20178764
4946	4	0	2044893
5058	4	0	2423
5010	4	0	27286
5074	4	0	68555
5004	4	0	66643
4440	4	0	961721
6348	4	0	20296
6350	4	0	1213
6366	4	0	6104
4748	4	0	16707
4750	4	0	9099
5076	4	0	53017
4418	4	0	71254
4994	4	0	3011
4830	4	0	68294
6364	4	0	4485
4740	4	0	747
5062	4	0	6177
5016	4	0	28030
5080	4	0	70244
5068	4	0	259496
7130	4	0	21562
4692	4	0	250047
6604	4	0	51558
5006	4	0	20401
31710	4	0	38634
204	4	0	643001
14814	4	0	21686
454	4	0	607642
6602	4	0	431
6858	4	0	10502
4694	4	0	1110456
13148	4	0	23388
5020	4	0	14486
14678	4	0	681
4562	4	0	13272
15262	4	0	38307
458	4	0	5394
908	4	0	92381
456	4	0	71593
5002	4	0	10618
6876	4	0	1634
14810	4	0	4599
4952	4	0	604932
14686	4	0	879
13262	4	0	72148
856	4	0	393618
6870	4	0	664
280	4	0	62753097
974	4	0	112923
4546	4	0	870
924	4	0	10018
4758	4	0	1680
14	4	0	570970023
4572	4	0	180541
