MotifId	Nodes	Edges	Count
904	4	0	0
4374	4	0	3487
990	4	0	49
5064	4	0	1
4420	4	0	130
972	4	0	4
922	4	0	3
3038	4	0	2
858	4	0	54
4950	4	0	205
468	4	0	27
14812	4	0	0
4574	4	0	4
7126	4	0	0
14790	4	0	0
2190	4	0	1
6552	4	0	0
2270	4	0	1
7134	4	0	5
15326	4	0	8
28	4	0	1722
4678	4	0	8
4370	4	0	1035
90	4	0	748
4958	4	0	557
2252	4	0	0
13260	4	0	0
13278	4	0	78
6616	4	0	0
13146	4	0	1
2506	4	0	0
13142	4	0	6
6558	4	0	22
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	0
4812	4	0	0
15258	4	0	1
862	4	0	646
286	4	0	10200
76	4	0	185
78	4	0	75
92	4	0	8
94	4	0	284
282	4	0	5196
346	4	0	27
348	4	0	84
350	4	0	565
394	4	0	33
406	4	0	1665
410	4	0	119
412	4	0	12
414	4	0	340
460	4	0	4
462	4	0	0
478	4	0	14
2184	4	0	107
332	4	0	553
334	4	0	53
404	4	0	159
470	4	0	177
344	4	0	5
408	4	0	9
472	4	0	1
474	4	0	3
476	4	0	1
926	4	0	23
396	4	0	238
906	4	0	0
910	4	0	3
2186	4	0	9
2204	4	0	0
2206	4	0	6
2254	4	0	0
6356	4	0	0
2458	4	0	2
2526	4	0	2
2510	4	0	1
4698	4	0	942
2524	4	0	0
328	4	0	71
330	4	0	11
4438	4	0	184
4444	4	0	124
4446	4	0	545
4430	4	0	62
4550	4	0	0
4422	4	0	27
4424	4	0	103
4700	4	0	16
4702	4	0	215
4954	4	0	56
5014	4	0	1
5018	4	0	4
5022	4	0	19
5086	4	0	63
4998	4	0	0
4382	4	0	3914
6554	4	0	5
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	2
5070	4	0	2
6606	4	0	0
206	4	0	0
6854	4	0	0
398	4	0	114
4428	4	0	654
4764	4	0	1
4766	4	0	2
4682	4	0	190
4434	4	0	23
4436	4	0	50
4564	4	0	1
4566	4	0	4
4442	4	0	40
5078	4	0	17
5082	4	0	16
5084	4	0	3
392	4	0	93
4426	4	0	23
2462	4	0	3
390	4	0	207
4742	4	0	0
6874	4	0	4
4814	4	0	1
6614	4	0	0
6618	4	0	0
6620	4	0	0
6358	4	0	0
222	4	0	6
13150	4	0	89
2202	4	0	2
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	2
30	4	0	7978
6878	4	0	0
4686	4	0	37
74	4	0	168
4946	4	0	26
5058	4	0	1
5010	4	0	1
5074	4	0	9
5004	4	0	4
4440	4	0	13
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	0
4750	4	0	1
5076	4	0	2
4418	4	0	13
4994	4	0	0
4830	4	0	7
6364	4	0	0
4740	4	0	0
5062	4	0	2
5016	4	0	1
5080	4	0	2
5068	4	0	7
7130	4	0	1
4692	4	0	9
6604	4	0	1
5006	4	0	2
31710	4	0	6
204	4	0	0
14814	4	0	5
454	4	0	8
6602	4	0	0
6858	4	0	0
4694	4	0	67
13148	4	0	1
5020	4	0	2
14678	4	0	0
4562	4	0	0
15262	4	0	5
458	4	0	1
908	4	0	2
456	4	0	2
5002	4	0	0
6876	4	0	1
14810	4	0	0
4952	4	0	4
14686	4	0	1
13262	4	0	1
856	4	0	4
6870	4	0	1
280	4	0	623
974	4	0	0
4546	4	0	0
924	4	0	1
4758	4	0	0
14	4	0	1817
4572	4	0	0
