MotifId	Nodes	Edges	Count
904	4	0	9185
4374	4	0	2693016
990	4	0	123190
5064	4	0	39435
4420	4	0	468072
972	4	0	84993
922	4	0	5838
3038	4	0	12687
858	4	0	371702
4950	4	0	650284
468	4	0	205589
14812	4	0	6414
4574	4	0	63287
7126	4	0	4567
14790	4	0	141
2190	4	0	3894
6552	4	0	3146
2270	4	0	1878
7134	4	0	34813
15326	4	0	120704
28	4	0	672411
4678	4	0	43967
4370	4	0	886862
90	4	0	1419174
4958	4	0	2585302
2252	4	0	2987
13260	4	0	120770
13278	4	0	372578
6616	4	0	969
13146	4	0	23045
2506	4	0	61
13142	4	0	49862
6558	4	0	41949
4558	4	0	7943
6862	4	0	973
14798	4	0	4141
6550	4	0	4320
4556	4	0	64046
4812	4	0	40438
15258	4	0	4582
862	4	0	1398985
286	4	0	7416178
76	4	0	1152159
78	4	0	164674
92	4	0	71863
94	4	0	403296
282	4	0	2404752
346	4	0	84769
348	4	0	140284
350	4	0	641449
394	4	0	35950
406	4	0	5888168
410	4	0	147932
412	4	0	128283
414	4	0	669389
460	4	0	68226
462	4	0	10882
478	4	0	71327
2184	4	0	243635
332	4	0	1662533
334	4	0	174477
404	4	0	2315971
470	4	0	782940
344	4	0	33895
408	4	0	43150
472	4	0	4083
474	4	0	10407
476	4	0	16674
926	4	0	38656
396	4	0	1884910
906	4	0	2705
910	4	0	10254
2186	4	0	68607
2204	4	0	3451
2206	4	0	17357
2254	4	0	836
6356	4	0	50
2458	4	0	15096
2526	4	0	10899
2510	4	0	1709
4698	4	0	6037476
2524	4	0	1586
328	4	0	366799
330	4	0	19966
4438	4	0	285690
4444	4	0	298307
4446	4	0	1189416
4430	4	0	265796
4550	4	0	2402
4422	4	0	51992
4424	4	0	880897
4700	4	0	172136
4702	4	0	1205792
4954	4	0	757416
5014	4	0	9975
5018	4	0	18801
5022	4	0	59906
5086	4	0	374530
4998	4	0	2244
4382	4	0	4715655
6554	4	0	25020
7128	4	0	1574
15310	4	0	15127
6622	4	0	14178
4548	4	0	31728
5070	4	0	45880
6606	4	0	1780
206	4	0	4982
6854	4	0	93
398	4	0	204098
4428	4	0	3412782
4764	4	0	2392
4766	4	0	14378
4682	4	0	3452939
4434	4	0	66912
4436	4	0	104529
4564	4	0	10144
4566	4	0	20576
4442	4	0	176908
5078	4	0	68428
5082	4	0	65728
5084	4	0	65130
392	4	0	483846
4426	4	0	34082
2462	4	0	30337
390	4	0	1479226
4742	4	0	597
6874	4	0	58423
4814	4	0	16678
6614	4	0	1585
6618	4	0	2716
6620	4	0	4911
6358	4	0	346
222	4	0	13109
13150	4	0	277887
2202	4	0	119785
6598	4	0	169
5066	4	0	7265
6342	4	0	52
5012	4	0	2999
30	4	0	4726704
6878	4	0	8788
4686	4	0	233373
74	4	0	977535
4946	4	0	291723
5058	4	0	1817
5010	4	0	4568
5074	4	0	20002
5004	4	0	73710
4440	4	0	77343
6348	4	0	4214
6350	4	0	619
6366	4	0	3382
4748	4	0	18743
4750	4	0	4718
5076	4	0	19850
4418	4	0	11956
4994	4	0	773
4830	4	0	45459
6364	4	0	972
4740	4	0	989
5062	4	0	7198
5016	4	0	5378
5080	4	0	20814
5068	4	0	281479
7130	4	0	13898
4692	4	0	57898
6604	4	0	16690
5006	4	0	13490
31710	4	0	75846
204	4	0	13133
14814	4	0	32906
454	4	0	103923
6602	4	0	306
6858	4	0	10186
4694	4	0	254090
13148	4	0	30024
5020	4	0	10394
14678	4	0	809
4562	4	0	3347
15262	4	0	28947
458	4	0	1574
908	4	0	44685
456	4	0	14843
5002	4	0	3271
6876	4	0	1599
14810	4	0	3877
4952	4	0	115691
14686	4	0	1270
13262	4	0	86923
856	4	0	52333
6870	4	0	990
280	4	0	368496
974	4	0	34062
4546	4	0	277
924	4	0	5288
4758	4	0	1043
14	4	0	1342632
4572	4	0	18118
