MotifId	Nodes	Edges	Count
904	4	0	12807
4374	4	0	10283611
990	4	0	33001
5064	4	0	15192
4420	4	0	2973487
972	4	0	61975
922	4	0	6373
3038	4	0	6044
858	4	0	206162
4950	4	0	557113
468	4	0	103775
14812	4	0	1049
4574	4	0	8641
7126	4	0	354
14790	4	0	8
2190	4	0	5656
6552	4	0	5921
2270	4	0	1458
7134	4	0	3226
15326	4	0	9688
28	4	0	1824843
4678	4	0	34569
4370	4	0	8391545
90	4	0	2710567
4958	4	0	1060342
2252	4	0	11517
13260	4	0	31451
13278	4	0	50351
6616	4	0	537
13146	4	0	7674
2506	4	0	56
13142	4	0	23439
6558	4	0	11891
4558	4	0	815
6862	4	0	137
14798	4	0	324
6550	4	0	1318
4556	4	0	32240
4812	4	0	12988
15258	4	0	1463
862	4	0	460962
286	4	0	7265003
76	4	0	10169287
78	4	0	176342
92	4	0	149547
94	4	0	393966
282	4	0	7088134
346	4	0	44268
348	4	0	154586
350	4	0	234608
394	4	0	71099
406	4	0	10778687
410	4	0	349829
412	4	0	283080
414	4	0	696825
460	4	0	69899
462	4	0	3117
478	4	0	18968
2184	4	0	8031110
332	4	0	5430618
334	4	0	54984
404	4	0	6622244
470	4	0	265361
344	4	0	49597
408	4	0	208952
472	4	0	3093
474	4	0	3707
476	4	0	9168
926	4	0	16303
396	4	0	13430235
906	4	0	3188
910	4	0	5553
2186	4	0	524110
2204	4	0	7035
2206	4	0	19788
2254	4	0	1252
6356	4	0	6
2458	4	0	33762
2526	4	0	7149
2510	4	0	1250
4698	4	0	11113742
2524	4	0	2200
328	4	0	1255796
330	4	0	8627
4438	4	0	297563
4444	4	0	409390
4446	4	0	544805
4430	4	0	75985
4550	4	0	308
4422	4	0	33682
4424	4	0	3005674
4700	4	0	80231
4702	4	0	372519
4954	4	0	546690
5014	4	0	2060
5018	4	0	7771
5022	4	0	8748
5086	4	0	40262
4998	4	0	318
4382	4	0	6246755
6554	4	0	19270
7128	4	0	493
15310	4	0	1404
6622	4	0	1901
4548	4	0	17662
5070	4	0	4216
6606	4	0	179
206	4	0	5599
6854	4	0	5
398	4	0	173389
4428	4	0	11258854
4764	4	0	332
4766	4	0	1480
4682	4	0	7201339
4434	4	0	93678
4436	4	0	323183
4564	4	0	5014
4566	4	0	4015
4442	4	0	119331
5078	4	0	8862
5082	4	0	11358
5084	4	0	13154
392	4	0	6287194
4426	4	0	13218
2462	4	0	38184
390	4	0	3009387
4742	4	0	112
6874	4	0	13361
4814	4	0	2112
6614	4	0	259
6618	4	0	694
6620	4	0	1641
6358	4	0	42
222	4	0	9346
13150	4	0	54902
2202	4	0	657503
6598	4	0	14
5066	4	0	1032
6342	4	0	10
5012	4	0	1049
30	4	0	4142246
6878	4	0	767
4686	4	0	88758
74	4	0	2866120
4946	4	0	428188
5058	4	0	271
5010	4	0	2519
5074	4	0	3845
5004	4	0	21101
4440	4	0	149211
6348	4	0	3070
6350	4	0	124
6366	4	0	442
4748	4	0	5388
4750	4	0	676
5076	4	0	4975
4418	4	0	9122
4994	4	0	344
4830	4	0	3784
6364	4	0	308
4740	4	0	290
5062	4	0	756
5016	4	0	3734
5080	4	0	7289
5068	4	0	82431
7130	4	0	2436
4692	4	0	52562
6604	4	0	8258
5006	4	0	1801
31710	4	0	5453
204	4	0	36951
14814	4	0	2509
454	4	0	51840
6602	4	0	58
6858	4	0	3121
4694	4	0	163258
13148	4	0	6075
5020	4	0	2629
14678	4	0	106
4562	4	0	738
15262	4	0	4220
458	4	0	482
908	4	0	37162
456	4	0	15906
5002	4	0	1106
6876	4	0	257
14810	4	0	483
4952	4	0	137091
14686	4	0	80
13262	4	0	11975
856	4	0	45399
6870	4	0	72
280	4	0	2624814
974	4	0	11540
4546	4	0	53
924	4	0	2483
4758	4	0	123
14	4	0	1333353
4572	4	0	6509
