MotifId	Nodes	Edges	Count
904	4	0	24
4374	4	0	97
990	4	0	10
5064	4	0	9
4420	4	0	308
972	4	0	7
922	4	0	16
3038	4	0	4
858	4	0	58
4950	4	0	205
468	4	0	115
14812	4	0	2
4574	4	0	2
7126	4	0	1
14790	4	0	0
2190	4	0	6
6552	4	0	42
2270	4	0	1
7134	4	0	0
15326	4	0	15
28	4	0	138
4678	4	0	98
4370	4	0	486
90	4	0	108
4958	4	0	21
2252	4	0	12
13260	4	0	0
13278	4	0	12
6616	4	0	13
13146	4	0	4
2506	4	0	1
13142	4	0	83
6558	4	0	5
4558	4	0	1
6862	4	0	1
14798	4	0	1
6550	4	0	1
4556	4	0	5
4812	4	0	0
15258	4	0	13
862	4	0	63
286	4	0	33
76	4	0	737
78	4	0	92
92	4	0	59
94	4	0	50
282	4	0	188
346	4	0	20
348	4	0	108
350	4	0	31
394	4	0	52
406	4	0	132
410	4	0	95
412	4	0	52
414	4	0	22
460	4	0	20
462	4	0	2
478	4	0	10
2184	4	0	313
332	4	0	294
334	4	0	18
404	4	0	596
470	4	0	63
344	4	0	64
408	4	0	126
472	4	0	11
474	4	0	8
476	4	0	14
926	4	0	13
396	4	0	570
906	4	0	13
910	4	0	12
2186	4	0	228
2204	4	0	13
2206	4	0	6
2254	4	0	3
6356	4	0	0
2458	4	0	26
2526	4	0	8
2510	4	0	2
4698	4	0	41
2524	4	0	2
328	4	0	343
330	4	0	20
4438	4	0	85
4444	4	0	57
4446	4	0	13
4430	4	0	9
4550	4	0	1
4422	4	0	23
4424	4	0	540
4700	4	0	31
4702	4	0	25
4954	4	0	39
5014	4	0	1
5018	4	0	27
5022	4	0	7
5086	4	0	9
4998	4	0	1
4382	4	0	5
6554	4	0	47
7128	4	0	3
15310	4	0	2
6622	4	0	8
4548	4	0	31
5070	4	0	1
6606	4	0	1
206	4	0	3
6854	4	0	1
398	4	0	40
4428	4	0	239
4764	4	0	3
4766	4	0	9
4682	4	0	402
4434	4	0	43
4436	4	0	234
4564	4	0	24
4566	4	0	6
4442	4	0	12
5078	4	0	15
5082	4	0	12
5084	4	0	8
392	4	0	881
4426	4	0	9
2462	4	0	5
390	4	0	301
4742	4	0	3
6874	4	0	4
4814	4	0	1
6614	4	0	1
6618	4	0	1
6620	4	0	11
6358	4	0	0
222	4	0	0
13150	4	0	23
2202	4	0	148
6598	4	0	0
5066	4	0	2
6342	4	0	0
5012	4	0	1
30	4	0	103
6878	4	0	1
4686	4	0	64
74	4	0	331
4946	4	0	118
5058	4	0	1
5010	4	0	12
5074	4	0	4
5004	4	0	0
4440	4	0	108
6348	4	0	10
6350	4	0	0
6366	4	0	3
4748	4	0	2
4750	4	0	0
5076	4	0	6
4418	4	0	21
4994	4	0	1
4830	4	0	1
6364	4	0	6
4740	4	0	0
5062	4	0	0
5016	4	0	20
5080	4	0	24
5068	4	0	1
7130	4	0	7
4692	4	0	39
6604	4	0	22
5006	4	0	0
31710	4	0	13
204	4	0	7
14814	4	0	8
454	4	0	30
6602	4	0	1
6858	4	0	6
4694	4	0	96
13148	4	0	4
5020	4	0	0
14678	4	0	0
4562	4	0	1
15262	4	0	11
458	4	0	3
908	4	0	24
456	4	0	10
5002	4	0	5
6876	4	0	6
14810	4	0	1
4952	4	0	63
14686	4	0	2
13262	4	0	0
856	4	0	48
6870	4	0	0
280	4	0	287
974	4	0	11
4546	4	0	1
924	4	0	2
4758	4	0	2
14	4	0	100
4572	4	0	4
