MotifId	Nodes	Edges	Count
904	4	0	4
4374	4	0	57
990	4	0	4
5064	4	0	4
4420	4	0	166
972	4	0	3
922	4	0	3
3038	4	0	0
858	4	0	21
4950	4	0	102
468	4	0	23
14812	4	0	0
4574	4	0	0
7126	4	0	1
14790	4	0	0
2190	4	0	0
6552	4	0	12
2270	4	0	0
7134	4	0	1
15326	4	0	6
28	4	0	34
4678	4	0	37
4370	4	0	248
90	4	0	26
4958	4	0	15
2252	4	0	4
13260	4	0	0
13278	4	0	4
6616	4	0	2
13146	4	0	3
2506	4	0	0
13142	4	0	30
6558	4	0	3
4558	4	0	1
6862	4	0	0
14798	4	0	2
6550	4	0	0
4556	4	0	4
4812	4	0	0
15258	4	0	4
862	4	0	23
286	4	0	10
76	4	0	211
78	4	0	26
92	4	0	22
94	4	0	11
282	4	0	93
346	4	0	5
348	4	0	29
350	4	0	5
394	4	0	25
406	4	0	56
410	4	0	29
412	4	0	9
414	4	0	7
460	4	0	1
462	4	0	0
478	4	0	2
2184	4	0	181
332	4	0	117
334	4	0	7
404	4	0	192
470	4	0	8
344	4	0	36
408	4	0	34
472	4	0	1
474	4	0	2
476	4	0	2
926	4	0	3
396	4	0	203
906	4	0	9
910	4	0	1
2186	4	0	81
2204	4	0	6
2206	4	0	4
2254	4	0	1
6356	4	0	0
2458	4	0	8
2526	4	0	0
2510	4	0	1
4698	4	0	20
2524	4	0	2
328	4	0	136
330	4	0	0
4438	4	0	38
4444	4	0	22
4446	4	0	3
4430	4	0	0
4550	4	0	1
4422	4	0	35
4424	4	0	246
4700	4	0	10
4702	4	0	1
4954	4	0	18
5014	4	0	4
5018	4	0	14
5022	4	0	2
5086	4	0	3
4998	4	0	0
4382	4	0	3
6554	4	0	19
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	15
5070	4	0	0
6606	4	0	0
206	4	0	1
6854	4	0	0
398	4	0	10
4428	4	0	113
4764	4	0	0
4766	4	0	5
4682	4	0	149
4434	4	0	31
4436	4	0	121
4564	4	0	7
4566	4	0	3
4442	4	0	5
5078	4	0	8
5082	4	0	2
5084	4	0	3
392	4	0	409
4426	4	0	0
2462	4	0	2
390	4	0	89
4742	4	0	0
6874	4	0	2
4814	4	0	0
6614	4	0	3
6618	4	0	1
6620	4	0	8
6358	4	0	0
222	4	0	0
13150	4	0	7
2202	4	0	26
6598	4	0	0
5066	4	0	1
6342	4	0	0
5012	4	0	2
30	4	0	18
6878	4	0	2
4686	4	0	8
74	4	0	145
4946	4	0	53
5058	4	0	0
5010	4	0	13
5074	4	0	2
5004	4	0	0
4440	4	0	49
6348	4	0	8
6350	4	0	1
6366	4	0	1
4748	4	0	1
4750	4	0	0
5076	4	0	1
4418	4	0	11
4994	4	0	0
4830	4	0	0
6364	4	0	3
4740	4	0	2
5062	4	0	1
5016	4	0	13
5080	4	0	4
5068	4	0	0
7130	4	0	6
4692	4	0	19
6604	4	0	7
5006	4	0	0
31710	4	0	2
204	4	0	2
14814	4	0	2
454	4	0	14
6602	4	0	1
6858	4	0	3
4694	4	0	36
13148	4	0	2
5020	4	0	0
14678	4	0	1
4562	4	0	0
15262	4	0	7
458	4	0	0
908	4	0	7
456	4	0	8
5002	4	0	4
6876	4	0	2
14810	4	0	4
4952	4	0	20
14686	4	0	0
13262	4	0	0
856	4	0	19
6870	4	0	0
280	4	0	130
974	4	0	0
4546	4	0	0
924	4	0	0
4758	4	0	2
14	4	0	10
4572	4	0	1
