MotifId	Nodes	Edges	Count
904	4	0	57
4374	4	0	313
990	4	0	1
5064	4	0	10
4420	4	0	1127
972	4	0	8
922	4	0	12
3038	4	0	0
858	4	0	26
4950	4	0	59
468	4	0	71
14812	4	0	1
4574	4	0	2
7126	4	0	0
14790	4	0	2
2190	4	0	7
6552	4	0	39
2270	4	0	0
7134	4	0	0
15326	4	0	1
28	4	0	1001
4678	4	0	64
4370	4	0	1636
90	4	0	319
4958	4	0	12
2252	4	0	38
13260	4	0	0
13278	4	0	1
6616	4	0	4
13146	4	0	1
2506	4	0	0
13142	4	0	9
6558	4	0	0
4558	4	0	2
6862	4	0	0
14798	4	0	1
6550	4	0	4
4556	4	0	20
4812	4	0	7
15258	4	0	0
862	4	0	34
286	4	0	75
76	4	0	4467
78	4	0	212
92	4	0	206
94	4	0	69
282	4	0	921
346	4	0	36
348	4	0	118
350	4	0	23
394	4	0	172
406	4	0	276
410	4	0	120
412	4	0	84
414	4	0	30
460	4	0	59
462	4	0	6
478	4	0	3
2184	4	0	2343
332	4	0	952
334	4	0	55
404	4	0	1353
470	4	0	35
344	4	0	184
408	4	0	411
472	4	0	7
474	4	0	6
476	4	0	12
926	4	0	3
396	4	0	1539
906	4	0	16
910	4	0	2
2186	4	0	524
2204	4	0	18
2206	4	0	10
2254	4	0	8
6356	4	0	0
2458	4	0	17
2526	4	0	0
2510	4	0	2
4698	4	0	65
2524	4	0	2
328	4	0	1772
330	4	0	22
4438	4	0	100
4444	4	0	119
4446	4	0	11
4430	4	0	25
4550	4	0	2
4422	4	0	134
4424	4	0	1386
4700	4	0	42
4702	4	0	9
4954	4	0	25
5014	4	0	4
5018	4	0	10
5022	4	0	2
5086	4	0	1
4998	4	0	1
4382	4	0	17
6554	4	0	11
7128	4	0	1
15310	4	0	0
6622	4	0	0
4548	4	0	56
5070	4	0	1
6606	4	0	0
206	4	0	4
6854	4	0	0
398	4	0	46
4428	4	0	596
4764	4	0	1
4766	4	0	2
4682	4	0	477
4434	4	0	193
4436	4	0	505
4564	4	0	19
4566	4	0	5
4442	4	0	45
5078	4	0	7
5082	4	0	0
5084	4	0	1
392	4	0	4468
4426	4	0	16
2462	4	0	2
390	4	0	656
4742	4	0	4
6874	4	0	1
4814	4	0	3
6614	4	0	0
6618	4	0	0
6620	4	0	5
6358	4	0	0
222	4	0	2
13150	4	0	4
2202	4	0	136
6598	4	0	0
5066	4	0	3
6342	4	0	0
5012	4	0	8
30	4	0	282
6878	4	0	0
4686	4	0	23
74	4	0	2311
4946	4	0	102
5058	4	0	2
5010	4	0	31
5074	4	0	3
5004	4	0	11
4440	4	0	121
6348	4	0	24
6350	4	0	1
6366	4	0	1
4748	4	0	16
4750	4	0	0
5076	4	0	1
4418	4	0	40
4994	4	0	4
4830	4	0	0
6364	4	0	5
4740	4	0	9
5062	4	0	0
5016	4	0	22
5080	4	0	6
5068	4	0	5
7130	4	0	1
4692	4	0	184
6604	4	0	9
5006	4	0	2
31710	4	0	0
204	4	0	56
14814	4	0	1
454	4	0	61
6602	4	0	0
6858	4	0	6
4694	4	0	69
13148	4	0	1
5020	4	0	6
14678	4	0	0
4562	4	0	4
15262	4	0	0
458	4	0	1
908	4	0	33
456	4	0	90
5002	4	0	10
6876	4	0	1
14810	4	0	1
4952	4	0	37
14686	4	0	0
13262	4	0	3
856	4	0	47
6870	4	0	0
280	4	0	1810
974	4	0	3
4546	4	0	0
924	4	0	3
4758	4	0	1
14	4	0	324
4572	4	0	3
