MotifId	Nodes	Edges	Count
904	4	0	23
4374	4	0	34
990	4	0	9
5064	4	0	2
4420	4	0	65
972	4	0	12
922	4	0	5
3038	4	0	9
858	4	0	20
4950	4	0	0
468	4	0	61
14812	4	0	0
4574	4	0	1
7126	4	0	0
14790	4	0	0
2190	4	0	43
6552	4	0	19
2270	4	0	30
7134	4	0	0
15326	4	0	2
28	4	0	268
4678	4	0	35
4370	4	0	81
90	4	0	155
4958	4	0	5
2252	4	0	58
13260	4	0	0
13278	4	0	1
6616	4	0	3
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	1
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	8
4812	4	0	0
15258	4	0	1
862	4	0	18
286	4	0	98
76	4	0	1128
78	4	0	314
92	4	0	79
94	4	0	180
282	4	0	221
346	4	0	13
348	4	0	67
350	4	0	30
394	4	0	58
406	4	0	134
410	4	0	39
412	4	0	32
414	4	0	50
460	4	0	22
462	4	0	2
478	4	0	21
2184	4	0	311
332	4	0	146
334	4	0	14
404	4	0	244
470	4	0	63
344	4	0	115
408	4	0	131
472	4	0	13
474	4	0	1
476	4	0	21
926	4	0	6
396	4	0	489
906	4	0	9
910	4	0	11
2186	4	0	270
2204	4	0	27
2206	4	0	50
2254	4	0	25
6356	4	0	0
2458	4	0	9
2526	4	0	23
2510	4	0	2
4698	4	0	26
2524	4	0	8
328	4	0	224
330	4	0	19
4438	4	0	21
4444	4	0	28
4446	4	0	12
4430	4	0	12
4550	4	0	1
4422	4	0	11
4424	4	0	120
4700	4	0	9
4702	4	0	16
4954	4	0	9
5014	4	0	2
5018	4	0	3
5022	4	0	1
5086	4	0	5
4998	4	0	1
4382	4	0	10
6554	4	0	10
7128	4	0	0
15310	4	0	1
6622	4	0	2
4548	4	0	3
5070	4	0	1
6606	4	0	0
206	4	0	14
6854	4	0	0
398	4	0	73
4428	4	0	61
4764	4	0	5
4766	4	0	1
4682	4	0	86
4434	4	0	15
4436	4	0	89
4564	4	0	1
4566	4	0	3
4442	4	0	9
5078	4	0	0
5082	4	0	0
5084	4	0	8
392	4	0	846
4426	4	0	6
2462	4	0	14
390	4	0	213
4742	4	0	1
6874	4	0	0
4814	4	0	1
6614	4	0	0
6618	4	0	2
6620	4	0	2
6358	4	0	0
222	4	0	41
13150	4	0	2
2202	4	0	119
6598	4	0	0
5066	4	0	0
6342	4	0	0
5012	4	0	0
30	4	0	360
6878	4	0	0
4686	4	0	11
74	4	0	772
4946	4	0	19
5058	4	0	0
5010	4	0	4
5074	4	0	0
5004	4	0	4
4440	4	0	15
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	3
4750	4	0	1
5076	4	0	1
4418	4	0	38
4994	4	0	1
4830	4	0	1
6364	4	0	0
4740	4	0	1
5062	4	0	0
5016	4	0	13
5080	4	0	8
5068	4	0	5
7130	4	0	2
4692	4	0	24
6604	4	0	4
5006	4	0	1
31710	4	0	0
204	4	0	47
14814	4	0	0
454	4	0	17
6602	4	0	0
6858	4	0	0
4694	4	0	13
13148	4	0	0
5020	4	0	1
14678	4	0	0
4562	4	0	1
15262	4	0	1
458	4	0	4
908	4	0	28
456	4	0	34
5002	4	0	0
6876	4	0	1
14810	4	0	0
4952	4	0	14
14686	4	0	0
13262	4	0	1
856	4	0	59
6870	4	0	0
280	4	0	297
974	4	0	5
4546	4	0	3
924	4	0	2
4758	4	0	0
14	4	0	488
4572	4	0	3
