MotifId	Nodes	Edges	Count
904	4	0	34
4374	4	0	455
990	4	0	201
5064	4	0	47
4420	4	0	408
972	4	0	51
922	4	0	35
3038	4	0	134
858	4	0	313
4950	4	0	448
468	4	0	365
14812	4	0	10
4574	4	0	86
7126	4	0	14
14790	4	0	0
2190	4	0	69
6552	4	0	43
2270	4	0	66
7134	4	0	131
15326	4	0	161
28	4	0	416
4678	4	0	98
4370	4	0	485
90	4	0	743
4958	4	0	472
2252	4	0	35
13260	4	0	7
13278	4	0	96
6616	4	0	17
13146	4	0	26
2506	4	0	0
13142	4	0	90
6558	4	0	82
4558	4	0	0
6862	4	0	4
14798	4	0	0
6550	4	0	1
4556	4	0	70
4812	4	0	43
15258	4	0	28
862	4	0	678
286	4	0	791
76	4	0	2253
78	4	0	682
92	4	0	213
94	4	0	1057
282	4	0	718
346	4	0	57
348	4	0	242
350	4	0	509
394	4	0	118
406	4	0	1150
410	4	0	401
412	4	0	227
414	4	0	574
460	4	0	163
462	4	0	22
478	4	0	296
2184	4	0	284
332	4	0	964
334	4	0	113
404	4	0	1827
470	4	0	560
344	4	0	90
408	4	0	249
472	4	0	44
474	4	0	27
476	4	0	85
926	4	0	104
396	4	0	1858
906	4	0	17
910	4	0	58
2186	4	0	316
2204	4	0	28
2206	4	0	132
2254	4	0	19
6356	4	0	0
2458	4	0	97
2526	4	0	141
2510	4	0	7
4698	4	0	733
2524	4	0	36
328	4	0	352
330	4	0	0
4438	4	0	260
4444	4	0	301
4446	4	0	449
4430	4	0	46
4550	4	0	0
4422	4	0	17
4424	4	0	549
4700	4	0	60
4702	4	0	327
4954	4	0	329
5014	4	0	9
5018	4	0	41
5022	4	0	54
5086	4	0	184
4998	4	0	0
4382	4	0	292
6554	4	0	120
7128	4	0	17
15310	4	0	19
6622	4	0	50
4548	4	0	58
5070	4	0	11
6606	4	0	6
206	4	0	65
6854	4	0	0
398	4	0	240
4428	4	0	1229
4764	4	0	0
4766	4	0	9
4682	4	0	1458
4434	4	0	88
4436	4	0	395
4564	4	0	61
4566	4	0	38
4442	4	0	67
5078	4	0	40
5082	4	0	89
5084	4	0	68
392	4	0	1052
4426	4	0	0
2462	4	0	111
390	4	0	881
4742	4	0	0
6874	4	0	80
4814	4	0	16
6614	4	0	0
6618	4	0	9
6620	4	0	45
6358	4	0	0
222	4	0	200
13150	4	0	164
2202	4	0	453
6598	4	0	0
5066	4	0	2
6342	4	0	0
5012	4	0	1
30	4	0	1019
6878	4	0	46
4686	4	0	198
74	4	0	1236
4946	4	0	492
5058	4	0	0
5010	4	0	14
5074	4	0	23
5004	4	0	40
4440	4	0	147
6348	4	0	10
6350	4	0	5
6366	4	0	18
4748	4	0	18
4750	4	0	2
5076	4	0	41
4418	4	0	0
4994	4	0	0
4830	4	0	32
6364	4	0	6
4740	4	0	0
5062	4	0	0
5016	4	0	33
5080	4	0	83
5068	4	0	84
7130	4	0	80
4692	4	0	41
6604	4	0	35
5006	4	0	7
31710	4	0	60
204	4	0	75
14814	4	0	19
454	4	0	57
6602	4	0	0
6858	4	0	8
4694	4	0	205
13148	4	0	12
5020	4	0	8
14678	4	0	0
4562	4	0	6
15262	4	0	78
458	4	0	0
908	4	0	96
456	4	0	67
5002	4	0	2
6876	4	0	2
14810	4	0	1
4952	4	0	213
14686	4	0	0
13262	4	0	19
856	4	0	158
6870	4	0	0
280	4	0	305
974	4	0	44
4546	4	0	0
924	4	0	4
4758	4	0	0
14	4	0	704
4572	4	0	55
