MotifId	Nodes	Edges	Count
904	4	0	18
4374	4	0	367
990	4	0	163
5064	4	0	38
4420	4	0	168
972	4	0	81
922	4	0	14
3038	4	0	59
858	4	0	227
4950	4	0	201
468	4	0	180
14812	4	0	21
4574	4	0	65
7126	4	0	7
14790	4	0	0
2190	4	0	20
6552	4	0	9
2270	4	0	38
7134	4	0	70
15326	4	0	70
28	4	0	275
4678	4	0	43
4370	4	0	240
90	4	0	626
4958	4	0	214
2252	4	0	37
13260	4	0	14
13278	4	0	44
6616	4	0	12
13146	4	0	12
2506	4	0	1
13142	4	0	20
6558	4	0	20
4558	4	0	11
6862	4	0	6
14798	4	0	7
6550	4	0	6
4556	4	0	29
4812	4	0	24
15258	4	0	4
862	4	0	371
286	4	0	606
76	4	0	1426
78	4	0	429
92	4	0	186
94	4	0	713
282	4	0	594
346	4	0	77
348	4	0	173
350	4	0	413
394	4	0	103
406	4	0	1028
410	4	0	184
412	4	0	190
414	4	0	358
460	4	0	105
462	4	0	63
478	4	0	193
2184	4	0	212
332	4	0	685
334	4	0	205
404	4	0	1174
470	4	0	517
344	4	0	93
408	4	0	147
472	4	0	36
474	4	0	32
476	4	0	93
926	4	0	86
396	4	0	1400
906	4	0	19
910	4	0	59
2186	4	0	198
2204	4	0	39
2206	4	0	93
2254	4	0	22
6356	4	0	1
2458	4	0	56
2526	4	0	94
2510	4	0	20
4698	4	0	479
2524	4	0	22
328	4	0	335
330	4	0	29
4438	4	0	195
4444	4	0	241
4446	4	0	224
4430	4	0	108
4550	4	0	4
4422	4	0	68
4424	4	0	397
4700	4	0	87
4702	4	0	272
4954	4	0	290
5014	4	0	14
5018	4	0	16
5022	4	0	39
5086	4	0	112
4998	4	0	4
4382	4	0	164
6554	4	0	29
7128	4	0	13
15310	4	0	29
6622	4	0	39
4548	4	0	30
5070	4	0	24
6606	4	0	3
206	4	0	53
6854	4	0	0
398	4	0	256
4428	4	0	578
4764	4	0	6
4766	4	0	17
4682	4	0	996
4434	4	0	75
4436	4	0	157
4564	4	0	50
4566	4	0	38
4442	4	0	98
5078	4	0	41
5082	4	0	54
5084	4	0	88
392	4	0	442
4426	4	0	24
2462	4	0	69
390	4	0	747
4742	4	0	4
6874	4	0	55
4814	4	0	34
6614	4	0	7
6618	4	0	21
6620	4	0	31
6358	4	0	0
222	4	0	113
13150	4	0	96
2202	4	0	260
6598	4	0	2
5066	4	0	6
6342	4	0	0
5012	4	0	14
30	4	0	875
6878	4	0	43
4686	4	0	99
74	4	0	913
4946	4	0	259
5058	4	0	5
5010	4	0	11
5074	4	0	35
5004	4	0	36
4440	4	0	140
6348	4	0	14
6350	4	0	8
6366	4	0	23
4748	4	0	23
4750	4	0	10
5076	4	0	46
4418	4	0	12
4994	4	0	4
4830	4	0	45
6364	4	0	12
4740	4	0	0
5062	4	0	11
5016	4	0	18
5080	4	0	60
5068	4	0	60
7130	4	0	79
4692	4	0	67
6604	4	0	30
5006	4	0	16
31710	4	0	22
204	4	0	41
14814	4	0	46
454	4	0	118
6602	4	0	2
6858	4	0	16
4694	4	0	179
13148	4	0	19
5020	4	0	7
14678	4	0	2
4562	4	0	8
15262	4	0	30
458	4	0	5
908	4	0	80
456	4	0	35
5002	4	0	4
6876	4	0	5
14810	4	0	6
4952	4	0	155
14686	4	0	1
13262	4	0	46
856	4	0	80
6870	4	0	0
280	4	0	156
974	4	0	103
4546	4	0	1
924	4	0	15
4758	4	0	2
14	4	0	456
4572	4	0	42
