MotifId	Nodes	Edges	Count
904	4	0	34
4374	4	0	1055
990	4	0	395
5064	4	0	136
4420	4	0	724
972	4	0	103
922	4	0	18
3038	4	0	97
858	4	0	522
4950	4	0	1578
468	4	0	294
14812	4	0	59
4574	4	0	150
7126	4	0	21
14790	4	0	0
2190	4	0	43
6552	4	0	55
2270	4	0	40
7134	4	0	321
15326	4	0	764
28	4	0	220
4678	4	0	107
4370	4	0	879
90	4	0	641
4958	4	0	1816
2252	4	0	31
13260	4	0	36
13278	4	0	448
6616	4	0	37
13146	4	0	140
2506	4	0	0
13142	4	0	214
6558	4	0	228
4558	4	0	5
6862	4	0	6
14798	4	0	14
6550	4	0	14
4556	4	0	94
4812	4	0	102
15258	4	0	68
862	4	0	1880
286	4	0	918
76	4	0	1478
78	4	0	279
92	4	0	122
94	4	0	596
282	4	0	933
346	4	0	70
348	4	0	235
350	4	0	627
394	4	0	75
406	4	0	2034
410	4	0	334
412	4	0	315
414	4	0	618
460	4	0	182
462	4	0	37
478	4	0	292
2184	4	0	297
332	4	0	1229
334	4	0	126
404	4	0	2259
470	4	0	1074
344	4	0	56
408	4	0	194
472	4	0	27
474	4	0	33
476	4	0	116
926	4	0	113
396	4	0	2871
906	4	0	20
910	4	0	54
2186	4	0	285
2204	4	0	19
2206	4	0	148
2254	4	0	21
6356	4	0	0
2458	4	0	91
2526	4	0	129
2510	4	0	13
4698	4	0	2232
2524	4	0	36
328	4	0	245
330	4	0	14
4438	4	0	772
4444	4	0	673
4446	4	0	897
4430	4	0	138
4550	4	0	3
4422	4	0	77
4424	4	0	1129
4700	4	0	272
4702	4	0	1122
4954	4	0	1499
5014	4	0	33
5018	4	0	114
5022	4	0	139
5086	4	0	708
4998	4	0	4
4382	4	0	468
6554	4	0	296
7128	4	0	46
15310	4	0	137
6622	4	0	148
4548	4	0	91
5070	4	0	64
6606	4	0	10
206	4	0	50
6854	4	0	0
398	4	0	304
4428	4	0	2481
4764	4	0	5
4766	4	0	28
4682	4	0	4801
4434	4	0	186
4436	4	0	661
4564	4	0	96
4566	4	0	54
4442	4	0	210
5078	4	0	185
5082	4	0	267
5084	4	0	278
392	4	0	805
4426	4	0	27
2462	4	0	109
390	4	0	1341
4742	4	0	0
6874	4	0	213
4814	4	0	26
6614	4	0	7
6618	4	0	32
6620	4	0	121
6358	4	0	0
222	4	0	99
13150	4	0	710
2202	4	0	524
6598	4	0	0
5066	4	0	16
6342	4	0	0
5012	4	0	5
30	4	0	745
6878	4	0	55
4686	4	0	398
74	4	0	591
4946	4	0	1393
5058	4	0	5
5010	4	0	40
5074	4	0	73
5004	4	0	113
4440	4	0	265
6348	4	0	35
6350	4	0	3
6366	4	0	53
4748	4	0	29
4750	4	0	13
5076	4	0	128
4418	4	0	7
4994	4	0	1
4830	4	0	105
6364	4	0	14
4740	4	0	1
5062	4	0	25
5016	4	0	46
5080	4	0	199
5068	4	0	261
7130	4	0	257
4692	4	0	135
6604	4	0	117
5006	4	0	20
31710	4	0	443
204	4	0	33
14814	4	0	145
454	4	0	92
6602	4	0	1
6858	4	0	45
4694	4	0	588
13148	4	0	49
5020	4	0	18
14678	4	0	2
4562	4	0	9
15262	4	0	302
458	4	0	2
908	4	0	135
456	4	0	40
5002	4	0	11
6876	4	0	9
14810	4	0	14
4952	4	0	513
14686	4	0	2
13262	4	0	140
856	4	0	98
6870	4	0	2
280	4	0	219
974	4	0	98
4546	4	0	0
924	4	0	11
4758	4	0	0
14	4	0	203
4572	4	0	121
