MotifId	Nodes	Edges	Count
904	4	0	17
4374	4	0	62
990	4	0	92
5064	4	0	7
4420	4	0	62
972	4	0	10
922	4	0	7
3038	4	0	64
858	4	0	41
4950	4	0	99
468	4	0	92
14812	4	0	1
4574	4	0	21
7126	4	0	8
14790	4	0	0
2190	4	0	45
6552	4	0	26
2270	4	0	39
7134	4	0	48
15326	4	0	36
28	4	0	169
4678	4	0	12
4370	4	0	104
90	4	0	176
4958	4	0	69
2252	4	0	43
13260	4	0	0
13278	4	0	18
6616	4	0	1
13146	4	0	1
2506	4	0	0
13142	4	0	10
6558	4	0	9
4558	4	0	1
6862	4	0	4
14798	4	0	0
6550	4	0	0
4556	4	0	2
4812	4	0	11
15258	4	0	1
862	4	0	201
286	4	0	256
76	4	0	1421
78	4	0	364
92	4	0	117
94	4	0	498
282	4	0	256
346	4	0	18
348	4	0	42
350	4	0	165
394	4	0	72
406	4	0	131
410	4	0	143
412	4	0	74
414	4	0	137
460	4	0	42
462	4	0	12
478	4	0	91
2184	4	0	377
332	4	0	196
334	4	0	92
404	4	0	432
470	4	0	149
344	4	0	60
408	4	0	154
472	4	0	20
474	4	0	26
476	4	0	26
926	4	0	27
396	4	0	1084
906	4	0	11
910	4	0	34
2186	4	0	260
2204	4	0	13
2206	4	0	92
2254	4	0	18
6356	4	0	1
2458	4	0	47
2526	4	0	62
2510	4	0	10
4698	4	0	28
2524	4	0	11
328	4	0	187
330	4	0	14
4438	4	0	55
4444	4	0	22
4446	4	0	79
4430	4	0	56
4550	4	0	0
4422	4	0	19
4424	4	0	204
4700	4	0	3
4702	4	0	32
4954	4	0	9
5014	4	0	0
5018	4	0	3
5022	4	0	10
5086	4	0	55
4998	4	0	4
4382	4	0	46
6554	4	0	9
7128	4	0	7
15310	4	0	0
6622	4	0	18
4548	4	0	14
5070	4	0	5
6606	4	0	3
206	4	0	31
6854	4	0	0
398	4	0	145
4428	4	0	135
4764	4	0	0
4766	4	0	13
4682	4	0	314
4434	4	0	48
4436	4	0	92
4564	4	0	18
4566	4	0	2
4442	4	0	3
5078	4	0	30
5082	4	0	8
5084	4	0	4
392	4	0	676
4426	4	0	21
2462	4	0	38
390	4	0	246
4742	4	0	5
6874	4	0	11
4814	4	0	7
6614	4	0	0
6618	4	0	1
6620	4	0	3
6358	4	0	3
222	4	0	94
13150	4	0	27
2202	4	0	200
6598	4	0	0
5066	4	0	0
6342	4	0	1
5012	4	0	1
30	4	0	572
6878	4	0	17
4686	4	0	55
74	4	0	487
4946	4	0	92
5058	4	0	2
5010	4	0	2
5074	4	0	27
5004	4	0	3
4440	4	0	25
6348	4	0	13
6350	4	0	4
6366	4	0	30
4748	4	0	5
4750	4	0	6
5076	4	0	13
4418	4	0	39
4994	4	0	12
4830	4	0	15
6364	4	0	2
4740	4	0	0
5062	4	0	2
5016	4	0	6
5080	4	0	15
5068	4	0	2
7130	4	0	6
4692	4	0	33
6604	4	0	3
5006	4	0	12
31710	4	0	20
204	4	0	51
14814	4	0	15
454	4	0	13
6602	4	0	1
6858	4	0	4
4694	4	0	44
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	12
15262	4	0	15
458	4	0	6
908	4	0	28
456	4	0	27
5002	4	0	1
6876	4	0	1
14810	4	0	1
4952	4	0	19
14686	4	0	2
13262	4	0	0
856	4	0	51
6870	4	0	6
280	4	0	191
974	4	0	12
4546	4	0	1
924	4	0	3
4758	4	0	0
14	4	0	386
4572	4	0	3
