MotifId	Nodes	Edges	Count
904	4	0	762
4374	4	0	1486
990	4	0	347
5064	4	0	134
4420	4	0	2958
972	4	0	165
922	4	0	570
3038	4	0	113
858	4	0	738
4950	4	0	1278
468	4	0	1735
14812	4	0	74
4574	4	0	151
7126	4	0	17
14790	4	0	1
2190	4	0	645
6552	4	0	718
2270	4	0	238
7134	4	0	135
15326	4	0	203
28	4	0	2472
4678	4	0	745
4370	4	0	3385
90	4	0	1386
4958	4	0	511
2252	4	0	671
13260	4	0	22
13278	4	0	138
6616	4	0	394
13146	4	0	88
2506	4	0	9
13142	4	0	507
6558	4	0	164
4558	4	0	19
6862	4	0	14
14798	4	0	27
6550	4	0	11
4556	4	0	235
4812	4	0	104
15258	4	0	272
862	4	0	920
286	4	0	1341
76	4	0	12590
78	4	0	3305
92	4	0	2359
94	4	0	2025
282	4	0	3437
346	4	0	209
348	4	0	2407
350	4	0	1085
394	4	0	1393
406	4	0	1707
410	4	0	1629
412	4	0	1364
414	4	0	898
460	4	0	790
462	4	0	117
478	4	0	419
2184	4	0	3043
332	4	0	3694
334	4	0	439
404	4	0	5295
470	4	0	1060
344	4	0	1777
408	4	0	2999
472	4	0	522
474	4	0	134
476	4	0	899
926	4	0	346
396	4	0	6736
906	4	0	692
910	4	0	444
2186	4	0	4224
2204	4	0	581
2206	4	0	604
2254	4	0	546
6356	4	0	3
2458	4	0	615
2526	4	0	296
2510	4	0	93
4698	4	0	636
2524	4	0	368
328	4	0	3468
330	4	0	92
4438	4	0	1321
4444	4	0	1396
4446	4	0	663
4430	4	0	252
4550	4	0	14
4422	4	0	417
4424	4	0	3815
4700	4	0	242
4702	4	0	652
4954	4	0	531
5014	4	0	58
5018	4	0	544
5022	4	0	159
5086	4	0	353
4998	4	0	7
4382	4	0	286
6554	4	0	778
7128	4	0	176
15310	4	0	46
6622	4	0	161
4548	4	0	527
5070	4	0	64
6606	4	0	17
206	4	0	555
6854	4	0	2
398	4	0	1121
4428	4	0	3055
4764	4	0	27
4766	4	0	68
4682	4	0	2347
4434	4	0	529
4436	4	0	3698
4564	4	0	823
4566	4	0	138
4442	4	0	192
5078	4	0	189
5082	4	0	228
5084	4	0	217
392	4	0	9095
4426	4	0	57
2462	4	0	202
390	4	0	2463
4742	4	0	6
6874	4	0	178
4814	4	0	116
6614	4	0	17
6618	4	0	76
6620	4	0	533
6358	4	0	3
222	4	0	260
13150	4	0	365
2202	4	0	1605
6598	4	0	2
5066	4	0	36
6342	4	0	2
5012	4	0	38
30	4	0	2491
6878	4	0	41
4686	4	0	583
74	4	0	6968
4946	4	0	1615
5058	4	0	10
5010	4	0	272
5074	4	0	135
5004	4	0	112
4440	4	0	1613
6348	4	0	195
6350	4	0	12
6366	4	0	51
4748	4	0	82
4750	4	0	41
5076	4	0	191
4418	4	0	98
4994	4	0	28
4830	4	0	126
6364	4	0	123
4740	4	0	8
5062	4	0	24
5016	4	0	647
5080	4	0	417
5068	4	0	127
7130	4	0	182
4692	4	0	545
6604	4	0	401
5006	4	0	33
31710	4	0	48
204	4	0	590
14814	4	0	96
454	4	0	304
6602	4	0	14
6858	4	0	63
4694	4	0	1195
13148	4	0	67
5020	4	0	60
14678	4	0	12
4562	4	0	32
15262	4	0	224
458	4	0	44
908	4	0	426
456	4	0	517
5002	4	0	104
6876	4	0	33
14810	4	0	29
4952	4	0	458
14686	4	0	6
13262	4	0	59
856	4	0	600
6870	4	0	6
280	4	0	3356
974	4	0	277
4546	4	0	2
924	4	0	78
4758	4	0	5
14	4	0	2282
4572	4	0	327
