MotifId	Nodes	Edges	Count
904	4	0	112
4374	4	0	2904
990	4	0	766
5064	4	0	333
4420	4	0	1287
972	4	0	608
922	4	0	35
3038	4	0	129
858	4	0	1075
4950	4	0	1704
468	4	0	1286
14812	4	0	127
4574	4	0	618
7126	4	0	66
14790	4	0	2
2190	4	0	82
6552	4	0	60
2270	4	0	59
7134	4	0	439
15326	4	0	667
28	4	0	1038
4678	4	0	194
4370	4	0	1892
90	4	0	2356
4958	4	0	5254
2252	4	0	72
13260	4	0	401
13278	4	0	1100
6616	4	0	18
13146	4	0	184
2506	4	0	2
13142	4	0	274
6558	4	0	534
4558	4	0	89
6862	4	0	22
14798	4	0	40
6550	4	0	39
4556	4	0	416
4812	4	0	262
15258	4	0	57
862	4	0	3243
286	4	0	7563
76	4	0	4525
78	4	0	1409
92	4	0	427
94	4	0	2485
282	4	0	2896
346	4	0	348
348	4	0	550
350	4	0	2359
394	4	0	217
406	4	0	9123
410	4	0	626
412	4	0	712
414	4	0	3296
460	4	0	732
462	4	0	174
478	4	0	945
2184	4	0	657
332	4	0	3374
334	4	0	1127
404	4	0	6401
470	4	0	3442
344	4	0	176
408	4	0	383
472	4	0	83
474	4	0	184
476	4	0	274
926	4	0	333
396	4	0	6745
906	4	0	45
910	4	0	174
2186	4	0	601
2204	4	0	64
2206	4	0	317
2254	4	0	31
6356	4	0	1
2458	4	0	201
2526	4	0	210
2510	4	0	46
4698	4	0	9172
2524	4	0	35
328	4	0	862
330	4	0	178
4438	4	0	1077
4444	4	0	1255
4446	4	0	3882
4430	4	0	1330
4550	4	0	45
4422	4	0	229
4424	4	0	2247
4700	4	0	823
4702	4	0	4036
4954	4	0	2194
5014	4	0	69
5018	4	0	118
5022	4	0	341
5086	4	0	1784
4998	4	0	27
4382	4	0	4474
6554	4	0	305
7128	4	0	47
15310	4	0	184
6622	4	0	255
4548	4	0	330
5070	4	0	351
6606	4	0	46
206	4	0	112
6854	4	0	8
398	4	0	1201
4428	4	0	6785
4764	4	0	46
4766	4	0	141
4682	4	0	9041
4434	4	0	360
4436	4	0	827
4564	4	0	179
4566	4	0	235
4442	4	0	621
5078	4	0	419
5082	4	0	385
5084	4	0	616
392	4	0	1778
4426	4	0	189
2462	4	0	389
390	4	0	3509
4742	4	0	8
6874	4	0	669
4814	4	0	189
6614	4	0	21
6618	4	0	63
6620	4	0	99
6358	4	0	14
222	4	0	287
13150	4	0	1370
2202	4	0	877
6598	4	0	3
5066	4	0	69
6342	4	0	2
5012	4	0	29
30	4	0	6184
6878	4	0	143
4686	4	0	1126
74	4	0	2625
4946	4	0	1516
5058	4	0	31
5010	4	0	53
5074	4	0	292
5004	4	0	429
4440	4	0	457
6348	4	0	70
6350	4	0	13
6366	4	0	109
4748	4	0	123
4750	4	0	64
5076	4	0	224
4418	4	0	54
4994	4	0	13
4830	4	0	338
6364	4	0	26
4740	4	0	5
5062	4	0	83
5016	4	0	82
5080	4	0	352
5068	4	0	1391
7130	4	0	280
4692	4	0	394
6604	4	0	169
5006	4	0	197
31710	4	0	253
204	4	0	207
14814	4	0	237
454	4	0	519
6602	4	0	7
6858	4	0	133
4694	4	0	829
13148	4	0	193
5020	4	0	97
14678	4	0	16
4562	4	0	63
15262	4	0	261
458	4	0	49
908	4	0	414
456	4	0	184
5002	4	0	32
6876	4	0	42
14810	4	0	37
4952	4	0	780
14686	4	0	14
13262	4	0	609
856	4	0	312
6870	4	0	30
280	4	0	667
974	4	0	364
4546	4	0	17
924	4	0	56
4758	4	0	9
14	4	0	2327
4572	4	0	244
