MotifId	Nodes	Edges	Count
904	4	0	26
4374	4	0	682
990	4	0	115
5064	4	0	48
4420	4	0	541
972	4	0	52
922	4	0	36
3038	4	0	22
858	4	0	271
4950	4	0	408
468	4	0	462
14812	4	0	14
4574	4	0	111
7126	4	0	14
14790	4	0	0
2190	4	0	20
6552	4	0	52
2270	4	0	18
7134	4	0	96
15326	4	0	138
28	4	0	384
4678	4	0	122
4370	4	0	554
90	4	0	652
4958	4	0	602
2252	4	0	23
13260	4	0	18
13278	4	0	98
6616	4	0	20
13146	4	0	22
2506	4	0	0
13142	4	0	115
6558	4	0	121
4558	4	0	3
6862	4	0	7
14798	4	0	14
6550	4	0	5
4556	4	0	61
4812	4	0	25
15258	4	0	34
862	4	0	637
286	4	0	1141
76	4	0	1686
78	4	0	402
92	4	0	200
94	4	0	552
282	4	0	1052
346	4	0	73
348	4	0	269
350	4	0	593
394	4	0	89
406	4	0	1642
410	4	0	272
412	4	0	231
414	4	0	447
460	4	0	142
462	4	0	25
478	4	0	147
2184	4	0	263
332	4	0	1066
334	4	0	151
404	4	0	1940
470	4	0	788
344	4	0	108
408	4	0	193
472	4	0	34
474	4	0	29
476	4	0	100
926	4	0	59
396	4	0	1682
906	4	0	31
910	4	0	53
2186	4	0	244
2204	4	0	12
2206	4	0	51
2254	4	0	13
6356	4	0	0
2458	4	0	75
2526	4	0	50
2510	4	0	3
4698	4	0	1081
2524	4	0	16
328	4	0	386
330	4	0	3
4438	4	0	352
4444	4	0	362
4446	4	0	507
4430	4	0	154
4550	4	0	0
4422	4	0	74
4424	4	0	802
4700	4	0	118
4702	4	0	689
4954	4	0	360
5014	4	0	12
5018	4	0	75
5022	4	0	52
5086	4	0	233
4998	4	0	3
4382	4	0	348
6554	4	0	148
7128	4	0	22
15310	4	0	40
6622	4	0	60
4548	4	0	47
5070	4	0	27
6606	4	0	5
206	4	0	33
6854	4	0	0
398	4	0	333
4428	4	0	1453
4764	4	0	2
4766	4	0	25
4682	4	0	2003
4434	4	0	120
4436	4	0	421
4564	4	0	80
4566	4	0	48
4442	4	0	80
5078	4	0	64
5082	4	0	125
5084	4	0	87
392	4	0	791
4426	4	0	5
2462	4	0	63
390	4	0	1010
4742	4	0	1
6874	4	0	114
4814	4	0	29
6614	4	0	8
6618	4	0	14
6620	4	0	62
6358	4	0	1
222	4	0	57
13150	4	0	189
2202	4	0	227
6598	4	0	0
5066	4	0	13
6342	4	0	0
5012	4	0	5
30	4	0	1373
6878	4	0	33
4686	4	0	394
74	4	0	968
4946	4	0	434
5058	4	0	0
5010	4	0	23
5074	4	0	82
5004	4	0	29
4440	4	0	180
6348	4	0	23
6350	4	0	2
6366	4	0	12
4748	4	0	13
4750	4	0	4
5076	4	0	43
4418	4	0	7
4994	4	0	2
4830	4	0	53
6364	4	0	11
4740	4	0	1
5062	4	0	3
5016	4	0	37
5080	4	0	80
5068	4	0	101
7130	4	0	94
4692	4	0	86
6604	4	0	56
5006	4	0	11
31710	4	0	31
204	4	0	62
14814	4	0	53
454	4	0	102
6602	4	0	1
6858	4	0	16
4694	4	0	354
13148	4	0	22
5020	4	0	10
14678	4	0	0
4562	4	0	12
15262	4	0	90
458	4	0	2
908	4	0	51
456	4	0	25
5002	4	0	14
6876	4	0	6
14810	4	0	11
4952	4	0	171
14686	4	0	0
13262	4	0	38
856	4	0	82
6870	4	0	2
280	4	0	331
974	4	0	69
4546	4	0	0
924	4	0	12
4758	4	0	4
14	4	0	584
4572	4	0	67
