MotifId	Nodes	Edges	Count
904	4	0	202
4374	4	0	5963
990	4	0	2215
5064	4	0	883
4420	4	0	2840
972	4	0	1074
922	4	0	214
3038	4	0	343
858	4	0	2801
4950	4	0	6078
468	4	0	1664
14812	4	0	328
4574	4	0	1239
7126	4	0	153
14790	4	0	2
2190	4	0	127
6552	4	0	270
2270	4	0	105
7134	4	0	1458
15326	4	0	3743
28	4	0	1131
4678	4	0	612
4370	4	0	3442
90	4	0	3170
4958	4	0	12943
2252	4	0	133
13260	4	0	875
13278	4	0	4292
6616	4	0	88
13146	4	0	692
2506	4	0	1
13142	4	0	1540
6558	4	0	1382
4558	4	0	118
6862	4	0	51
14798	4	0	124
6550	4	0	100
4556	4	0	1030
4812	4	0	818
15258	4	0	365
862	4	0	7959
286	4	0	8491
76	4	0	5073
78	4	0	1245
92	4	0	712
94	4	0	3029
282	4	0	5035
346	4	0	468
348	4	0	1507
350	4	0	4677
394	4	0	427
406	4	0	13326
410	4	0	1512
412	4	0	1757
414	4	0	5050
460	4	0	1361
462	4	0	242
478	4	0	1589
2184	4	0	899
332	4	0	6043
334	4	0	1110
404	4	0	8781
470	4	0	5253
344	4	0	350
408	4	0	668
472	4	0	96
474	4	0	226
476	4	0	610
926	4	0	1065
396	4	0	10255
906	4	0	110
910	4	0	391
2186	4	0	1053
2204	4	0	112
2206	4	0	601
2254	4	0	63
6356	4	0	3
2458	4	0	502
2526	4	0	490
2510	4	0	93
4698	4	0	15999
2524	4	0	101
328	4	0	1483
330	4	0	101
4438	4	0	3429
4444	4	0	3631
4446	4	0	7783
4430	4	0	1672
4550	4	0	25
4422	4	0	504
4424	4	0	4720
4700	4	0	1795
4702	4	0	8658
4954	4	0	6685
5014	4	0	223
5018	4	0	664
5022	4	0	1245
5086	4	0	5899
4998	4	0	49
4382	4	0	5191
6554	4	0	1313
7128	4	0	204
15310	4	0	632
6622	4	0	824
4548	4	0	704
5070	4	0	724
6606	4	0	65
206	4	0	126
6854	4	0	6
398	4	0	1984
4428	4	0	13262
4764	4	0	42
4766	4	0	282
4682	4	0	17746
4434	4	0	805
4436	4	0	2130
4564	4	0	458
4566	4	0	506
4442	4	0	1244
5078	4	0	1308
5082	4	0	1735
5084	4	0	1679
392	4	0	2884
4426	4	0	300
2462	4	0	794
390	4	0	5257
4742	4	0	9
6874	4	0	1833
4814	4	0	443
6614	4	0	72
6618	4	0	185
6620	4	0	416
6358	4	0	24
222	4	0	272
13150	4	0	5438
2202	4	0	1587
6598	4	0	6
5066	4	0	142
6342	4	0	4
5012	4	0	93
30	4	0	5357
6878	4	0	402
4686	4	0	2406
74	4	0	2741
4946	4	0	4280
5058	4	0	39
5010	4	0	187
5074	4	0	556
5004	4	0	997
4440	4	0	1310
6348	4	0	233
6350	4	0	30
6366	4	0	215
4748	4	0	366
4750	4	0	104
5076	4	0	625
4418	4	0	112
4994	4	0	22
4830	4	0	966
6364	4	0	58
4740	4	0	25
5062	4	0	112
5016	4	0	272
5080	4	0	1073
5068	4	0	3194
7130	4	0	1005
4692	4	0	671
6604	4	0	668
5006	4	0	323
31710	4	0	1570
204	4	0	262
14814	4	0	1048
454	4	0	735
6602	4	0	5
6858	4	0	349
4694	4	0	2555
13148	4	0	605
5020	4	0	272
14678	4	0	15
4562	4	0	72
15262	4	0	1585
458	4	0	19
908	4	0	791
456	4	0	305
5002	4	0	116
6876	4	0	74
14810	4	0	130
4952	4	0	2028
14686	4	0	34
13262	4	0	1523
856	4	0	548
6870	4	0	38
280	4	0	1082
974	4	0	939
4546	4	0	2
924	4	0	163
4758	4	0	11
14	4	0	1137
4572	4	0	606
