MotifId	Nodes	Edges	Count
904	4	0	194066
4374	4	0	4932478231
990	4	0	5007054
5064	4	0	1338511
4420	4	0	202179806
972	4	0	1871172
922	4	0	314889
3038	4	0	154356
858	4	0	38178699
4950	4	0	245526237
468	4	0	3845188
14812	4	0	287143
4574	4	0	4059403
7126	4	0	252017
14790	4	0	7217
2190	4	0	59475
6552	4	0	298733
2270	4	0	14925
7134	4	0	1572292
15326	4	0	8739500
28	4	0	343118159
4678	4	0	3604076
4370	4	0	2110026404
90	4	0	101162369
4958	4	0	487573619
2252	4	0	72520
13260	4	0	3881827
13278	4	0	43596912
6616	4	0	15117
13146	4	0	3224671
2506	4	0	1421
13142	4	0	6874707
6558	4	0	5288117
4558	4	0	249536
6862	4	0	26177
14798	4	0	217845
6550	4	0	282502
4556	4	0	2115876
4812	4	0	1379803
15258	4	0	184033
862	4	0	166550701
286	4	0	3169950385
76	4	0	68742109
78	4	0	2941486
92	4	0	2750457
94	4	0	15698217
282	4	0	2510931160
346	4	0	11006641
348	4	0	17290092
350	4	0	86618128
394	4	0	2949250
406	4	0	545728530
410	4	0	20482949
412	4	0	7683307
414	4	0	42534578
460	4	0	1445419
462	4	0	167878
478	4	0	2017791
2184	4	0	337751576
332	4	0	288642404
334	4	0	12723187
404	4	0	114434847
470	4	0	40465256
344	4	0	2511273
408	4	0	4151185
472	4	0	69984
474	4	0	450620
476	4	0	255643
926	4	0	1852879
396	4	0	146941488
906	4	0	61590
910	4	0	190376
2186	4	0	5999066
2204	4	0	99931
2206	4	0	322449
2254	4	0	8564
6356	4	0	1397
2458	4	0	387242
2526	4	0	130092
2510	4	0	23405
4698	4	0	704906951
2524	4	0	18120
328	4	0	44981315
330	4	0	1538933
4438	4	0	126467956
4444	4	0	54094796
4446	4	0	268007437
4430	4	0	33732988
4550	4	0	110091
4422	4	0	16173465
4424	4	0	120739779
4700	4	0	12839701
4702	4	0	101485784
4954	4	0	113412079
5014	4	0	1500753
5018	4	0	2259241
5022	4	0	7326524
5086	4	0	33051970
4998	4	0	135243
4382	4	0	4049163226
6554	4	0	3102533
7128	4	0	20769
15310	4	0	586120
6622	4	0	612286
4548	4	0	1117595
5070	4	0	1642839
6606	4	0	69989
206	4	0	41665
6854	4	0	5211
398	4	0	6255107
4428	4	0	766138065
4764	4	0	115016
4766	4	0	1407125
4682	4	0	230273905
4434	4	0	18896628
4436	4	0	29210466
4564	4	0	265452
4566	4	0	1630104
4442	4	0	34245401
5078	4	0	8214547
5082	4	0	5744746
5084	4	0	2141259
392	4	0	74831033
4426	4	0	4237834
2462	4	0	616716
390	4	0	88334721
4742	4	0	36099
6874	4	0	2347166
4814	4	0	433683
6614	4	0	65346
6618	4	0	87129
6620	4	0	139899
6358	4	0	12497
222	4	0	163015
13150	4	0	37255654
2202	4	0	7629529
6598	4	0	9502
5066	4	0	359073
6342	4	0	2469
5012	4	0	154812
30	4	0	906761930
6878	4	0	293348
4686	4	0	7309946
74	4	0	41435369
4946	4	0	66758720
5058	4	0	121739
5010	4	0	623493
5074	4	0	1975721
5004	4	0	2933038
4440	4	0	7703008
6348	4	0	233040
6350	4	0	15584
6366	4	0	89891
4748	4	0	820228
4750	4	0	145987
5076	4	0	714516
4418	4	0	2396565
4994	4	0	52250
4830	4	0	2616655
6364	4	0	23140
4740	4	0	57514
5062	4	0	440738
5016	4	0	221032
5080	4	0	601360
5068	4	0	9700124
7130	4	0	375920
4692	4	0	7475785
6604	4	0	886279
5006	4	0	565313
31710	4	0	6591316
204	4	0	171234
14814	4	0	2394500
454	4	0	4918013
6602	4	0	12403
6858	4	0	522285
4694	4	0	51689790
13148	4	0	1785445
5020	4	0	532576
14678	4	0	53257
4562	4	0	239167
15262	4	0	1619077
458	4	0	37492
908	4	0	1020791
456	4	0	382492
5002	4	0	177688
6876	4	0	50122
14810	4	0	254441
4952	4	0	8655509
14686	4	0	121778
13262	4	0	3387789
856	4	0	3020709
6870	4	0	55481
280	4	0	532115707
974	4	0	663466
4546	4	0	16785
924	4	0	142291
4758	4	0	157720
14	4	0	100682261
4572	4	0	506751
