MotifId	Nodes	Edges	Count
904	4	0	7761
4374	4	0	1757123
990	4	0	5579
5064	4	0	22553
4420	4	0	340912
972	4	0	49070
922	4	0	654
3038	4	0	78
858	4	0	70057
4950	4	0	64511
468	4	0	155913
14812	4	0	174
4574	4	0	4740
7126	4	0	45
14790	4	0	0
2190	4	0	768
6552	4	0	831
2270	4	0	71
7134	4	0	309
15326	4	0	750
28	4	0	1161844
4678	4	0	12535
4370	4	0	689860
90	4	0	1179806
4958	4	0	223863
2252	4	0	566
13260	4	0	48442
13278	4	0	9929
6616	4	0	144
13146	4	0	1159
2506	4	0	4
13142	4	0	4384
6558	4	0	1505
4558	4	0	1549
6862	4	0	33
14798	4	0	76
6550	4	0	284
4556	4	0	58288
4812	4	0	22287
15258	4	0	245
862	4	0	161085
286	4	0	5092801
76	4	0	1998698
78	4	0	131323
92	4	0	67386
94	4	0	135513
282	4	0	2042606
346	4	0	15524
348	4	0	70131
350	4	0	99748
394	4	0	10640
406	4	0	3955419
410	4	0	22997
412	4	0	57624
414	4	0	100347
460	4	0	78945
462	4	0	3445
478	4	0	6808
2184	4	0	146953
332	4	0	1386041
334	4	0	56083
404	4	0	3248256
470	4	0	212384
344	4	0	14441
408	4	0	16392
472	4	0	1168
474	4	0	899
476	4	0	6164
926	4	0	1889
396	4	0	1333234
906	4	0	759
910	4	0	1527
2186	4	0	19601
2204	4	0	581
2206	4	0	1219
2254	4	0	65
6356	4	0	6
2458	4	0	1487
2526	4	0	222
2510	4	0	78
4698	4	0	2976510
2524	4	0	83
328	4	0	237507
330	4	0	6957
4438	4	0	43538
4444	4	0	119636
4446	4	0	144606
4430	4	0	42688
4550	4	0	276
4422	4	0	9003
4424	4	0	508214
4700	4	0	32823
4702	4	0	161280
4954	4	0	108744
5014	4	0	448
5018	4	0	2236
5022	4	0	2378
5086	4	0	13635
4998	4	0	100
4382	4	0	2217854
6554	4	0	2754
7128	4	0	80
15310	4	0	163
6622	4	0	246
4548	4	0	28299
5070	4	0	3903
6606	4	0	36
206	4	0	3131
6854	4	0	8
398	4	0	61531
4428	4	0	1992619
4764	4	0	241
4766	4	0	548
4682	4	0	2155512
4434	4	0	11868
4436	4	0	47756
4564	4	0	3235
4566	4	0	1870
4442	4	0	27380
5078	4	0	2283
5082	4	0	3183
5084	4	0	8157
392	4	0	321739
4426	4	0	5548
2462	4	0	1227
390	4	0	999373
4742	4	0	43
6874	4	0	4122
4814	4	0	2646
6614	4	0	40
6618	4	0	126
6620	4	0	351
6358	4	0	12
222	4	0	2837
13150	4	0	9058
2202	4	0	14291
6598	4	0	4
5066	4	0	576
6342	4	0	0
5012	4	0	348
30	4	0	6883168
6878	4	0	133
4686	4	0	69460
74	4	0	1456889
4946	4	0	43229
5058	4	0	92
5010	4	0	605
5074	4	0	867
5004	4	0	28630
4440	4	0	32346
6348	4	0	675
6350	4	0	36
6366	4	0	76
4748	4	0	6599
4750	4	0	426
5076	4	0	1884
4418	4	0	1574
4994	4	0	78
4830	4	0	2087
6364	4	0	76
4740	4	0	219
5062	4	0	374
5016	4	0	1719
5080	4	0	3423
5068	4	0	128986
7130	4	0	366
4692	4	0	9469
6604	4	0	2670
5006	4	0	954
31710	4	0	255
204	4	0	33370
14814	4	0	304
454	4	0	42390
6602	4	0	24
6858	4	0	791
4694	4	0	35851
13148	4	0	1955
5020	4	0	1319
14678	4	0	25
4562	4	0	296
15262	4	0	485
458	4	0	294
908	4	0	21961
456	4	0	11400
5002	4	0	594
6876	4	0	58
14810	4	0	80
4952	4	0	24101
14686	4	0	11
13262	4	0	5506
856	4	0	11501
6870	4	0	11
280	4	0	283440
974	4	0	5106
4546	4	0	24
924	4	0	752
4758	4	0	29
14	4	0	4711030
4572	4	0	6438
