MotifId	Nodes	Edges	Count
904	4	0	28
4374	4	0	59784
990	4	0	32837
5064	4	0	847
4420	4	0	4237
972	4	0	2594
922	4	0	80
3038	4	0	2414
858	4	0	4406
4950	4	0	58629
468	4	0	85176
14812	4	0	1437
4574	4	0	45664
7126	4	0	522
14790	4	0	0
2190	4	0	349
6552	4	0	47
2270	4	0	209
7134	4	0	10997
15326	4	0	74949
28	4	0	10119
4678	4	0	1905
4370	4	0	8968
90	4	0	6607
4958	4	0	695652
2252	4	0	13
13260	4	0	36305
13278	4	0	325788
6616	4	0	104
13146	4	0	865
2506	4	0	0
13142	4	0	2657
6558	4	0	2993
4558	4	0	354
6862	4	0	97
14798	4	0	218
6550	4	0	80
4556	4	0	1780
4812	4	0	881
15258	4	0	6569
862	4	0	207797
286	4	0	336020
76	4	0	6040
78	4	0	18014
92	4	0	210
94	4	0	18949
282	4	0	24048
346	4	0	310
348	4	0	1011
350	4	0	30751
394	4	0	411
406	4	0	93619
410	4	0	2361
412	4	0	774
414	4	0	30439
460	4	0	625
462	4	0	440
478	4	0	22872
2184	4	0	682
332	4	0	14420
334	4	0	10720
404	4	0	12216
470	4	0	121973
344	4	0	71
408	4	0	185
472	4	0	303
474	4	0	451
476	4	0	5034
926	4	0	1248
396	4	0	17268
906	4	0	12
910	4	0	332
2186	4	0	289
2204	4	0	13
2206	4	0	533
2254	4	0	35
6356	4	0	1
2458	4	0	106
2526	4	0	1159
2510	4	0	31
4698	4	0	358101
2524	4	0	265
328	4	0	581
330	4	0	11
4438	4	0	7702
4444	4	0	5737
4446	4	0	94099
4430	4	0	10124
4550	4	0	6
4422	4	0	658
4424	4	0	5255
4700	4	0	2125
4702	4	0	101742
4954	4	0	36637
5014	4	0	114
5018	4	0	310
5022	4	0	3023
5086	4	0	134298
4998	4	0	10
4382	4	0	460235
6554	4	0	443
7128	4	0	900
15310	4	0	3507
6622	4	0	3024
4548	4	0	225
5070	4	0	3917
6606	4	0	57
206	4	0	398
6854	4	0	0
398	4	0	7364
4428	4	0	87263
4764	4	0	11
4766	4	0	394
4682	4	0	53379
4434	4	0	616
4436	4	0	1827
4564	4	0	3533
4566	4	0	3405
4442	4	0	2627
5078	4	0	7146
5082	4	0	4790
5084	4	0	26382
392	4	0	1398
4426	4	0	83
2462	4	0	1239
390	4	0	6001
4742	4	0	1
6874	4	0	6189
4814	4	0	2339
6614	4	0	107
6618	4	0	218
6620	4	0	1878
6358	4	0	7
222	4	0	5881
13150	4	0	55021
2202	4	0	1186
6598	4	0	0
5066	4	0	70
6342	4	0	0
5012	4	0	15
30	4	0	229166
6878	4	0	936
4686	4	0	29746
74	4	0	1685
4946	4	0	8608
5058	4	0	3
5010	4	0	25
5074	4	0	776
5004	4	0	1518
4440	4	0	673
6348	4	0	40
6350	4	0	23
6366	4	0	429
4748	4	0	126
4750	4	0	158
5076	4	0	2240
4418	4	0	9
4994	4	0	1
4830	4	0	7514
6364	4	0	106
4740	4	0	1
5062	4	0	38
5016	4	0	63
5080	4	0	2270
5068	4	0	22944
7130	4	0	4367
4692	4	0	450
6604	4	0	443
5006	4	0	466
31710	4	0	117690
204	4	0	79
14814	4	0	6553
454	4	0	407
6602	4	0	1
6858	4	0	186
4694	4	0	9703
13148	4	0	1487
5020	4	0	171
14678	4	0	5
4562	4	0	216
15262	4	0	23328
458	4	0	4
908	4	0	371
456	4	0	53
5002	4	0	15
6876	4	0	106
14810	4	0	257
4952	4	0	2188
14686	4	0	31
13262	4	0	21543
856	4	0	290
6870	4	0	5
280	4	0	931
974	4	0	3425
4546	4	0	0
924	4	0	24
4758	4	0	4
14	4	0	155304
4572	4	0	23562
