MotifId	Nodes	Edges	Count
904	4	0	287
4374	4	0	12050
990	4	0	576
5064	4	0	475
4420	4	0	10350
972	4	0	505
922	4	0	102
3038	4	0	49
858	4	0	2838
4950	4	0	5391
468	4	0	3729
14812	4	0	83
4574	4	0	379
7126	4	0	32
14790	4	0	0
2190	4	0	110
6552	4	0	181
2270	4	0	23
7134	4	0	263
15326	4	0	703
28	4	0	7936
4678	4	0	1121
4370	4	0	12334
90	4	0	9715
4958	4	0	5416
2252	4	0	68
13260	4	0	169
13278	4	0	809
6616	4	0	44
13146	4	0	293
2506	4	0	1
13142	4	0	798
6558	4	0	318
4558	4	0	37
6862	4	0	17
14798	4	0	18
6550	4	0	17
4556	4	0	640
4812	4	0	381
15258	4	0	135
862	4	0	6015
286	4	0	16152
76	4	0	28972
78	4	0	2921
92	4	0	1633
94	4	0	4110
282	4	0	16859
346	4	0	568
348	4	0	2421
350	4	0	4053
394	4	0	861
406	4	0	23730
410	4	0	1939
412	4	0	1927
414	4	0	3088
460	4	0	1180
462	4	0	128
478	4	0	593
2184	4	0	5324
332	4	0	18277
334	4	0	1405
404	4	0	35816
470	4	0	5907
344	4	0	721
408	4	0	1208
472	4	0	103
474	4	0	101
476	4	0	302
926	4	0	327
396	4	0	29347
906	4	0	69
910	4	0	139
2186	4	0	1961
2204	4	0	89
2206	4	0	255
2254	4	0	21
6356	4	0	0
2458	4	0	236
2526	4	0	102
2510	4	0	27
4698	4	0	16976
2524	4	0	20
328	4	0	7416
330	4	0	39
4438	4	0	3581
4444	4	0	3744
4446	4	0	3745
4430	4	0	967
4550	4	0	6
4422	4	0	626
4424	4	0	16792
4700	4	0	1341
4702	4	0	4945
4954	4	0	4515
5014	4	0	84
5018	4	0	408
5022	4	0	378
5086	4	0	1398
4998	4	0	11
4382	4	0	5329
6554	4	0	703
7128	4	0	47
15310	4	0	116
6622	4	0	195
4548	4	0	793
5070	4	0	192
6606	4	0	19
206	4	0	109
6854	4	0	0
398	4	0	2205
4428	4	0	25910
4764	4	0	4
4766	4	0	84
4682	4	0	33858
4434	4	0	1012
4436	4	0	3962
4564	4	0	325
4566	4	0	250
4442	4	0	953
5078	4	0	458
5082	4	0	593
5084	4	0	487
392	4	0	14448
4426	4	0	75
2462	4	0	229
390	4	0	15769
4742	4	0	2
6874	4	0	445
4814	4	0	163
6614	4	0	18
6618	4	0	57
6620	4	0	146
6358	4	0	2
222	4	0	150
13150	4	0	1369
2202	4	0	2070
6598	4	0	1
5066	4	0	50
6342	4	0	0
5012	4	0	42
30	4	0	21254
6878	4	0	74
4686	4	0	2880
74	4	0	17935
4946	4	0	4935
5058	4	0	3
5010	4	0	125
5074	4	0	206
5004	4	0	474
4440	4	0	1610
6348	4	0	79
6350	4	0	9
6366	4	0	52
4748	4	0	248
4750	4	0	60
5076	4	0	256
4418	4	0	74
4994	4	0	2
4830	4	0	270
6364	4	0	20
4740	4	0	23
5062	4	0	11
5016	4	0	193
5080	4	0	465
5068	4	0	1048
7130	4	0	236
4692	4	0	933
6604	4	0	279
5006	4	0	88
31710	4	0	316
204	4	0	335
14814	4	0	226
454	4	0	1158
6602	4	0	0
6858	4	0	153
4694	4	0	2930
13148	4	0	165
5020	4	0	101
14678	4	0	3
4562	4	0	43
15262	4	0	390
458	4	0	6
908	4	0	591
456	4	0	431
5002	4	0	46
6876	4	0	28
14810	4	0	34
4952	4	0	1707
14686	4	0	4
13262	4	0	266
856	4	0	634
6870	4	0	0
280	4	0	5415
974	4	0	315
4546	4	0	0
924	4	0	54
4758	4	0	13
14	4	0	9246
4572	4	0	315
