MotifId	Nodes	Edges	Count
904	4	0	662
4374	4	0	5027994
990	4	0	11366
5064	4	0	4078
4420	4	0	116722
972	4	0	14402
922	4	0	792
3038	4	0	711
858	4	0	107086
4950	4	0	195256
468	4	0	26480
14812	4	0	459
4574	4	0	5288
7126	4	0	227
14790	4	0	8
2190	4	0	304
6552	4	0	486
2270	4	0	144
7134	4	0	1828
15326	4	0	9273
28	4	0	592966
4678	4	0	6654
4370	4	0	750951
90	4	0	435785
4958	4	0	1642570
2252	4	0	497
13260	4	0	63853
13278	4	0	97594
6616	4	0	107
13146	4	0	2633
2506	4	0	3
13142	4	0	6079
6558	4	0	4452
4558	4	0	511
6862	4	0	68
14798	4	0	271
6550	4	0	704
4556	4	0	7426
4812	4	0	3779
15258	4	0	370
862	4	0	418259
286	4	0	14234913
76	4	0	258099
78	4	0	19719
92	4	0	13133
94	4	0	62615
282	4	0	2660492
346	4	0	18841
348	4	0	33178
350	4	0	115829
394	4	0	5589
406	4	0	3528776
410	4	0	24071
412	4	0	31309
414	4	0	156476
460	4	0	6305
462	4	0	723
478	4	0	4757
2184	4	0	173812
332	4	0	456354
334	4	0	21093
404	4	0	836317
470	4	0	134325
344	4	0	7938
408	4	0	8637
472	4	0	378
474	4	0	811
476	4	0	1426
926	4	0	3408
396	4	0	739542
906	4	0	406
910	4	0	923
2186	4	0	11726
2204	4	0	327
2206	4	0	1500
2254	4	0	129
6356	4	0	4
2458	4	0	1446
2526	4	0	660
2510	4	0	84
4698	4	0	7632973
2524	4	0	183
328	4	0	95115
330	4	0	3632
4438	4	0	52959
4444	4	0	97936
4446	4	0	396806
4430	4	0	51222
4550	4	0	169
4422	4	0	7765
4424	4	0	327024
4700	4	0	49060
4702	4	0	351695
4954	4	0	362288
5014	4	0	913
5018	4	0	1946
5022	4	0	6356
5086	4	0	47175
4998	4	0	213
4382	4	0	19241069
6554	4	0	2452
7128	4	0	78
15310	4	0	907
6622	4	0	847
4548	4	0	2701
5070	4	0	5078
6606	4	0	82
206	4	0	387
6854	4	0	10
398	4	0	39841
4428	4	0	1865640
4764	4	0	201
4766	4	0	1087
4682	4	0	2024605
4434	4	0	10486
4436	4	0	20635
4564	4	0	912
4566	4	0	1557
4442	4	0	56969
5078	4	0	6705
5082	4	0	5795
5084	4	0	8388
392	4	0	105659
4426	4	0	7785
2462	4	0	4486
390	4	0	565260
4742	4	0	66
6874	4	0	7027
4814	4	0	1335
6614	4	0	121
6618	4	0	151
6620	4	0	488
6358	4	0	26
222	4	0	1048
13150	4	0	44742
2202	4	0	30849
6598	4	0	7
5066	4	0	713
6342	4	0	7
5012	4	0	266
30	4	0	5209704
6878	4	0	447
4686	4	0	43628
74	4	0	228753
4946	4	0	64509
5058	4	0	252
5010	4	0	472
5074	4	0	1325
5004	4	0	9741
4440	4	0	22537
6348	4	0	579
6350	4	0	58
6366	4	0	174
4748	4	0	1772
4750	4	0	366
5076	4	0	1765
4418	4	0	2070
4994	4	0	93
4830	4	0	2917
6364	4	0	71
4740	4	0	111
5062	4	0	848
5016	4	0	546
5080	4	0	1837
5068	4	0	58563
7130	4	0	735
4692	4	0	12774
6604	4	0	1784
5006	4	0	1351
31710	4	0	7420
204	4	0	1153
14814	4	0	2029
454	4	0	20556
6602	4	0	23
6858	4	0	1115
4694	4	0	50153
13148	4	0	5176
5020	4	0	1110
14678	4	0	49
4562	4	0	168
15262	4	0	2188
458	4	0	107
908	4	0	4559
456	4	0	1415
5002	4	0	370
6876	4	0	106
14810	4	0	262
4952	4	0	37276
14686	4	0	68
13262	4	0	18890
856	4	0	13091
6870	4	0	65
280	4	0	226939
974	4	0	3365
4546	4	0	21
924	4	0	431
4758	4	0	83
14	4	0	1075547
4572	4	0	1799
