MotifId	Nodes	Edges	Count
904	4	0	11811
4374	4	0	13618448
990	4	0	21240
5064	4	0	5919
4420	4	0	245092
972	4	0	28873
922	4	0	1977
3038	4	0	1211
858	4	0	250144
4950	4	0	367353
468	4	0	91293
14812	4	0	645
4574	4	0	7603
7126	4	0	304
14790	4	0	12
2190	4	0	4005
6552	4	0	1667
2270	4	0	573
7134	4	0	2326
15326	4	0	11989
28	4	0	3348553
4678	4	0	15731
4370	4	0	1879718
90	4	0	1277760
4958	4	0	3056899
2252	4	0	8484
13260	4	0	101314
13278	4	0	155964
6616	4	0	540
13146	4	0	3985
2506	4	0	10
13142	4	0	11306
6558	4	0	6398
4558	4	0	658
6862	4	0	99
14798	4	0	333
6550	4	0	952
4556	4	0	15158
4812	4	0	5511
15258	4	0	806
862	4	0	941098
286	4	0	52578476
76	4	0	872417
78	4	0	116821
92	4	0	46371
94	4	0	159794
282	4	0	10095829
346	4	0	48622
348	4	0	88766
350	4	0	245009
394	4	0	26946
406	4	0	8568687
410	4	0	51734
412	4	0	84351
414	4	0	365282
460	4	0	15282
462	4	0	1638
478	4	0	8588
2184	4	0	506646
332	4	0	1131354
334	4	0	51475
404	4	0	2221870
470	4	0	264494
344	4	0	29974
408	4	0	21316
472	4	0	1811
474	4	0	1810
476	4	0	3585
926	4	0	5814
396	4	0	1807660
906	4	0	4315
910	4	0	1970
2186	4	0	37652
2204	4	0	1401
2206	4	0	3539
2254	4	0	3125
6356	4	0	8
2458	4	0	3925
2526	4	0	1364
2510	4	0	280
4698	4	0	14695708
2524	4	0	1031
328	4	0	275960
330	4	0	6527
4438	4	0	95037
4444	4	0	219662
4446	4	0	729707
4430	4	0	94786
4550	4	0	193
4422	4	0	14703
4424	4	0	692362
4700	4	0	80814
4702	4	0	615460
4954	4	0	648444
5014	4	0	1704
5018	4	0	3122
5022	4	0	9014
5086	4	0	68768
4998	4	0	261
4382	4	0	49324487
6554	4	0	3784
7128	4	0	212
15310	4	0	1112
6622	4	0	1436
4548	4	0	6236
5070	4	0	6639
6606	4	0	137
206	4	0	3489
6854	4	0	11
398	4	0	126214
4428	4	0	3796478
4764	4	0	290
4766	4	0	1630
4682	4	0	3767250
4434	4	0	20138
4436	4	0	37764
4564	4	0	2116
4566	4	0	2530
4442	4	0	117335
5078	4	0	11072
5082	4	0	8053
5084	4	0	12744
392	4	0	278675
4426	4	0	12528
2462	4	0	8812
390	4	0	1538371
4742	4	0	86
6874	4	0	10565
4814	4	0	1916
6614	4	0	266
6618	4	0	350
6620	4	0	850
6358	4	0	30
222	4	0	2433
13150	4	0	68061
2202	4	0	72718
6598	4	0	13
5066	4	0	955
6342	4	0	7
5012	4	0	517
30	4	0	27954940
6878	4	0	540
4686	4	0	94843
74	4	0	867524
4946	4	0	111295
5058	4	0	262
5010	4	0	758
5074	4	0	2047
5004	4	0	15571
4440	4	0	72239
6348	4	0	1241
6350	4	0	353
6366	4	0	264
4748	4	0	3307
4750	4	0	539
5076	4	0	3044
4418	4	0	2842
4994	4	0	115
4830	4	0	4172
6364	4	0	212
4740	4	0	570
5062	4	0	1084
5016	4	0	1190
5080	4	0	2871
5068	4	0	88460
7130	4	0	934
4692	4	0	19131
6604	4	0	3684
5006	4	0	1692
31710	4	0	10796
204	4	0	21378
14814	4	0	2627
454	4	0	38240
6602	4	0	38
6858	4	0	1521
4694	4	0	86583
13148	4	0	7439
5020	4	0	1642
14678	4	0	56
4562	4	0	509
15262	4	0	2846
458	4	0	208
908	4	0	10442
456	4	0	3407
5002	4	0	1006
6876	4	0	152
14810	4	0	332
4952	4	0	68654
14686	4	0	85
13262	4	0	27465
856	4	0	31961
6870	4	0	75
280	4	0	750288
974	4	0	6857
4546	4	0	17
924	4	0	917
4758	4	0	244
14	4	0	8107550
4572	4	0	3674
