MotifId	Nodes	Edges	Count
904	4	0	1293912
4374	4	0	136802589
990	4	0	642358
5064	4	0	186866
4420	4	0	89842803
972	4	0	1534846
922	4	0	118313
3038	4	0	86417
858	4	0	4296531
4950	4	0	10783527
468	4	0	4463066
14812	4	0	20322
4574	4	0	202878
7126	4	0	15386
14790	4	0	158
2190	4	0	341881
6552	4	0	803385
2270	4	0	39168
7134	4	0	178436
15326	4	0	413218
28	4	0	457838077
4678	4	0	1305930
4370	4	0	644804248
90	4	0	124370712
4958	4	0	10396295
2252	4	0	1350108
13260	4	0	288724
13278	4	0	1295210
6616	4	0	25923
13146	4	0	93710
2506	4	0	1319
13142	4	0	440398
6558	4	0	382691
4558	4	0	11091
6862	4	0	4195
14798	4	0	6656
6550	4	0	29424
4556	4	0	451842
4812	4	0	154678
15258	4	0	49888
862	4	0	10900896
286	4	0	113653061
76	4	0	3032731730
78	4	0	24261456
92	4	0	16351482
94	4	0	14121555
282	4	0	291219710
346	4	0	1216981
348	4	0	4911715
350	4	0	5212179
394	4	0	5658930
406	4	0	161923045
410	4	0	7781276
412	4	0	5485408
414	4	0	6677061
460	4	0	3290519
462	4	0	75202
478	4	0	374587
2184	4	0	11078806194
332	4	0	191940762
334	4	0	2022604
404	4	0	221896166
470	4	0	6920631
344	4	0	5282035
408	4	0	28668358
472	4	0	231788
474	4	0	74362
476	4	0	293463
926	4	0	227144
396	4	0	499417073
906	4	0	179389
910	4	0	178129
2186	4	0	99404842
2204	4	0	395149
2206	4	0	437970
2254	4	0	57994
6356	4	0	1724
2458	4	0	654518
2526	4	0	101398
2510	4	0	16009
4698	4	0	40812828
2524	4	0	44068
328	4	0	141057530
330	4	0	811388
4438	4	0	6215030
4444	4	0	3948941
4446	4	0	5977316
4430	4	0	947885
4550	4	0	6698
4422	4	0	1195785
4424	4	0	63043779
4700	4	0	641360
4702	4	0	3510974
4954	4	0	3477356
5014	4	0	34317
5018	4	0	146329
5022	4	0	172174
5086	4	0	1026985
4998	4	0	15608
4382	4	0	49807412
6554	4	0	498068
7128	4	0	20054
15310	4	0	38321
6622	4	0	83171
4548	4	0	530984
5070	4	0	73385
6606	4	0	4764
206	4	0	456392
6854	4	0	490
398	4	0	4169512
4428	4	0	103764027
4764	4	0	9128
4766	4	0	28832
4682	4	0	40132219
4434	4	0	3792982
4436	4	0	21640435
4564	4	0	181311
4566	4	0	71456
4442	4	0	1082098
5078	4	0	187232
5082	4	0	196010
5084	4	0	228451
392	4	0	860198599
4426	4	0	314311
2462	4	0	458852
390	4	0	94770165
4742	4	0	8313
6874	4	0	318690
4814	4	0	36040
6614	4	0	6775
6618	4	0	13190
6620	4	0	68507
6358	4	0	2504
222	4	0	252215
13150	4	0	1095511
2202	4	0	30960723
6598	4	0	600
5066	4	0	14401
6342	4	0	586
5012	4	0	22542
30	4	0	313622266
6878	4	0	27344
4686	4	0	1026521
74	4	0	527123432
4946	4	0	11664583
5058	4	0	14358
5010	4	0	92394
5074	4	0	117092
5004	4	0	342606
4440	4	0	3226832
6348	4	0	129207
6350	4	0	4890
6366	4	0	22804
4748	4	0	175700
4750	4	0	25168
5076	4	0	134546
4418	4	0	1445358
4994	4	0	46683
4830	4	0	76323
6364	4	0	16347
4740	4	0	28453
5062	4	0	18269
5016	4	0	107127
5080	4	0	166430
5068	4	0	840051
7130	4	0	81977
4692	4	0	2511745
6604	4	0	181306
5006	4	0	52247
31710	4	0	274696
204	4	0	13441121
14814	4	0	74876
454	4	0	1530830
6602	4	0	1285
6858	4	0	53876
4694	4	0	3494187
13148	4	0	74485
5020	4	0	29287
14678	4	0	1808
4562	4	0	34820
15262	4	0	138495
458	4	0	23995
908	4	0	1332158
456	4	0	2160962
5002	4	0	39582
6876	4	0	6032
14810	4	0	8168
4952	4	0	1374519
14686	4	0	2752
13262	4	0	226626
856	4	0	2045051
6870	4	0	3304
280	4	0	889714599
974	4	0	251207
4546	4	0	4369
924	4	0	40849
4758	4	0	3402
14	4	0	777499958
4572	4	0	146880
