# Article: Livre_de_Kells
# FROM 2005-03-24-12-54-35 TO 2020-12-14-19-39-48
81 74
0 1
2 3
2 4
5 6
7 6
8 9
10 11
10 12
13 14
13 15
16 17
16 18
19 20
19 21
19 22
19 23
19 24
19 25
19 26
19 27
19 28
19 29
30 1
30 2
30 31
30 32
30 33
30 34
30 9
30 35
30 36
30 37
30 38
30 39
30 40
30 41
30 42
30 3
30 43
30 44
30 45
30 8
30 46
30 47
30 48
30 49
30 50
30 51
30 52
32 53
54 30
55 56
55 57
55 58
59 60
61 62
61 63
61 64
65 66
65 8
65 67
65 68
65 69
65 70
65 71
65 72
65 73
65 74
65 75
76 77
76 60
76 78
79 80
79 60
